"sim","bout","bee","distance"
1,1,1,0.455228250851657
1,2,1,0.512092940071995
1,3,1,0.858140084660478
1,4,1,0.354121100528447
1,5,1,0.732700227109726
1,6,1,0.679587348806473
1,7,1,0.386960647365534
1,8,1,0.745199130262272
1,9,1,0.700304125201645
1,10,1,0.70300143102213
1,11,1,0.551365621115721
1,12,1,0.662530480649081
1,13,1,0.474116556500774
1,14,1,0.584511865193537
1,15,1,0.589206619554088
1,16,1,0.0319921512691537
1,17,1,0.337984781317605
1,18,1,0.466768706660336
1,19,1,0.408516358566128
1,20,1,0.343557675642306
1,21,1,0.277002476553854
1,22,1,0.21431903612637
1,23,1,0.159814758331445
1,24,1,0.11559151973718
1,25,1,0.0816475390681064
1,26,1,0.056666536941913
1,27,1,0.0388359667583104
1,28,1,0.0263817738277955
1,29,1,0.0178126141126524
1,30,1,0.0119769614270037
1,31,1,0.00803052693035443
1,32,1,0.00537426007404732
1,33,1,0.00359203909908471
1,34,1,0.00239879743291738
1,35,1,0.0016010274324871
1,36,1,0.00106816601090474
1,37,1,0.000712473051209963
1,38,1,0.000475143217252834
1,39,1,0.000316833819304088
1,40,1,0.000211254412649571
2,1,1,0.157919042419294
2,2,1,0.335725256062725
2,3,1,0.785941873051187
2,4,1,0.943761797233733
2,5,1,0.314021307020203
2,6,1,0.4845986283742
2,7,1,0.591138851865168
2,8,1,0.764586877472213
2,9,1,0.576748910079583
2,10,1,0.432923091853673
2,11,1,0.711470298137098
2,12,1,0.736395731395479
2,13,1,0.675599417956383
2,14,1,0.603688845493705
2,15,1,0.411092369561916
2,16,1,0.1140574391206
2,17,1,0.436273397775824
2,18,1,0.363309876823153
2,19,1,0.288474994893213
2,20,1,0.219468640164787
2,21,1,0.161142119952589
2,22,1,0.115075123174037
2,23,1,0.0804909796194627
2,24,1,0.0554645533048817
2,25,1,0.0378190367770928
2,26,1,0.025600094194472
2,27,1,0.0172428856157967
2,28,1,0.0115747600740371
2,29,1,0.00775220702704097
2,30,1,0.00518411451755117
2,31,1,0.00346320978500912
2,32,1,0.0023119867058881
2,33,1,0.00154274078908127
2,34,1,0.00102912419685614
2,35,1,0.000686363203893434
2,36,1,0.000457700170082457
2,37,1,0.000305188891824945
2,38,1,0.000203483910159161
2,39,1,0.000135666897170523
2,40,1,9.0449468505958e-05
3,1,1,0.773857632015761
3,2,1,0.441939140525501
3,3,1,0.642334071654973
3,4,1,0.415010517877427
3,5,1,0.449526016411033
3,6,1,0.365157796092562
3,7,1,0.543713118131313
3,8,1,0.283608937932385
3,9,1,0.3233500941138
3,10,1,0.715010920804931
3,11,1,0.284482739329142
3,12,1,0.191153325388062
3,13,1,0.331465112502837
3,14,1,0.362051095980407
3,15,1,0.626602535525879
3,16,1,0.16428318135568
3,17,1,0.269490845433154
3,18,1,0.56724065871271
3,19,1,0.0948932005364755
3,20,1,0.0682992655959511
3,21,1,0.0480218104968491
3,22,1,0.46224203196104
3,23,1,0.0226922935802978
3,24,1,0.0153837478252517
3,25,1,0.383745677580287
3,26,1,0.486338332949237
3,27,1,0.0700277021249174
3,28,1,0.00312272702344542
3,29,1,0.00208652193831823
3,30,1,0.417381811902191
3,31,1,0.51435941037319
3,32,1,0.504788774601675
3,33,1,0.000413650872251135
3,34,1,0.47433710978845
3,35,1,0.429405915246027
3,36,1,0.374363839949947
3,37,1,0.313332654944079
3,38,1,0.251251476013572
3,39,1,0.193317581023587
3,40,1,0.143431328686612
4,1,1,0.336641224417281
4,2,1,0.445436849830472
4,3,1,0.532452583663989
4,4,1,0.757833968057781
4,5,1,0.750418912641377
4,6,1,0.833319642878192
4,7,1,0.73079332056177
4,8,1,0.534517926451838
4,9,1,0.606128804315706
4,10,1,0.282712266419786
4,11,1,0.550539519912882
4,12,1,0.555793335605913
4,13,1,0.608279825858484
4,14,1,0.172361547103738
4,15,1,0.463073473185065
4,16,1,0.101083286197196
4,17,1,0.433843291046559
4,18,1,0.341128747180644
4,19,1,0.393757001177517
4,20,1,0.314595687788581
4,21,1,0.389771199774771
4,22,1,0.375570673476335
4,23,1,0.350207761270503
4,24,1,0.368919157764434
4,25,1,0.252861353172399
4,26,1,0.320146798782939
4,27,1,0.172318932038977
4,28,1,0.266961788149476
4,29,1,0.184710990330822
4,30,1,0.261287910424141
4,31,1,0.258766844290734
4,32,1,0.250248256161411
4,33,1,0.231398126176866
4,34,1,0.202219723542359
4,35,1,0.166742401063182
4,36,1,0.130440817445895
4,37,1,0.0976909532864047
4,38,1,0.0707290874384704
4,39,1,0.0499397322799103
4,40,1,0.0346321711727823
5,1,1,0.638208899486967
5,2,1,0.918863976841433
5,3,1,0.942184934372966
5,4,1,0.285200854463134
5,5,1,0.925394677154665
5,6,1,0.838478046877203
5,7,1,0.487441605300753
5,8,1,0.157950616947704
5,9,1,0.160108763889762
5,10,1,0.458104593930233
