"arrayNumber","simulation","bout","bee","similarityIndex"
1,1,1,1,0
1,1,2,1,0
1,1,3,1,0
1,1,4,1,0
1,1,5,1,0.6
1,1,6,1,0
1,1,7,1,0
1,1,8,1,0
1,1,9,1,0
1,1,10,1,0
1,1,11,1,0
1,1,12,1,0.785714285714286
1,1,13,1,0.75
1,1,14,1,0.375
1,1,15,1,0
1,1,16,1,0
1,1,17,1,0.8
1,1,18,1,1
1,1,19,1,1
1,1,20,1,1
1,1,21,1,1
1,1,22,1,1
1,1,23,1,1
1,1,24,1,1
1,1,25,1,1
1,1,26,1,1
1,1,27,1,1
1,1,28,1,1
1,1,29,1,1
1,1,30,1,1
1,1,31,1,1
1,1,32,1,1
1,1,33,1,1
1,1,34,1,1
1,1,35,1,1
1,1,36,1,1
1,1,37,1,1
1,1,38,1,1
1,1,39,1,1
1,2,1,1,0
1,2,2,1,0
1,2,3,1,0.6
1,2,4,1,0
1,2,5,1,0
1,2,6,1,0.5
1,2,7,1,0.5
1,2,8,1,0
1,2,9,1,0
1,2,10,1,0
1,2,11,1,0.444444444444444
1,2,12,1,0.777777777777778
1,2,13,1,1
1,2,14,1,0.6
1,2,15,1,0.6
1,2,16,1,0.6
1,2,17,1,1
1,2,18,1,1
1,2,19,1,1
1,2,20,1,1
1,2,21,1,1
1,2,22,1,1
1,2,23,1,1
1,2,24,1,1
1,2,25,1,1
1,2,26,1,1
1,2,27,1,1
1,2,28,1,1
1,2,29,1,1
1,2,30,1,1
1,2,31,1,1
1,2,32,1,1
1,2,33,1,1
1,2,34,1,1
1,2,35,1,1
1,2,36,1,1
1,2,37,1,1
1,2,38,1,1
1,2,39,1,1
1,3,1,1,0
1,3,2,1,0
1,3,3,1,0
1,3,4,1,0
1,3,5,1,0
1,3,6,1,0
1,3,7,1,0
1,3,8,1,0
1,3,9,1,0
1,3,10,1,0
1,3,11,1,0
1,3,12,1,0
1,3,13,1,0
1,3,14,1,0
1,3,15,1,0
1,3,16,1,0
1,3,17,1,0
1,3,18,1,0
1,3,19,1,0
1,3,20,1,0
1,3,21,1,0
1,3,22,1,0
1,3,23,1,0
1,3,24,1,0
1,3,25,1,0
1,3,26,1,0
1,3,27,1,0
1,3,28,1,0
1,3,29,1,0
1,3,30,1,0.8
1,3,31,1,1
1,3,32,1,0
1,3,33,1,0
1,3,34,1,1
1,3,35,1,1
1,3,36,1,1
1,3,37,1,1
1,3,38,1,1
1,3,39,1,1
1,4,1,1,0
1,4,2,1,0
1,4,3,1,0
1,4,4,1,0
1,4,5,1,0
1,4,6,1,0.5
1,4,7,1,0
1,4,8,1,0
1,4,9,1,0
1,4,10,1,0
1,4,11,1,0
1,4,12,1,0.547619047619048
1,4,13,1,0
1,4,14,1,0
1,4,15,1,0
1,4,16,1,0
1,4,17,1,0
1,4,18,1,0
1,4,19,1,0
1,4,20,1,0.6
1,4,21,1,0.666666666666667
1,4,22,1,0
1,4,23,1,1
1,4,24,1,0
1,4,25,1,0.666666666666667
1,4,26,1,0.666666666666667
1,4,27,1,0.8
1,4,28,1,0
1,4,29,1,0
1,4,30,1,1
1,4,31,1,1
1,4,32,1,1
1,4,33,1,1
1,4,34,1,1
1,4,35,1,1
1,4,36,1,1
1,4,37,1,1
1,4,38,1,1
1,4,39,1,1
1,5,1,1,0.6
1,5,2,1,1
1,5,3,1,0
1,5,4,1,0
1,5,5,1,1
1,5,6,1,0
1,5,7,1,0
1,5,8,1,0
1,5,9,1,0
1,5,10,1,0
1,5,11,1,0
1,5,12,1,0.8125
1,5,13,1,0.5
1,5,14,1,0.5
1,5,15,1,1
1,5,16,1,1
1,5,17,1,1
1,5,18,1,1
1,5,19,1,1
1,5,20,1,1
1,5,21,1,1
1,5,22,1,1
1,5,23,1,1
1,5,24,1,1
