"arrayNumber";"simulation";"bout";"interference";"exploitation1";"exploitation2"
1;1;1;1;1;41
1;1;2;1;1;2
1;1;3;5;15;9
1;1;4;1;1;13
1;1;5;1;15;4
1;1;6;3;2;2
1;1;7;2;7;15
1;1;8;0;2;2
1;1;9;2;7;19
1;1;10;0;4;0
1;1;11;0;2;4
1;1;12;1;2;3
1;1;13;0;15;2
1;1;14;3;23;12
1;1;15;1;14;0
1;1;16;1;13;2
1;1;17;0;6;14
1;1;18;0;1;0
1;1;19;0;2;2
1;1;20;2;1;3
1;1;21;2;2;1
1;1;22;0;3;5
1;1;23;1;6;16
1;1;24;0;7;40
1;1;25;3;3;0
1;1;26;0;20;1
1;1;27;0;1;2
1;1;28;0;7;5
1;1;29;2;4;3
1;1;30;1;12;6
1;1;31;0;10;2
1;1;32;0;8;2
1;1;33;1;0;2
1;1;34;1;16;0
1;1;35;1;9;3
1;1;36;0;9;18
1;1;37;1;0;6
1;1;38;0;4;13
1;1;39;1;2;0
1;1;40;1;0;2
1;1;41;2;8;1
1;1;42;2;3;5
1;1;43;3;13;5
1;1;44;2;2;27
1;1;45;3;1;4
1;1;46;0;0;7
1;1;47;0;0;0
1;1;48;1;1;13
1;1;49;1;5;0
1;1;50;0;0;4
1;2;1;0;0;1
1;2;2;0;1;1
1;2;3;1;0;33
1;2;4;6;19;18
1;2;5;1;21;8
1;2;6;4;2;15
1;2;7;0;6;2
1;2;8;2;4;4
1;2;9;0;14;6
1;2;10;1;11;24
1;2;11;0;1;7
1;2;12;0;5;0
1;2;13;2;0;9
1;2;14;2;3;31
1;2;15;0;6;0
1;2;16;1;1;19
1;2;17;0;11;3
1;2;18;1;21;4
1;2;19;0;2;1
1;2;20;1;6;0
1;2;21;0;4;18
1;2;22;4;6;14
1;2;23;0;0;5
1;2;24;2;0;6
1;2;25;4;2;1
1;2;26;0;10;2
1;2;27;0;0;15
1;2;28;0;19;2
1;2;29;0;9;6
1;2;30;0;17;3
1;2;31;0;1;4
1;2;32;0;0;12
1;2;33;0;1;0
1;2;34;2;21;4
1;2;35;0;5;0
1;2;36;1;1;11
1;2;37;1;1;14
1;2;38;1;5;1
1;2;39;2;21;0
1;2;40;0;0;1
1;2;41;0;3;10
1;2;42;1;12;2
1;2;43;1;1;2
1;2;44;0;1;6
1;2;45;0;33;2
1;2;46;0;0;6
1;2;47;1;12;0
1;2;48;0;6;0
1;2;49;1;1;26
1;2;50;1;2;1
1;3;1;1;2;8
1;3;2;3;3;4
1;3;3;3;10;2
1;3;4;1;5;3
1;3;5;0;3;15
1;3;6;1;1;7
1;3;7;0;1;14
1;3;8;1;1;36
1;3;9;0;11;4
1;3;10;3;25;10
1;3;11;0;20;0
1;3;12;2;10;3
1;3;13;0;6;7
1;3;14;0;28;3
1;3;15;7;26;12
1;3;16;0;11;0
1;3;17;0;4;2
1;3;18;1;3;1
1;3;19;0;1;4
1;3;20;0;5;10
1;3;21;1;3;33
1;3;22;0;0;4
1;3;23;0;2;12
1;3;24;0;8;1
1;3;25;0;2;2
1;3;26;0;2;11
1;3;27;2;2;11
1;3;28;0;4;5
1;3;29;0;2;4
1;3;30;0;0;3
1;3;31;0;18;5
1;3;32;1;18;2
1;3;33;1;4;2
1;3;34;1;0;6
1;3;35;0;0;23
1;3;36;0;22;4
1;3;37;0;1;7
1;3;38;0;19;5
1;3;39;1;1;1
1;3;40;1;32;6
1;3;41;0;5;12
1;3;42;1;0;3
1;3;43;0;7;1
1;3;44;2;3;2
1;3;45;0;1;9
1;3;46;1;4;5
1;3;47;0;5;1
1;3;48;2;25;0
1;3;49;3;1;14
1;3;50;0;2;1
1;4;1;1;4;6
1;4;2;1;5;13
1;4;3;5;34;15
1;4;4;2;6;27
1;4;5;0;3;9
1;4;6;0;14;0
1;4;7;0;3;23
1;4;8;0;40;0
1;4;9;5;5;7
1;4;10;1;8;0
1;4;11;1;1;9
1;4;12;0;0;11
1;4;13;1;4;25
1;4;14;0;1;6
1;4;15;2;0;0
1;4;16;3;2;8
1;4;17;1;10;3
1;4;18;0;7;1
1;4;19;4;11;10
1;4;20;0;11;1
1;4;21;0;4;0
1;4;22;0;21;3
1;4;23;1;4;10
1;4;24;1;1;6
1;4;25;1;0;8
1;4;26;0;1;2
1;4;27;4;2;6
1;4;28;0;15;6
1;4;29;0;0;6
1;4;30;3;6;5
1;4;31;0;2;0
1;4;32;0;0;16
1;4;33;0;0;19
1;4;34;2;2;9
1;4;35;0;1;1
1;4;36;0;1;35
1;4;37;0;1;2
1;4;38;0;11;1
1;4;39;0;2;1
1;4;40;1;1;28
1;4;41;0;5;6
1;4;42;0;7;0
1;4;43;0;0;3
1;4;44;0;24;0
1;4;45;0;5;18
1;4;46;0;0;3
1;4;47;0;1;2
1;4;48;0;2;33
1;4;49;0;1;2
1;4;50;1;7;2
1;5;1;7;34;21
1;5;2;0;5;3
1;5;3;0;0;4
1;5;4;0;32;0
1;5;5;0;0;30
1;5;6;0;1;16
1;5;7;0;6;2
1;5;8;0;1;6
1;5;9;1;6;3
1;5;10;0;1;1
1;5;11;1;13;41
1;5;12;2;37;3
1;5;13;0;4;2
1;5;14;1;1;6
1;5;15;6;8;1
1;5;16;0;2;4
1;5;17;0;14;5
1;5;18;2;3;2
1;5;19;1;2;8
1;5;20;0;25;2
1;5;21;0;1;0
1;5;22;1;2;15
1;5;23;0;22;1
1;5;24;0;0;22
1;5;25;1;15;2
1;5;26;1;3;0
1;5;27;0;2;2
1;5;28;0;15;1
1;5;29;0;23;1
1;5;30;3;2;1
1;5;31;0;9;2
1;5;32;0;4;5
1;5;33;0;0;2
1;5;34;0;0;1
1;5;35;1;12;6
1;5;36;1;3;19
1;5;37;0;15;0
1;5;38;1;3;10
1;5;39;0;24;1
1;5;40;2;9;4
1;5;41;1;2;3
1;5;42;1;0;9
1;5;43;2;11;0
1;5;44;0;4;0
1;5;45;0;2;5
1;5;46;1;0;0
1;5;47;1;4;28
1;5;48;2;12;0
1;5;49;0;5;1
1;5;50;3;10;4
1;6;1;2;5;2
1;6;2;1;19;1
1;6;3;1;19;25
1;6;4;0;20;0
1;6;5;5;4;3
1;6;6;3;4;2
1;6;7;0;6;5
1;6;8;1;15;13
1;6;9;1;11;0
1;6;10;0;1;4
1;6;11;1;5;6
1;6;12;3;2;13
1;6;13;5;9;3
1;6;14;0;20;1
1;6;15;0;0;2
1;6;16;0;11;2
1;6;17;0;2;8
1;6;18;1;0;44
1;6;19;1;1;5
1;6;20;1;20;6
1;6;21;0;1;6
1;6;22;0;0;4
1;6;23;1;1;7
1;6;24;0;0;0
1;6;25;0;0;20
1;6;26;0;11;3
1;6;27;0;0;2
1;6;28;1;1;2
1;6;29;1;1;2
1;6;30;1;0;15
1;6;31;1;0;5
1;6;32;1;1;7
1;6;33;2;16;11
1;6;34;2;12;9
1;6;35;1;1;10
1;6;36;0;1;6
1;6;37;2;27;0
1;6;38;1;0;7
1;6;39;3;25;5
1;6;40;0;1;20
1;6;41;1;0;13
1;6;42;3;6;3
1;6;43;1;3;13
1;6;44;1;18;0
1;6;45;0;6;2
1;6;46;0;0;11
1;6;47;0;1;13
1;6;48;1;20;0
1;6;49;0;1;11
1;6;50;1;5;7
1;7;1;1;35;4
1;7;2;3;19;10
1;7;3;0;0;6
1;7;4;0;1;16
1;7;5;0;6;22
1;7;6;2;14;0
1;7;7;1;3;6
1;7;8;0;7;0
1;7;9;0;17;0
1;7;10;1;13;2
1;7;11;0;9;0
1;7;12;5;12;12
1;7;13;0;4;13
1;7;14;0;0;1
1;7;15;3;0;8
1;7;16;0;0;10
1;7;17;1;17;3
1;7;18;0;1;19
1;7;19;0;1;5
1;7;20;0;2;3
1;7;21;2;5;6
1;7;22;1;0;4
1;7;23;0;8;1
1;7;24;0;26;1
1;7;25;2;0;0
1;7;26;0;4;0
1;7;27;2;8;0
1;7;28;1;0;5
1;7;29;0;1;10
1;7;30;0;9;0
1;7;31;0;8;0
1;7;32;1;22;1
1;7;33;0;0;3
1;7;34;0;3;4
1;7;35;0;4;10
1;7;36;0;1;0
1;7;37;0;4;12
1;7;38;2;13;5
1;7;39;0;0;7
1;7;40;0;7;0
1;7;41;1;4;17
1;7;42;0;9;1
1;7;43;0;3;4
1;7;44;2;6;4
1;7;45;1;1;4
1;7;46;0;2;22
1;7;47;1;0;5
1;7;48;0;0;4
1;7;49;2;15;1
1;7;50;0;11;40
1;8;1;6;2;13
1;8;2;0;30;0
1;8;3;1;1;15
1;8;4;1;1;16
1;8;5;0;1;16
1;8;6;1;6;1
1;8;7;1;0;28
1;8;8;2;8;20
1;8;9;0;4;1
1;8;10;0;0;7
1;8;11;0;1;1
1;8;12;0;0;9
1;8;13;0;1;3
1;8;14;2;4;1
1;8;15;0;16;4
1;8;16;1;8;3
1;8;17;0;6;2
1;8;18;0;1;1
1;8;19;0;23;5
1;8;20;0;29;11
1;8;21;0;13;8
1;8;22;1;2;15
1;8;23;0;3;27
1;8;24;0;8;0
1;8;25;1;4;16
1;8;26;1;13;6
1;8;27;2;0;5
1;8;28;0;2;0
1;8;29;2;14;12
1;8;30;0;0;4
1;8;31;1;12;11
1;8;32;1;1;24
1;8;33;0;6;15
1;8;34;1;7;0
1;8;35;0;5;0
1;8;36;0;2;14
1;8;37;0;2;39
1;8;38;0;4;2
1;8;39;0;6;12
1;8;40;2;2;18
1;8;41;1;2;8
1;8;42;1;0;2
1;8;43;0;0;2
1;8;44;0;0;7
1;8;45;2;0;2
1;8;46;0;7;1
