"arrayNumber","simulation","bout","bee","similarityIndex"
1,1,1,1,0
1,1,1,2,0.333333333333333
1,1,2,1,0.115384615384615
1,1,2,2,0.388888888888889
1,1,3,1,0.115384615384615
1,1,3,2,0.631578947368421
1,1,4,1,0.333333333333333
1,1,4,2,0.526315789473684
1,1,5,1,0.238095238095238
1,1,5,2,0
1,1,6,1,0.428571428571429
1,1,6,2,0.272727272727273
1,1,7,1,0.214285714285714
1,1,7,2,0.136363636363636
1,1,8,1,0.25
1,1,8,2,0.153846153846154
1,1,9,1,0.25
1,1,9,2,0.153846153846154
1,1,10,1,0
1,1,10,2,0
1,1,11,1,0.428571428571429
1,1,11,2,0
1,1,12,1,0
1,1,12,2,0
1,1,13,1,0.516129032258065
1,1,13,2,0.15
1,1,14,1,0.483870967741935
1,1,14,2,0.15
1,1,15,1,0.285714285714286
1,1,15,2,0
1,1,16,1,0.157894736842105
1,1,16,2,0
1,1,17,1,0.409090909090909
1,1,17,2,0
1,1,18,1,0
1,1,18,2,0
1,1,19,1,0
1,1,19,2,0
1,1,20,1,0
1,1,20,2,0
1,1,21,1,0.3
1,1,21,2,0.3
1,1,22,1,0.25
1,1,22,2,0.136363636363636
1,1,23,1,0.416666666666667
1,1,23,2,0.568181818181818
1,1,24,1,0.416666666666667
1,1,24,2,0.363636363636364
1,1,25,1,0.229166666666667
1,1,25,2,0
1,1,26,1,0.125
1,1,26,2,0
1,1,27,1,0.25
1,1,27,2,0.4
1,1,28,1,0.25
1,1,28,2,0
1,1,29,1,0.166666666666667
1,1,29,2,0.291666666666667
1,1,30,1,0.166666666666667
1,1,30,2,0.291666666666667
1,1,31,1,0
1,1,31,2,0
1,1,32,1,0
1,1,32,2,0.375
1,1,33,1,0.260869565217391
1,1,33,2,0
1,1,34,1,0.260869565217391
1,1,34,2,0.333333333333333
1,1,35,1,0
1,1,35,2,0.130434782608696
1,1,36,1,0
1,1,36,2,0
1,1,37,1,0
1,1,37,2,0.444444444444444
1,1,38,1,0
1,1,38,2,0.472222222222222
1,1,39,1,0
1,1,39,2,0
1,1,40,1,0
1,1,40,2,0
1,1,41,1,0.2
1,1,41,2,0
1,1,42,1,0.3
1,1,42,2,0.428571428571429
1,1,43,1,0.275
1,1,43,2,0.2
1,1,44,1,0
1,1,44,2,0.0857142857142857
1,1,45,1,0
1,1,45,2,0
1,1,46,1,0
1,1,46,2,0
1,1,47,1,0
1,1,47,2,0.157894736842105
1,1,48,1,0
1,1,48,2,0.157894736842105
1,1,49,1,0
1,1,49,2,0
1,2,1,1,0
1,2,1,2,0
1,2,2,1,0
1,2,2,2,0.3625
1,2,3,1,0.241935483870968
1,2,3,2,0.7
1,2,4,1,0.483870967741935
1,2,4,2,0.553571428571429
1,2,5,1,0.407407407407407
1,2,5,2,0.5625
1,2,6,1,0.272727272727273
1,2,6,2,0.166666666666667
1,2,7,1,0
1,2,7,2,0
1,2,8,1,0.375
1,2,8,2,0
1,2,9,1,0.529411764705882
1,2,9,2,0.166666666666667
1,2,10,1,0
1,2,10,2,0.366666666666667
1,2,11,1,0
1,2,11,2,0
1,2,12,1,0
1,2,12,2,0
1,2,13,1,0
1,2,13,2,0.302631578947368
1,2,14,1,0
