"simulation";"bout";"interference";"exploitation1";"exploitation2"
1;1;0;12;10
1;2;0;1;16
1;3;2;6;2
1;4;9;3;0
1;5;1;0;3
1;6;0;9;3
1;7;1;1;5
1;8;0;3;9
1;9;1;1;0
1;10;0;7;0
1;11;2;2;5
1;12;0;0;0
1;13;0;9;20
1;14;0;3;15
1;15;6;6;2
1;16;1;1;0
1;17;1;12;2
1;18;0;0;3
1;19;1;3;1
1;20;1;0;4
1;21;0;1;52
1;22;0;1;7
1;23;2;0;7
1;24;0;1;1
1;25;3;1;0
1;26;0;7;0
1;27;3;54;17
1;28;1;1;7
1;29;0;1;0
1;30;0;3;0
1;31;0;1;1
1;32;0;4;2
1;33;3;1;2
1;34;0;8;1
1;35;0;3;5
1;36;0;0;9
1;37;1;0;1
1;38;0;0;1
1;39;0;25;0
1;40;0;0;1
1;41;1;7;2
1;42;3;5;0
1;43;0;2;0
1;44;0;0;2
1;45;0;0;0
1;46;0;58;11
1;47;0;0;6
1;48;0;2;1
1;49;0;3;0
1;50;1;1;6
2;1;6;7;2
2;2;0;3;7
2;3;0;1;35
2;4;1;3;1
2;5;0;6;5
2;6;0;8;2
2;7;2;10;19
2;8;0;5;0
2;9;11;50;54
2;10;7;52;16
2;11;2;6;13
2;12;0;0;1
2;13;0;0;0
2;14;1;1;23
2;15;1;3;1
2;16;0;0;0
2;17;1;6;5
2;18;0;1;0
2;19;1;1;0
2;20;0;0;4
2;21;0;0;1
2;22;1;3;2
2;23;4;0;2
2;24;0;2;11
2;25;0;2;0
2;26;1;2;31
2;27;2;5;1
2;28;2;7;52
2;29;2;0;1
2;30;1;1;3
2;31;2;40;15
2;32;0;0;55
2;33;3;14;13
2;34;0;0;2
2;35;2;0;2
2;36;1;8;0
2;37;2;0;0
2;38;0;8;2
2;39;0;0;0
2;40;2;0;0
2;41;0;0;3
2;42;0;2;0
2;43;5;51;16
2;44;0;0;0
2;45;1;1;1
2;46;2;14;22
2;47;1;1;0
2;48;0;2;0
2;49;0;0;6
2;50;0;1;0
3;1;5;47;1
3;2;0;14;21
3;3;0;0;6
3;4;0;15;0
3;5;2;3;7
3;6;0;0;3
3;7;0;2;4
3;8;0;2;6
3;9;2;12;2
3;10;1;2;1
3;11;4;7;6
3;12;0;9;0
3;13;2;5;4
3;14;2;1;60
3;15;0;0;1
3;16;0;5;13
3;17;0;3;3
3;18;1;0;1
3;19;0;0;3
