"sim","bout","bee","distance"
1,1,1,0.314499365770634
1,1,2,0.336184317939356
1,2,1,0.254666885464883
1,2,2,0.366998487309672
1,3,1,0.347457490804297
1,3,2,0.310050447155868
1,4,1,0.222139571166901
1,4,2,0.424097778546559
1,5,1,0.185696076052879
1,5,2,0.497059541224872
1,6,1,0.263115413415889
1,6,2,0.173877442048337
1,7,1,0.472021715628279
1,7,2,0.339702803414185
1,8,1,0.521354413274756
1,8,2,0.201600117584584
1,9,1,0.444356022039112
1,9,2,0.334063098057781
1,10,1,0.338106952653993
1,10,2,0.583568208772144
1,11,1,0.385676072842173
1,11,2,0.423594560819404
1,12,1,0.28936526424604
1,12,2,0.326414952991298
1,13,1,0.388390767012279
1,13,2,0.367461585097254
1,14,1,0.569986572686774
1,14,2,0.119977642736974
1,15,1,0.192747303326713
1,15,2,0.727427978821595
1,16,1,0.333688308980842
1,16,2,0.476188274803854
1,17,1,0.187836134765882
1,17,2,0.702279658855992
1,18,1,0
1,18,2,0.684510900341588
1,19,1,0.57835967439049
1,19,2,0.167507925554888
1,20,1,0.390917976792341
1,20,2,0.22769853118128
1,21,1,0.24306641413237
1,21,2,0.185200002264308
1,22,1,0.292049013899497
1,22,2,0.187017702648527
1,23,1,0.303789629023846
1,23,2,0.10438451013466
1,24,1,0.422586027157972
1,24,2,0.0746985666123962
1,25,1,0.341588045345338
1,25,2,0.0523145663728539
1,26,1,0.225246923542761
1,26,2,0.398693534739386
1,27,1,0.286602172922907
1,27,2,0.0246104852022041
1,28,1,0.278142785489152
1,28,2,0.0166639840675018
1,29,1,0.265694545598851
1,29,2,0.0112260862098449
1,30,1,0.244502138711612
1,30,2,0.00753672576736597
1,31,1,0.21373389533583
1,31,2,0.00504812512180592
1,32,1,0.176746718424232
1,32,2,0.00337599386522776
1,33,1,0.138779389206293
1,33,2,0.00225538438458261
1,34,1,0.104301407316785
1,34,2,0.00150569438566991
1,35,1,0.0757350895897837
1,35,2,0.00100473356973167
1,36,1,0.0535937652545775
1,36,2,0.000670239511949296
1,37,1,0.0372268311716773
1,37,2,0.363064699159108
1,38,1,0.0255220255922121
1,38,2,0.000298090447938609
1,39,1,0.0173398082171352
1,39,2,0.000198763653897646
1,40,1,0.0117081406927708
1,40,2,0.000132525412890401
1,41,1,0.00787247441047143
1,41,2,8.83575255368579e-05
1,42,1,0.00527846267816991
1,42,2,5.89082397425446e-05
1,43,1,0.00353247789503336
1,43,2,3.92735922581949e-05
1,44,1,0.00236101769907787
1,44,2,2.61830315067792e-05
1,45,1,0.00157670218198763
1,45,2,1.74556373112969e-05
1,46,1,0.00105233328011427
1,46,2,1.16372173095888e-05
1,47,1,0.000702089005124013
1,47,2,7.75820077115641e-06
1,48,1,0.000468296685165614
1,48,2,5.17215869131469e-06
1,49,1,0.000312303350662601
1,49,2,3.44811683601968e-06
1,50,1,0.000208249171034848
1,50,2,2.29874946468056e-06
2,1,1,0.480755687219843
2,1,2,0.476898913183042
2,2,1,0.137539357231082
2,2,2,0.568379464755082
2,3,1,0.431358127238122
2,3,2,0.183100242668685
2,4,1,0.485848221503502
2,4,2,0.279758156652228
2,5,1,0.381748124168983
2,5,2,0.0692273596277774
2,6,1,0.426535189380303
2,6,2,0.181787443943088
2,7,1,0.327528544630337
2,7,2,0.392858008619026
2,8,1,0.395467317213694
2,8,2,0
2,9,1,0.29650886592459
2,9,2,0.514299815048582
2,10,1,0.209675931555605
2,10,2,0.269758661722267
2,11,1,0.284331245849853
2,11,2,0.511180163135631
2,12,1,0.3542271059145
2,12,2,0.352811018018908
2,13,1,0.339149213921435
2,13,2,0.0236925363791964
2,14,1,0.284617629341996
2,14,2,0.0830832695884441
2,15,1,0.0257646741868003
2,15,2,0.336094709493207
2,16,1,0.10316371760753
2,16,2,0.26038325676018
2,17,1,0.0118864784981867
2,17,2,0.655271907130219
2,18,1,0.0403741307970751
2,18,2,0.523473731137955
2,19,1,0.353217267717398
2,19,2,0.182215254102247
2,20,1,0.0767434501287655
2,20,2,0.396481749309487
2,21,1,0.206725406428231
2,21,2,0.282383212208133
2,22,1,0.0127701572276041
2,22,2,0.27045441009897
2,23,1,0.171239387218258
2,23,2,0.248247761515728
2,24,1,0.317553605884803
2,24,2,0.216100367248268
2,25,1,0.00384278882884049
2,25,2,0.177959412701556
2,26,1,0.10404610357581
2,26,2,0.139239423104231
2,27,1,0.0765842127984809
2,27,2,0.104360215605405
2,28,1,0.180093657222922
2,28,2,0.654390106006698
2,29,1,0.0546352768137814
2,29,2,0.0960652276319381
2,30,1,0.0382016050153248
2,30,2,0.0693964913232444
2,31,1,0.0263084808760131
2,31,2,0.0489197920436738
2,32,1,0.0179287091416761
2,32,2,0.0338863640264058
2,33,1,0.0121306749916652
2,33,2,0.0231868200712142
2,34,1,0.00816784574271631
2,34,2,0.344336806570439
2,35,1,0.00548157284547183
2,35,2,0.0106129477910568
2,36,1,0.00367067318705579
2,36,2,0.00713166482611467
2,37,1,0.00245439766193563
2,37,2,0.00477976272287163
2,38,1,0.00163951405895376
2,38,2,0.00319784192113088
2,39,1,0.00109445704575631
2,39,2,0.00213695569302407
2,40,1,0.00073028253876146
2,40,2,0.00142689364546957
2,41,1,0.000487141799916604
2,41,2,0.000952267452405561
2,42,1,0.00032488875179565
2,42,2,0.000635292276134036
2,43,1,0.000216649219587236
2,43,2,0.000423727174961892
2,44,1,0.000144458029733967
2,44,2,0.000282573279275023
2,45,1,9.63165630874411e-05
2,45,2,0.000188421534203918
