"ArrayNumber","Simulation","Bout","Q1","Q2","Qall","QallRelative"
2,1,1,0.03027139,0.00978946,0.04,0.330404517554888
2,1,2,0.01550798,0.02119158,0.037,0.305624178738271
2,1,3,0.02508643,0.00230896,0.027,0.223023049349549
2,1,4,0.00766018,0.04717955,0.055,0.45430621163797
2,1,5,0.00686168,0.0115617,0.018,0.148682032899699
2,1,6,0.01084995,0.01759779,0.028,0.231283162288421
2,1,7,0.00353849,0.04074672,0.044,0.363444969310376
2,1,8,0.00163578,0.04468424,0.046,0.379965195188121
2,1,9,0.03922902,0.01699778,0.056,0.462566324576843
2,1,10,0.00320274,0.03682594,0.04,0.330404517554888
2,1,11,0.05293451,0.00099944,0.054,0.446046098699098
2,1,12,0.01550952,0.00951532,0.025,0.206502823471805
2,1,13,0.03959504,0.01128638,0.051,0.421265759882482
2,1,14,0.03738074,0.00755205,0.045,0.371705082249249
2,1,15,0.00364669,0.01692435,0.021,0.173462371716316
2,1,16,0.04299899,0.01124566,0.054,0.446046098699098
2,1,17,0.04801255,0.00136118,0.049,0.404745534004737
2,1,18,0.03364035,0.00644201,0.04,0.330404517554888
2,1,19,0.00307691,0.02098368,0.024,0.198242710532933
2,1,20,0.0154923,0.00525704,0.021,0.173462371716316
2,1,21,0.00285415,0.00555791,0.008,0.0660809035109775
2,1,22,0.01272314,0.01220374,0.025,0.206502823471805
2,1,23,0.00472771,0.00128518,0.006,0.0495606776332331
2,1,24,0.02111658,0.00954264,0.031,0.256063501105038
2,1,25,0.04387651,0.00569513,0.05,0.41300564694361
2,1,26,0.0036939,0.00547946,0.009,0.0743410164498497
2,1,27,0.010816,0.03777269,0.049,0.404745534004737
2,1,28,0.00425927,0.01020998,0.014,0.115641581144211
2,1,29,0.00224348,0.00736927,0.01,0.0826011293887219
2,1,30,0.03893238,0.01636709,0.055,0.45430621163797
2,1,31,0.01328168,0.00028212,0.014,0.115641581144211
2,1,32,0.07669991,0.00222015,0.079,0.652548922170903
2,1,33,0.01571212,0.00358415,0.019,0.156942145838572
2,1,34,0.01251146,0.00543373,0.018,0.148682032899699
2,1,35,0.00707472,0.00427094,0.011,0.0908612423275941
2,1,36,0.00716598,0.00908458,0.016,0.132161807021955
2,1,37,0.00874633,0.01376243,0.023,0.18998259759406
2,1,38,0.0138306,0.04168503,0.056,0.462566324576843
2,1,39,0.04202153,0.00032476,0.042,0.346924743432632
2,1,40,0.0431437,0.00129231,0.044,0.363444969310376
2,1,41,0.00293086,0.01489312,0.018,0.148682032899699
2,1,42,0.03893238,0.00143967,0.04,0.330404517554888
2,1,43,0.00936406,0.00461102,0.014,0.115641581144211
2,1,44,0.03893238,0.00283056,0.042,0.346924743432632
2,1,45,0.01633725,0.01725024,0.034,0.280843839921655
2,1,46,0.02920768,0.00047123,0.03,0.247803388166166
2,1,47,0.03893238,0.00567862,0.045,0.371705082249249
2,1,48,0.03235651,0.0028979,0.035,0.289103952860527
2,1,49,0.03893238,0.00247915,0.041,0.33866463049376
2,1,50,0.00739412,0.02229015,0.03,0.247803388166166
2,2,1,0.04044121,0.0189852,0.059,0.487346663393459
2,2,2,0.03947312,0.02168304,0.061,0.503866889271204
2,2,3,0.00966757,0.00966757,0.019,0.156942145838572
2,2,4,0.02641469,0.00476913,0.031,0.256063501105038
2,2,5,0.00476654,0.03867028,0.043,0.355184856371504
2,2,6,0.00907581,0.01689512,0.026,0.214762936410677
2,2,7,0.03020008,0.00386675,0.034,0.280843839921655
2,2,8,0.00486585,0.04861817,0.053,0.437785985760226
2,2,9,0.01701854,0.00966757,0.027,0.223023049349549
2,2,10,0.0075949,0.01610361,0.024,0.198242710532933
2,2,11,0.00333717,0.02399992,0.027,0.223023049349549
2,2,12,0.02419956,0.00607103,0.03,0.247803388166166
2,2,13,0.01846663,0.00915001,0.028,0.231283162288421
2,2,14,0.02138441,0.01111667,0.033,0.272583726982782
2,2,15,0.0139649,0.00343696,0.017,0.140421919960827
2,2,16,0.00486585,0.01250623,0.017,0.140421919960827
2,2,17,0.01369026,0.00966757,0.023,0.18998259759406
2,2,18,0.00461666,0.0167603,0.021,0.173462371716316
2,2,19,0.00195257,0.07619467,0.078,0.644288809232031
2,2,20,0.0430506,0.00966757,0.053,0.437785985760226
2,2,21,0.01537806,0.019169,0.035,0.289103952860527
2,2,22,0.02424157,0.00646908,0.031,0.256063501105038
2,2,23,0.00219843,0.02464909,0.027,0.223023049349549
2,2,24,0.00124976,0.0145481,0.016,0.132161807021955
2,2,25,0.00171405,0.01474612,0.016,0.132161807021955
2,2,26,0.03548701,0.00966757,0.045,0.371705082249249
2,2,27,0.00249155,0.01139117,0.014,0.115641581144211
