"ArrayNumber","Simulation","Bout","Q1","Q2","Qall","QallRelative"
1,1,1,0.0378457,0.0159294,0.054,0.582878022843206
1,1,2,0.01263091,0.03581278,0.048,0.518113798082849
1,1,3,0.02745128,0.04654928,0.074,0.798758772044393
1,1,4,0.02159359,0.03187044,0.053,0.572083985383146
1,1,5,0.02370722,0.03902497,0.063,0.68002435998374
1,1,6,0.04102119,0.01797514,0.059,0.636848210143502
1,1,7,0.02214159,0.03630966,0.058,0.626054172683443
1,1,8,0.03970458,0.02924167,0.069,0.744788584744096
1,1,9,0.02712203,0.04585557,0.073,0.787964734584333
1,1,10,0.03895718,0.01901352,0.058,0.626054172683443
1,1,11,0.04031873,0.02071856,0.061,0.658436285063621
1,1,12,0.0255979,0.03505999,0.061,0.658436285063621
1,1,13,0.01065628,0.0371309,0.048,0.518113798082849
1,1,14,0.02737888,0.03498167,0.062,0.669230322523681
1,1,15,0.03264968,0.01687475,0.05,0.539701873002968
1,1,16,0.04569103,0.02237494,0.068,0.733994547284037
1,1,17,0.0282415,0.03890698,0.067,0.723200509823977
1,1,18,0.03624301,0.01620487,0.052,0.561289947923087
1,1,19,0.03996787,0.03939679,0.079,0.85272895934469
1,1,20,0.03726189,0.03322516,0.07,0.755582622204156
1,1,21,0.04913997,0.02077727,0.07,0.755582622204156
1,1,22,0.03344456,0.03821349,0.072,0.777170697124274
1,1,23,0.01742431,0.02991559,0.047,0.50731976062279
1,1,24,0.03201837,0.01637926,0.048,0.518113798082849
1,1,25,0.03038493,0.02808725,0.058,0.626054172683443
1,1,26,0.04270369,0.03186874,0.075,0.809552809504452
1,1,27,0.02820221,0.01799346,0.046,0.496525723162731
1,1,28,0.03901237,0.03156833,0.071,0.766376659664215
1,1,29,0.03142396,0.04063127,0.072,0.777170697124274
1,1,30,0.02492287,0.03819231,0.063,0.68002435998374
1,1,31,0.04292857,0.00814188,0.051,0.550495910463027
1,1,32,0.04154817,0.02422239,0.066,0.712406472363918
1,1,33,0.04530779,0.02257706,0.068,0.733994547284037
1,1,34,0.03232318,0.0348475,0.067,0.723200509823977
1,1,35,0.02284234,0.04102101,0.064,0.690818397443799
1,1,36,0.02746047,0.03159596,0.059,0.636848210143502
1,1,37,0.02597719,0.04275804,0.069,0.744788584744096
1,1,38,0.0462703,0.03630368,0.083,0.895905109184927
1,1,39,0.01146092,0.03976265,0.051,0.550495910463027
1,1,40,0.02168603,0.04435958,0.066,0.712406472363918
1,1,41,0.02963569,0.04191432,0.072,0.777170697124274
1,1,42,0.02987877,0.04090813,0.071,0.766376659664215
1,1,43,0.03180988,0.01436322,0.046,0.496525723162731
1,1,44,0.02838987,0.04025256,0.069,0.744788584744096
1,1,45,0.02883015,0.02354227,0.052,0.561289947923087
1,1,46,0.03927376,0.01673233,0.056,0.604466097763324
1,1,47,0.02454045,0.03004956,0.055,0.593672060303265
1,1,48,0.03764964,0.02637444,0.064,0.690818397443799
1,1,49,0.03814573,0.04308346,0.081,0.874317034264808
1,1,50,0.04017084,0.01759744,0.058,0.626054172683443
1,2,1,0.04644605,0.02352435,0.07,0.755582622204156
1,2,2,0.02096773,0.04444086,0.065,0.701612434903859
1,2,3,0.03183484,0.04677884,0.079,0.85272895934469
1,2,4,0.02923929,0.04180307,0.071,0.766376659664215
1,2,5,0.02646469,0.0299467,0.056,0.604466097763324
1,2,6,0.04264034,0.02451131,0.067,0.723200509823977
1,2,7,0.0401807,0.01240815,0.053,0.572083985383146
1,2,8,0.04885937,0.02078457,0.07,0.755582622204156
1,2,9,0.03555626,0.01670989,0.052,0.561289947923087
1,2,10,0.03965986,0.03010134,0.07,0.755582622204156
1,2,11,0.02071833,0.03245603,0.053,0.572083985383146
1,2,12,0.01945606,0.04514265,0.065,0.701612434903859
1,2,13,0.04446766,0.04301762,0.087,0.939081259025164
1,2,14,0.03920764,0.03771286,0.077,0.831140884424571
1,2,15,0.03065025,0.02134956,0.052,0.561289947923087
1,2,16,0.03655356,0.02083788,0.057,0.615260135223384
1,2,17,0.04497011,0.02243809,0.067,0.723200509823977
1,2,18,0.01595553,0.04250351,0.058,0.626054172683443
1,2,19,0.02028345,0.02791707,0.048,0.518113798082849
1,2,20,0.03504071,0.03347642,0.069,0.744788584744096
1,2,21,0.02900801,0.04056277,0.07,0.755582622204156
1,2,22,0.04692758,0.01402652,0.061,0.658436285063621
1,2,23,0.02779296,0.0469855,0.075,0.809552809504452
1,2,24,0.04335186,0.0173951,0.061,0.658436285063621
1,2,25,0.02212204,0.04437694,0.066,0.712406472363918
1,2,26,0.04063648,0.03175161,0.072,0.777170697124274
1,2,27,0.04582514,0.03952936,0.085,0.917493184105046
1,2,28,0.02972674,0.03299423,0.063,0.68002435998374
1,2,29,0.04270545,0.02316081,0.066,0.712406472363918
1,2,30,0.04396104,0.03750879,0.081,0.874317034264808
1,2,31,0.04134957,0.03811896,0.079,0.85272895934469
1,2,32,0.02080198,0.03505255,0.056,0.604466097763324
1,2,33,0.03467519,0.03705411,0.072,0.777170697124274
1,2,34,0.03532221,0.0221663,0.057,0.615260135223384
1,2,35,0.02266776,0.04515868,0.068,0.733994547284037
1,2,36,0.04806392,0.02375125,0.072,0.777170697124274
1,2,37,0.04275221,0.01647077,0.059,0.636848210143502
1,2,38,0.03498836,0.02323746,0.058,0.626054172683443
1,2,39,0.03328199,0.01927589,0.053,0.572083985383146
1,2,40,0.00956922,0.02745191,0.037,0.399379386022196
1,2,41,0.02138863,0.04499847,0.066,0.712406472363918
1,2,42,0.03023736,0.04131475,0.072,0.777170697124274
1,2,43,0.02874584,0.03777671,0.067,0.723200509823977
1,2,44,0.04350007,0.01743263,0.061,0.658436285063621
1,2,45,0.02626248,0.04160499,0.068,0.733994547284037
1,2,46,0.03098089,0.02744425,0.058,0.626054172683443
1,2,47,0.02002617,0.03948835,0.06,0.647642247603562
1,2,48,0.02276709,0.03700918,0.06,0.647642247603562
1,2,49,0.04141762,0.0199788,0.061,0.658436285063621
1,2,50,0.02028064,0.03789917,0.058,0.626054172683443
1,3,1,0.04396215,0.01460947,0.059,0.636848210143502
1,3,2,0.0415532,0.03533476,0.077,0.831140884424571
1,3,3,0.04486673,0.02405872,0.069,0.744788584744096
1,3,4,0.03347102,0.03528639,0.069,0.744788584744096
1,3,5,0.01290108,0.0384959,0.051,0.550495910463027
1,3,6,0.03756298,0.04405701,0.082,0.885111071724868
1,3,7,0.03244272,0.0172344,0.05,0.539701873002968
1,3,8,0.02424752,0.03234789,0.057,0.615260135223384
1,3,9,0.04027409,0.01058822,0.051,0.550495910463027
1,3,10,0.02407551,0.05014703,0.074,0.798758772044393
1,3,11,0.03818569,0.03365685,0.072,0.777170697124274
1,3,12,0.03654461,0.02832508,0.065,0.701612434903859
1,3,13,0.02309472,0.04025116,0.063,0.68002435998374
1,3,14,0.02475249,0.03468535,0.059,0.636848210143502
1,3,15,0.01994632,0.04064963,0.061,0.658436285063621
1,3,16,0.04762186,0.03493719,0.083,0.895905109184927
1,3,17,0.01849728,0.04131839,0.06,0.647642247603562
1,3,18,0.02865845,0.03841284,0.067,0.723200509823977
1,3,19,0.04505772,0.01875187,0.064,0.690818397443799
1,3,20,0.0238201,0.03467193,0.058,0.626054172683443
1,3,21,0.0385873,0.0490419,0.088,0.949875296485224
1,3,22,0.03670259,0.0266869,0.063,0.68002435998374
1,3,23,0.04101472,0.02632871,0.067,0.723200509823977
1,3,24,0.03981592,0.02358314,0.063,0.68002435998374
1,3,25,0.05006018,0.0356333,0.086,0.928287221565105
1,3,26,0.02355089,0.04739721,0.071,0.766376659664215
1,3,27,0.0320369,0.01933017,0.051,0.550495910463027
1,3,28,0.02426617,0.04558553,0.07,0.755582622204156
1,3,29,0.04835179,0.02278385,0.071,0.766376659664215
1,3,30,0.03055295,0.01645743,0.047,0.50731976062279
1,3,31,0.02514562,0.04337057,0.069,0.744788584744096
1,3,32,0.02594131,0.04352642,0.069,0.744788584744096
1,3,33,0.03950926,0.02014132,0.06,0.647642247603562
1,3,34,0.01224836,0.03470118,0.047,0.50731976062279
1,3,35,0.04145622,0.01620107,0.058,0.626054172683443
1,3,36,0.02781153,0.0508598,0.079,0.85272895934469
1,3,37,0.02493938,0.04328574,0.068,0.733994547284037
1,3,38,0.01382176,0.04351344,0.057,0.615260135223384
1,3,39,0.0082918,0.0347871,0.043,0.464143610782553
1,3,40,0.0090821,0.04047514,0.05,0.539701873002968
1,3,41,0.03030045,0.04196596,0.072,0.777170697124274
1,3,42,0.03525934,0.03876655,0.074,0.798758772044393
1,3,43,0.04483749,0.03857882,0.083,0.895905109184927
1,3,44,0.03085169,0.03975304,0.071,0.766376659664215
