"arrayNumber","simulation","bout","bee","similarityIndex"
1,1,1,1,0
1,1,1,2,0.82258064516129
1,1,2,1,0.333333333333333
1,1,2,2,0.327586206896552
1,1,3,1,0.425
1,1,3,2,0.392857142857143
1,1,4,1,0.375
1,1,4,2,0.464285714285714
1,1,5,1,0.46875
1,1,5,2,0
1,1,6,1,0.46875
1,1,6,2,0.3
1,1,7,1,0.482758620689655
1,1,7,2,0
1,1,8,1,0.53448275862069
1,1,8,2,0
1,1,9,1,0.4
1,1,9,2,0
1,1,10,1,0.4
1,1,10,2,0.3
1,1,11,1,0.472222222222222
1,1,11,2,0
1,1,12,1,0.534090909090909
1,1,12,2,0
1,1,13,1,0.284090909090909
1,1,13,2,0.40625
1,1,14,1,0
1,1,14,2,0.636363636363636
1,1,15,1,0
1,1,15,2,0.576923076923077
1,1,16,1,0.3
1,1,16,2,0.3125
1,1,17,1,0.3
1,1,17,2,0.475609756097561
1,1,18,1,0
1,1,18,2,0.414634146341463
1,1,19,1,0.636363636363636
1,1,19,2,0.384615384615385
1,1,20,1,0.25
1,1,20,2,0.272727272727273
1,1,21,1,0
1,1,21,2,0
1,1,22,1,0.35
1,1,22,2,0.314814814814815
1,1,23,1,0.65
1,1,23,2,0.203703703703704
1,1,24,1,0.433333333333333
1,1,24,2,0.8
1,1,25,1,0.420634920634921
1,1,25,2,0.6
1,1,26,1,0.436507936507937
1,1,26,2,0
1,1,27,1,0
1,1,27,2,0.352941176470588
1,1,28,1,0.115384615384615
1,1,28,2,0.455882352941176
1,1,29,1,0.211538461538462
1,1,29,2,0
1,1,30,1,0.590909090909091
1,1,30,2,0
1,1,31,1,0.3
1,1,31,2,1
1,1,32,1,0.597222222222222
1,1,32,2,1
1,1,33,1,0.638888888888889
1,1,33,2,1
1,1,34,1,0.30952380952381
1,1,34,2,0.375
1,1,35,1,0.555555555555556
1,1,35,2,0.375
1,1,36,1,0.541666666666667
1,1,36,2,0.833333333333333
1,1,37,1,0.40625
1,1,37,2,0.833333333333333
1,1,38,1,0.46875
1,1,38,2,1
1,1,39,1,0.321428571428571
1,1,39,2,1
1,1,40,1,0.608695652173913
1,1,40,2,1
1,1,41,1,0.58695652173913
1,1,41,2,1
1,1,42,1,0.3
1,1,42,2,0.548387096774194
1,1,43,1,0.482142857142857
1,1,43,2,0.548387096774194
1,1,44,1,0.517857142857143
1,1,44,2,1
1,1,45,1,0.466666666666667
1,1,45,2,0.714285714285714
1,1,46,1,0.375
1,1,46,2,0.714285714285714
1,1,47,1,0.458333333333333
1,1,47,2,1
1,1,48,1,0.25
1,1,48,2,0.549019607843137
1,1,49,1,0.5
1,1,49,2,0.549019607843137
1,2,1,1,0.568181818181818
1,2,1,2,0.477777777777778
1,2,2,1,0.375
1,2,2,2,0.633333333333333
1,2,3,1,0.333333333333333
1,2,3,2,0.395833333333333
1,2,4,1,0
1,2,4,2,0.35
1,2,5,1,0
1,2,5,2,0.354166666666667
1,2,6,1,0
1,2,6,2,0.385416666666667
1,2,7,1,0.375
1,2,7,2,0.310810810810811
1,2,8,1,0
1,2,8,2,0.432432432432432
1,2,9,1,0.256756756756757
1,2,9,2,0
1,2,10,1,0.802631578947368
1,2,10,2,0
1,2,11,1,0.381578947368421
1,2,11,2,0.25
1,2,12,1,0
1,2,12,2,0.681818181818182
1,2,13,1,0
1,2,13,2,0.393939393939394
1,2,14,1,0
1,2,14,2,0
1,2,15,1,0.404761904761905
1,2,15,2,0
1,2,16,1,0.142857142857143
1,2,16,2,0
1,2,17,1,0.3125
1,2,17,2,0
1,2,18,1,0.625
1,2,18,2,0.382352941176471
1,2,19,1,0
1,2,19,2,0.294117647058824
1,2,20,1,0.277777777777778
1,2,20,2,0.428571428571429
1,2,21,1,0.3
1,2,21,2,0.5
1,2,22,1,0
1,2,22,2,0.321428571428571
1,2,23,1,0
1,2,23,2,0.607142857142857
1,2,24,1,0.318181818181818
1,2,24,2,0.3
1,2,25,1,0.409090909090909
1,2,25,2,0.3
1,2,26,1,0.666666666666667
1,2,26,2,0.452380952380952
1,2,27,1,0
1,2,27,2,0.595238095238095
1,2,28,1,0
1,2,28,2,0.642857142857143
1,2,29,1,0.8
1,2,29,2,0.428571428571429
1,2,30,1,0.8
1,2,30,2,0.428571428571429
1,2,31,1,0.8
1,2,31,2,0.5
1,2,32,1,0
1,2,32,2,0.428571428571429
1,2,33,1,0
1,2,33,2,0.428571428571429
1,2,34,1,1
1,2,34,2,0.352941176470588
1,2,35,1,1
1,2,35,2,0.411764705882353
1,2,36,1,0.8
1,2,36,2,0.230769230769231
1,2,37,1,0.8
1,2,37,2,0.428571428571429
