"ArrayNumber","Simulation","Bout","Q1","Q2","Qall","QallRelative"
10,1,1,0.03412763,0.04340562,0.078,0.360775573125532
10,1,2,0.0222342,0.06485177,0.087,0.402403523870785
10,1,3,0.07498727,0.03055079,0.106,0.490284753221876
10,1,4,0.08372551,0.01358834,0.097,0.448656802476623
10,1,5,0.05597773,0.06080001,0.117,0.541163359688297
10,1,6,0.02823202,0.02763825,0.056,0.259018360192689
10,1,7,0.03653272,0.05795388,0.094,0.434780818894871
10,1,8,0.01868616,0.03520583,0.054,0.249767704471522
10,1,9,0.00753323,0.05646852,0.064,0.296020983077359
10,1,10,0.02956685,0.02831285,0.058,0.268269015913857
10,1,11,0.04272917,0.05587273,0.099,0.45790745819779
10,1,12,0.03067026,0.02857746,0.059,0.27289434377444
10,1,13,0.01358834,0.05893872,0.073,0.337648933822613
10,1,14,0.06180002,0.04375886,0.106,0.490284753221876
10,1,15,0.00762953,0.06235087,0.07,0.323772950240862
10,1,16,0.01659898,0.06751905,0.084,0.388527540289034
10,1,17,0.03143237,0.0179575,0.049,0.226641065168603
10,1,18,0.03492289,0.03436879,0.069,0.319147622380278
10,1,19,0.04626726,0.06866573,0.115,0.53191270396713
10,1,20,0.01554453,0.0554676,0.071,0.328398278101445
10,1,21,0.00945316,0.02763825,0.037,0.171137130841598
10,1,22,0.0912819,0.06347338,0.155,0.716925818390479
10,1,23,0.05435336,0.05176488,0.106,0.490284753221876
10,1,24,0.06160318,0.0273161,0.089,0.411654179591953
10,1,25,0.04086498,0.07678717,0.118,0.545788687548881
10,1,26,0.05439701,0.03432585,0.089,0.411654179591953
10,1,27,0.05182297,0.03071769,0.083,0.38390221242845
10,1,28,0.01456919,0.06937688,0.084,0.388527540289034
10,1,29,0.05946559,0.04375886,0.103,0.476408769640125
10,1,30,0.01133367,0.03127631,0.043,0.198889098005101
10,1,31,0.04204584,0.02410396,0.066,0.305271638798527
10,1,32,0.02763825,0.05729862,0.085,0.393152868149618
10,1,33,0.02412435,0.03412763,0.058,0.268269015913857
10,1,34,0.04162411,0.01750717,0.059,0.27289434377444
10,1,35,0.0265716,0.021888,0.048,0.222015737308019
10,1,36,0.02360746,0.03957041,0.063,0.291395655216775
10,1,37,0.01975378,0.13256313,0.152,0.703049834808728
10,1,38,0.04985635,0.006139,0.056,0.259018360192689
10,1,39,0.03013294,0.04533469,0.075,0.34689958954378
10,1,40,0.05829574,0.04792724,0.106,0.490284753221876
10,1,41,0.05246071,0.07215249,0.125,0.578165982572967
10,1,42,0.05435336,0.0330145,0.087,0.402403523870785
10,1,43,0.02205768,0.06512143,0.087,0.402403523870785
10,1,44,0.02096733,0.02763825,0.049,0.226641065168603
10,1,45,0.0577641,0.02590922,0.084,0.388527540289034
10,1,46,0.05348567,0.01554832,0.069,0.319147622380278
10,1,47,0.04237028,0.00873072,0.051,0.235891720889771
10,1,48,0.10065259,0.03658553,0.137,0.633669916899972
10,1,49,0.02652064,0.03254143,0.059,0.27289434377444
10,1,50,0.03127631,0.05002695,0.081,0.374651556707283
10,2,1,0.05175098,0.01093971,0.063,0.291395655216775
10,2,2,0.05435336,0.01962511,0.074,0.342274261683197
10,2,3,0.04582442,0.04128292,0.087,0.402403523870785
10,2,4,0.04675574,0.04533469,0.092,0.425530163173704
10,2,5,0.04105911,0.06511009,0.106,0.490284753221876
10,2,6,0.0037336,0.07681106,0.081,0.374651556707283
10,2,7,0.03314078,0.04375886,0.077,0.356150245264948
10,2,8,0.05118305,0.00660729,0.058,0.268269015913857
10,2,9,0.02082088,0.03105881,0.052,0.240517048750354
10,2,10,0.03606723,0.04808062,0.084,0.388527540289034
10,2,11,0.01358834,0.05227034,0.066,0.305271638798527
10,2,12,0.03298716,0.03332768,0.066,0.305271638798527
10,2,13,0.05529261,0.00760788,0.063,0.291395655216775
10,2,14,0.01358834,0.0691148,0.083,0.38390221242845
10,2,15,0.10727416,0.00760788,0.115,0.53191270396713
10,2,16,0.04275216,0.01520022,0.058,0.268269015913857
10,2,17,0.05094328,0.1149354,0.166,0.7678044248569
