"arrayNumber";"simulation";"bout";"H2";"Q";"Qnorm"
1;1;1;0,0947426954922079;0,0884353741496599;0,286764705882353
1;1;2;0,17120431665247;0,194444444444444;0,466666666666667
1;1;3;0,142857142857143;0,1484375;0,38
1;1;4;0;0,106666666666667;0,214285714285714
1;1;5;0;0,0854700854700855;0,192307692307692
1;1;6;0,0342206970405324;0,0740740740740741;0,28957528957529
1;1;7;0;0,25;0,666666666666667
1;1;8;0,657417700062727;0,140625;0,666666666666667
1;1;9;0,882217491231429;0,273483947681332;1,04545454545455
1;1;10;0,103759374819711;0,142011834319527;0,342857142857143
1;1;11;0;0,247933884297521;0,5
1;1;12;0,148040955482932;0,133333333333333;0,333333333333333
1;1;13;NA;0,408163265306122;1
1;1;14;0;0;0
1;1;15;0;0,326530612244898;0,8
1;1;16;0,135548305583946;0,110726643598616;0,222222222222222
1;1;17;0,155005536836786;0,16;0,380952380952381
1;1;18;NA;0,5;1
1;1;19;0,268385589922857;0,249134948096886;0,75
1;1;20;0;0,0710059171597633;0,15
1;1;21;0;0,1875;0,5
1;1;22;0,171855509242725;0,248520710059172;0,777777777777778
1;1;23;0,190653680052139;0,165680473372781;0,388888888888889
1;1;24;0;0,24;0,666666666666667
1;1;25;0,239351985692841;0,183673469387755;0,375
1;1;26;0;0,222222222222222;0,5
1;1;27;0;0,333333333333333;0,75
1;1;28;0;0,375;0,75
1;1;29;0;0,333333333333333;0,666666666666667
1;1;30;0;0,32;0,666666666666666
1;1;31;0;0,0997229916897507;0,214285714285714
1;1;32;NA;0,48;1
1;1;33;0,16442291849514;0,208616780045352;0,442307692307692
1;1;34;0;0,0987654320987654;0,5
1;1;35;1;0,495867768595041;1
1;1;36;0;0,333333333333333;0,75
1;1;37;0;0,125;0,266666666666667
1;1;38;0;0,16;0,333333333333333
1;1;39;0,333333333333333;0,248520710059172;0,7
1;1;40;0;0,222222222222222;0,5
1;1;41;0;0,25;0,5
1;1;42;1;0,408163265306122;1
1;1;43;0,314668521038414;0,222222222222222;0,8
1;1;44;0,0862246947178845;0,142857142857143;0,35
1;1;45;0;0,0826446280991736;0,166666666666667
1;1;46;0;0,1875;0,5
1;1;47;0;0,25;0,666666666666667
1;1;48;0;0,32;0,666666666666667
1;1;49;0;0;0
1;1;50;0,124224640492375;0,17;0,404761904761905
1;2;1;0;0,0886426592797784;0,177777777777778
1;2;2;0;0,0946745562130177;0,25
1;2;3;0;0,25;0,5
1;2;4;0;0,244897959183673;0,6
1;2;5;0;0,0997229916897507;0,4
1;2;6;0;0,110726643598616;0,533333333333333
1;2;7;0;0,0968858131487889;0,194444444444444
1;2;8;0,296081910965865;0,343195266272189;0,69047619047619
1;2;9;0;0,18;0,428571428571428
1;2;10;0,0862246947178851;0,165289256198347;0,357142857142857
1;2;11;0;0,18;0,428571428571429
1;2;12;0,135631123727721;0,0875;0,25089605734767
1;2;13;1;0,328180737217598;1,04545454545455
1;2;14;0,103524242563572;0,158790170132325;0,323076923076923
1;2;15;NA;0,5;1
1;2;16;0;0,222222222222222;0,5
1;2;17;0;0,16;0,333333333333333
1;2;18;0,0377931879374072;0,08;0,25
1;2;19;0;0,142857142857143;0,583333333333333
1;2;20;0;0,25;0,5
1;2;21;0,0203718165927143;0,045;0,264705882352941
1;2;22;0,205437151134551;0,148148148148148;0,428571428571429
1;2;23;0;0,222222222222222;0,5
1;2;24;0,820134430283707;0,223140495867769;0,947368421052632
1;2;25;NA;0,444444444444445;1
1;2;26;NA;0,493827160493827;1
1;2;27;1;0,090702947845805;1
1;2;28;0,0516014541635788;0,131519274376417;0,3625
1;2;29;0;0,165289256198347;0,333333333333333
1;2;30;0;0,3;0,6
1;2;31;0,5;0,296296296296296;0,857142857142857
1;2;32;0;0,0756143667296786;0,192307692307692
1;2;33;0;0,347222222222222;0,833333333333333
1;2;34;0,252444563099421;0,179930795847751;0,433333333333333
1;2;35;0,0554671156509528;0,13840830449827;0,303030303030303
1;2;36;0;0,28099173553719;0,607142857142857
1;2;37;1;0,345679012345679;1
1;2;38;0,105515181225063;0,166666666666667;0,4
1;2;39;0;0,2;0,625
1;2;40;0;0,32;0,666666666666666
1;2;41;0;0,28125;0,6
1;2;42;0,111754267102404;0,153061224489796;0,454545454545455
1;2;43;0;0,142011834319527;0,3
1;2;44;0;0,244897959183673;0,6
1;2;45;0,666666666666667;0,414201183431953;0,875
1;2;46;0;0,103806228373702;0,357142857142857
1;2;47;0;0,16;0,333333333333333
1;2;48;0;0,16;0,333333333333333
1;2;49;NA;0,444444444444445;1
1;2;50;0;0,326530612244898;0,8
1;3;1;0;0,0356930398572279;0,113636363636364
1;3;2;0,07813824998818;0,0987654320987655;0,240384615384615
1;3;3;0;0,138888888888889;0,285714285714286
1;3;4;0;0,122448979591837;0,25
1;3;5;0,0371016741004218;0,119113573407202;0,252941176470588
1;3;6;0;0,07202216066482;0,185714285714286
1;3;7;0,666666666666666;0,36;0,857142857142857
1;3;8;0;0,148148148148148;0,333333333333333
1;3;9;0,0262196346359814;0,106995884773663;0,30952380952381
1;3;10;0;0,0997229916897507;0,204545454545455
1;3;11;1;0,5;1
1;3;12;0;0,32;0,666666666666667
1;3;13;0;0,247933884297521;0,5
1;3;14;0,5;0,296296296296296;0,857142857142857
1;3;15;0;0,0828402366863905;0,194444444444444
1;3;16;0;0,197530864197531;0,4
1;3;17;0,17376534287144;0,180555555555556;0,371428571428571
1;3;18;0,114706663617031;0,111111111111111;0,321428571428571
1;3;19;0,185961963767419;0,222222222222222;0,5
1;3;20;0,456887652641058;0,28;0,583333333333333
1;3;21;NA;0,46875;1
1;3;22;NA;0,48;1
1;3;23;0,116517116360619;0,136054421768707;0,555555555555555
1;3;24;0,0290852673118078;0,108843537414966;0,222222222222222
1;3;25;0,333333333333334;0,32;0,666666666666667
1;3;26;1;0,110726643598616;1
1;3;27;0,665281947565976;0,191467221644121;0,851851851851852
1;3;28;0;0,326530612244898;0,8
1;3;29;0;0,21301775147929;0,6
1;3;30;0;0,24;0,5
1;3;31;0,467570805952616;0,27625;0,692789968652038
1;3;32;0,383688546596343;0,21;0,875
1;3;33;0;0,296296296296296;0,6
1;3;34;0;0,24;0,75
1;3;35;0,100520654976816;0,21301775147929;0,6
1;3;36;NA;0,408163265306122;1
1;3;37;0;0,21301775147929;0,6
1;3;38;0,134637042011606;0,193905817174515;0,448717948717949
1;3;39;NA;0,444444444444445;1
1;3;40;0;0,125;0,266666666666667
1;3;41;0;0,333333333333333;0,75
1;3;42;0,061052674521186;0,112244897959184;0,244444444444444
1;3;43;0,523927556898489;0,36281179138322;0,769230769230769
1;3;44;NA;0,493827160493827;1
1;3;45;0,0577234780206238;0,130193905817174;0,279761904761905
1;3;46;0;0,25;0,5
1;3;47;0;0,166666666666667;0,333333333333333
1;3;48;0,155584475587655;0,124444444444444;0,25
1;3;49;0;0,1640625;0,538461538461538
1;3;50;0,233680436651211;0,258503401360544;0,548076923076923
1;4;1;0,22002121138207;0,142222222222222;0,397515527950311
1;4;2;0;0,166666666666667;0,6
1;4;3;0,355245321275764;0,234567901234568;0,475
1;4;4;0;0,0987654320987654;0,222222222222222
1;4;5;0;0,166666666666667;0,6
1;4;6;0;0,3125;0,666666666666667
1;4;7;0;0,0184304399524376;0,0868347338935575
1;4;8;0,396338568193802;0,263374485596708;0,6
1;4;9;0,276048163585758;0,22;0,611111111111111
1;4;10;0;0,16;0,75
1;4;11;0;0,0798816568047337;0,203007518796993
1;4;12;0;0,32;0,666666666666667
1;4;13;0,0231028090374145;0,0756143667296787;0,178571428571429
1;4;14;1;0,21875;1
1;4;15;0,443634177614679;0,315558802045289;0,670807453416149
1;4;16;0;0,0833333333333333;0,166666666666667
1;4;17;0;0,326530612244898;0,8
1;4;18;0;0,0991735537190083;0,25
1;4;19;0;0,0533333333333333;0,125
1;4;20;0;0,165289256198347;0,333333333333333
1;4;21;0,314668521038413;0,222222222222222;0,5
1;4;22;0;0,197530864197531;0,571428571428572
1;4;23;0;0,0816326530612245;0,25
1;4;24;0;0,166666666666667;0,333333333333333
1;4;25;NA;0,5;1
1;4;26;0;0,244897959183673;0,6
1;4;27;0;0,247933884297521;0,625
1;4;28;0;0,142857142857143;0,583333333333333
1;4;29;0,277748239013289;0,26;0,541666666666667
1;4;30;0,18164221276432;0,132963988919668;0,705882352941176
1;4;31;0,0442710350079809;0,109375;0,259259259259259
1;4;32;0;0,333333333333333;0,75
1;4;33;0;0,244897959183673;0,6
1;4;34;0;0,111111111111111;0,228571428571429
1;4;35;0,420619835714305;0,414201183431953;0,833333333333333
1;4;36;0;0,24;0,666666666666667
1;4;37;0,420619835714305;0,244897959183673;0,6
1;4;38;0,75;0,378698224852071;0,888888888888889
1;4;39;0;0,25;0,666666666666667
1;4;40;1;0,104938271604938;1
1;4;41;NA;0,408163265306122;1
1;4;42;0,333333333333333;0,3;0,714285714285714
1;4;43;0;0,25;0,5
1;4;44;0;0,198347107438016;0,666666666666667
1;4;45;0;0,330578512396694;0,666666666666667
1;4;46;0;0,0816326530612245;0,166666666666667
1;4;47;0;0,36734693877551;0,75
1;4;48;0;0,186666666666667;0,375
1;4;49;0;0,25;0,666666666666667
1;4;50;0;0,122448979591837;0,25
1;5;1;1;0,495867768595041;1
1;5;2;0,275488750216347;0,272189349112426;0,547619047619048
1;5;3;0;0,15916955017301;0,319444444444444
1;5;4;0,0654163107904035;0,142222222222222;0,30622009569378
1;5;5;0,266319563348789;0,148148148148148;0,333333333333333
1;5;6;0,176014454743201;0,1;0,266666666666667
1;5;7;0,228443826320529;0,25;0,5
1;5;8;0;0,2;0,625
1;5;9;0,0496392470638929;0,100346020761246;0,254385964912281
1;5;10;0;0,2;0,625
1;5;11;0,502615248747901;0,1328125;0,607142857142857
1;5;12;0;0,0594883997620464;0,133333333333333
1;5;13;0;0,125;0,257142857142857
1;5;14;NA;0,408163265306122;1
1;5;15;0,15876032857139;0,21301775147929;0,818181818181818
1;5;16;0,420619835714305;0,3125;0,666666666666667
1;5;17;0;0,28125;0,6
1;5;18;1;0,493827160493827;1
1;5;19;0;0,142011834319527;0,4
1;5;20;NA;0,493827160493827;1
1;5;21;0;0,32;0,666666666666667
1;5;22;0,141541406655651;0,238227146814404;0,477777777777778
1;5;23;0;0,25;0,5
1;5;24;0;0,141975308641975;0,298701298701299
1;5;25;0;0,3125;0,833333333333333
1;5;26;0;0,222222222222222;0,5
1;5;27;0;0,118343195266272;0,454545454545454
1;5;28;0;0,32;0,666666666666666
1;5;29;0;0,1875;0,5
1;5;30;0,333333333333333;0,296296296296296;0,6
1;5;31;0,127896182198782;0,133333333333333;0,454545454545455
1;5;32;0,148802201240527;0,14;0,307692307692308
1;5;33;0,155584475587655;0,136363636363636;0,388235294117647
1;5;34;0,215791443746611;0,243767313019391;0,523809523809524
1;5;35;0,500000000000001;0,4;0,8
1;5;36;0;0;0
1;5;37;0;0,296296296296296;0,6
1;5;38;0,538332843146901;0,230452674897119;0,666666666666667
1;5;39;0,142219131602644;0,163265306122449;0,4
1;5;40;0;0,121883656509695;0,282051282051282
1;5;41;0;0,103806228373702;0,25
1;5;42;0;0,247933884297521;0,625
1;5;43;0,230979014010717;0,101851851851852;0,323529411764706
1;5;44;0;0,138504155124654;0,277777777777778
1;5;45;0,262479626820796;0,16;0,75
1;5;46;0,5;0,326530612244898;0,8
1;5;47;0;0,333333333333333;0,75
1;5;48;NA;0,408163265306122;1
1;5;49;0,333333333333333;0,297520661157025;0,75
1;5;50;0;0,25;0,666666666666667
1;6;1;0,064353939502685;0,0664819944598338;0,171428571428571
1;6;2;0;0,125;0,257142857142857
1;6;3;0;0,24;0,75
1;6;4;0;0,0886426592797784;0,205128205128205
1;6;5;0,0508179101714096;0,166204986149584;0,357142857142857
1;6;6;0,199373910120574;0,177285318559557;0,533333333333333
1;6;7;0;0,125;0,333333333333333
1;6;8;0;0,3125;0,833333333333333
1;6;9;0,113574152913758;0,132231404958678;0,333333333333333
1;6;10;0,119570995499012;0,125;0,615384615384615
1;6;11;0,675522438620006;0,126200274348422;0,958333333333333
1;6;12;0,0895756233752324;0,16;0,363636363636364
1;6;13;0;0,197530864197531;0,571428571428572
1;6;14;0,301998189947678;0,179930795847751;0,433333333333333
1;6;15;0;0,375;0,8
1;6;16;0,333333333333333;0,296296296296296;0,6
1;6;17;0,592163821931731;0,388888888888889;0,8
1;6;18;0,333333333333334;0,3;0,6
1;6;19;0;0,296296296296296;0,6
1;6;20;0;0,198347107438017;0,5
1;6;21;0;0,1;0,2
1;6;22;0,420619835714304;0,24;0,75
1;6;23;0,171506427173935;0,19047619047619;0,388888888888889
1;6;24;NA;0,408163265306122;1
1;6;25;1;0,495867768595041;1
1;6;26;0;0,204081632653061;0,416666666666667
1;6;27;0;0,148148148148148;0,428571428571429
1;6;28;0;0,296296296296296;0,6
1;6;29;0,859793388095231;0,432098765432099;0,909090909090909
1;6;30;0;0,32;0,666666666666667
1;6;31;0,231285158992141;0,14030612244898;0,478260869565217
1;6;32;0,333333333333334;0,3;0,6
1;6;33;0;0,166666666666667;0,333333333333333
1;6;34;0;0,136054421768707;0,375
1;6;35;0,333333333333333;0,3;0,714285714285714
1;6;36;0;0,16;0,333333333333333
1;6;37;0;0,395061728395062;0,8
1;6;38;0,408731689646218;0,131944444444444;0,863636363636364
1;6;39;0;0,125;0,25
1;6;40;0;0,32;0,666666666666667
1;6;41;0;0,222222222222222;0,5
1;6;42;0;0,4;0,833333333333334
1;6;43;0,266319563348789;0,291666666666667;0,6
1;6;44;0,210309917857152;0,260355029585799;0,523809523809524
1;6;45;0;0,109375;0,233333333333333
1;6;46;0,120499308842476;0,177514792899408;0,5
1;6;47;0;0,32;0,666666666666667
1;6;48;0;0,375;0,8
1;6;49;0;0,222222222222222;0,5
1;6;50;0,333333333333333;0,330578512396694;0,666666666666667
1;7;1;0,17376534287144;0,189349112426035;0,380952380952381
1;7;2;0,107864897552414;0,0575;0,225490196078431
1;7;3;0;0,0622837370242214;0,163636363636364
1;7;4;0;0,148148148148148;0,5
1;7;5;0;0,166666666666667;0,333333333333333
1;7;6;0;0,148760330578512;0,375
1;7;7;0,161753040939773;0,151111111111111;0,303571428571429
1;7;8;0,0716779539555253;0,0612244897959184;0,218181818181818
1;7;9;1;0,498614958448753;1
1;7;10;0;0,24;0,5625
1;7;11;0;0,103806228373702;0,208333333333333
1;7;12;1;0,345679012345679;1
1;7;13;0;0,166666666666667;0,333333333333333
1;7;14;0;0,163265306122449;0,4
1;7;15;0;0,0785123966942149;0,193877551020408
1;7;16;0,456438740736061;0,17687074829932;0,573529411764706
1;7;17;0;0,277777777777778;0,625
1;7;18;0;0,222222222222222;0,5
1;7;19;0;0,197530864197531;0,571428571428572
1;7;20;0,0728337560444398;0,163265306122449;0,444444444444444
1;7;21;0,106200935042739;0,14792899408284;0,347222222222222
1;7;22;0,771556173679471;0,306122448979592;0,909090909090909
1;7;23;0;0,1;0,2
1;7;24;0,210309917857152;0,214876033057851;0,464285714285714
1;7;25;0;0,0740740740740741;0,166666666666667
1;7;26;0;0,1171875;0,384615384615385
1;7;27;0;0,296296296296296;0,6
1;7;28;0,333333333333334;0,244897959183673;0,5
1;7;29;0,229573958513623;0,148148148148148;0,428571428571429
1;7;30;0;0,1875;0,5
1;7;31;0;0,32;0,666666666666667
1;7;32;0;0,333333333333333;0,75
1;7;33;0;0,395061728395062;0,8
1;7;34;0,326906565265074;0,2432;0,603174603174603
1;7;35;0;0,166666666666667;0,375
1;7;36;0;0,25;0,666666666666667
1;7;37;0;0,37037037037037;0,833333333333333
1;7;38;0;0,2;0,4
1;7;39;0;0,326530612244898;0,8
1;7;40;0,333333333333333;0,25;0,5
1;7;41;0;0,28125;0,6
1;7;42;0,188721875540867;0,228373702422145;0,5
1;7;43;0;0,125;0,333333333333333
1;7;44;0,191844273298172;0,15625;0,714285714285714
1;7;45;0,194843230231427;0,284444444444444;0,571428571428571
1;7;46;1;0,375;1
1;7;47;0,5;0,3125;0,833333333333333
1;7;48;0;0,25;0,5
1;7;49;NA;0,408163265306122;1
1;7;50;0,666666666666667;0,413223140495868;0,833333333333333
1;8;1;0,163070121084996;0,204081632653061;0,416666666666667
1;8;2;0;0,0453686200378072;0,390243902439024
1;8;3;0,0745028447349361;0,143667296786389;0,301587301587302
1;8;4;0;0,244897959183673;0,5
1;8;5;0;0,2;0,416666666666667
1;8;6;0,0199863674074921;0,0864;0,241071428571429
1;8;7;0,17376534287144;0,163265306122449;0,333333333333333
1;8;8;0;0,204081632653061;0,416666666666667
1;8;9;0,391210946622573;0,198347107438017;0,5
1;8;10;0,0862246947178848;0,16;0,5
1;8;11;0,333333333333334;0,296296296296296;0,666666666666667
1;8;12;0,18709233899481;0,165289256198347;0,416666666666667
1;8;13;0,348788883469526;0,141776937618147;0,493421052631579
1;8;14;0,193762604860002;0,0951557093425606;0,379310344827586
1;8;15;0,161753040939773;0,133333333333333;0,3125
1;8;16;0,266319563348789;0,208333333333333;0,555555555555556
1;8;17;0;0,197530864197531;0,571428571428572
1;8;18;0;0,132231404958678;0,266666666666667
1;8;19;0;0,142857142857143;0,291666666666667
1;8;20;0;0,296296296296296;0,666666666666667
1;8;21;0;0,222222222222222;0,5
1;8;22;0,0778195311147834;0,148148148148148;0,311688311688312
1;8;23;0,424672514040427;0,244897959183673;0,727272727272727
1;8;24;0,37192392753484;0,260355029585799;0,55
1;8;25;0;0,0946745562130177;0,25
1;8;26;0;0,244897959183673;0,75
1;8;27;0;0,103806228373702;0,227272727272727
1;8;28;1;0,345679012345679;1
1;8;29;0,670336099111166;0,333333333333333;0,75
1;8;30;0;0,172839506172839;0,35
1;8;31;0,210309917857152;0,165289256198347;0,357142857142857
1;8;32;0;0,222222222222222;0,5
1;8;33;0;0,25;0,666666666666667
1;8;34;0;0,208333333333333;0,555555555555556
1;8;35;0,142219131602645;0,111111111111111;0,25
1;8;36;0;0,0555555555555556;0,138461538461538
1;8;37;0,111754267102404;0,326530612244898;0,761904761904762
1;8;38;0;0,166666666666667;0,375
1;8;39;0,118692639895723;0,163265306122449;0,4
1;8;40;0;0,142011834319527;0,545454545454545
1;8;41;0;0,122448979591837;0,25
1;8;42;0;0;0
1;8;43;0;0,16;0,333333333333333
1;8;44;0;0,165289256198347;0,555555555555556
1;8;45;NA;0,5;1
1;8;46;0;0,333333333333333;0,75
1;8;47;0,296081910965864;0,24;0,571428571428571
1;8;48;0;0,222222222222222;0,5
1;8;49;0;0,1875;0,5
1;8;50;0,5;0,296296296296296;0,6
1;9;1;0;0,165289256198347;0,476190476190476
1;9;2;0;0,32;0,666666666666667
1;9;3;0,0572998300096195;0,128086419753086;0,29020979020979
1;9;4;0,0431123473589423;0,15;0,333333333333333
1;9;5;0,25;0,247933884297521;0,5
1;9;6;0,0406634870557376;0,12396694214876;0,25
1;9;7;0;0,222222222222222;0,5
1;9;8;0;0,153061224489796;0,454545454545455
1;9;9;0,142519452708559;0,0905349794238683;0,3
1;9;10;1;0,4296875;1
1;9;11;0,0862246947178848;0,16;0,5
1;9;12;0,58688267143572;0,306122448979592;0,625
1;9;13;0,456887652641058;0,28;0,583333333333333
1;9;14;1;0,165289256198347;1
1;9;15;0;0,25;0,5
1;9;16;0;0,244897959183673;0,5
1;9;17;0,795504990882714;0,237812128418549;0,833333333333333
1;9;18;0;0,24;0,75
1;9;19;0;0,244897959183673;0,5
1;9;20;0;0,148148148148148;0,333333333333333
1;9;21;0;0,148760330578512;0,321428571428571
1;9;22;0,25;0,277777777777778;0,625
1;9;23;0;0,0740740740740741;0,391304347826087
1;9;24;0,0904974345225071;0,0886426592797784;0,246153846153846
1;9;25;0,13700877106064;0,194444444444444;0,7
1;9;26;1;0,4296875;1,1
1;9;27;0,425570216219664;0,219478737997257;0,761904761904762
1;9;28;0,214474564090427;0,177285318559557;0,380952380952381
1;9;29;0,5;0,319526627218935;0,675
1;9;30;0;0,2;0,625
1;9;31;0;0,0991735537190083;0,214285714285714
1;9;32;NA;0,5;1
1;9;33;0;0,25;0,666666666666667
1;9;34;0,208124331531478;0,172839506172839;0,5
