"simulation";"bout";"interference";"exploitation1";"exploitation2"
1;1;2;1;4
1;2;1;6;12
1;3;0;6;21
1;4;0;14;6
1;5;2;5;3
1;6;0;7;1
1;7;0;19;0
1;8;0;16;0
1;9;0;0;33
1;10;1;0;17
1;11;1;19;0
1;12;0;10;1
1;13;1;2;10
1;14;0;1;3
1;15;0;1;2
1;16;0;1;9
1;17;3;11;9
1;18;2;0;75
1;19;0;2;4
1;20;0;21;0
1;21;0;0;82
1;22;3;2;2
1;23;0;1;7
1;24;1;16;4
1;25;0;7;1
1;26;1;0;3
1;27;0;2;36
1;28;0;12;0
1;29;2;3;0
1;30;0;0;62
1;31;0;3;11
1;32;0;1;92
1;33;0;8;2
1;34;0;2;47
1;35;0;6;2
1;36;0;3;0
1;37;0;3;0
1;38;1;6;0
1;39;0;1;31
1;40;0;2;23
1;41;2;3;4
1;42;0;6;0
1;43;0;2;23
1;44;1;1;8
1;45;1;1;4
1;46;0;2;24
1;47;0;2;12
1;48;0;3;0
1;49;0;3;0
1;50;0;2;5
2;1;0;6;0
2;2;0;5;5
2;3;0;16;1
2;4;0;43;2
2;5;2;1;5
2;6;0;19;3
2;7;2;12;3
2;8;0;13;3
2;9;1;3;2
2;10;0;16;0
2;11;1;2;2
2;12;2;24;4
2;13;1;27;6
2;14;2;22;2
2;15;0;10;4
2;16;0;3;6
2;17;0;2;0
2;18;1;2;24
2;19;0;2;15
2;20;1;22;0
2;21;1;2;20
2;22;1;2;4
2;23;0;10;3
2;24;1;1;7
2;25;2;9;17
2;26;3;16;0
2;27;0;14;0
2;28;0;3;6
2;29;0;6;0
2;30;0;4;0
2;31;0;10;0
2;32;1;2;5
2;33;1;11;0
2;34;0;7;0
2;35;0;49;0
2;36;0;21;2
2;37;0;2;0
2;38;0;5;1
2;39;0;77;4
2;40;0;2;0
2;41;0;5;0
2;42;1;0;0
2;43;0;2;0
2;44;0;6;0
2;45;0;5;0
2;46;0;4;0
2;47;0;6;0
2;48;0;2;0
2;49;0;9;0
2;50;0;0;0
3;1;1;1;2
3;2;0;1;24
3;3;0;2;2
3;4;2;1;7
3;5;0;7;0
3;6;3;2;1
3;7;3;5;10
3;8;0;1;12
3;9;0;13;2
3;10;0;1;10
3;11;1;4;2
3;12;0;1;9
3;13;0;0;6
3;14;1;2;9
3;15;1;3;24
3;16;0;4;19
3;17;0;0;3
3;18;0;1;52
3;19;0;0;27
3;20;1;21;2
3;21;1;3;17
3;22;0;0;4
3;23;0;0;4
3;24;0;17;3
3;25;0;10;1
3;26;0;3;4
3;27;6;13;1
3;28;4;0;2
3;29;1;91;1
3;30;0;2;4
3;31;0;0;13
3;32;0;0;1
3;33;0;26;0
3;34;1;0;20
3;35;0;24;7
3;36;1;0;3
3;37;1;2;10
3;38;1;0;1
3;39;0;0;39
3;40;0;0;13
3;41;0;0;5
3;42;0;0;72
3;43;0;1;2
3;44;0;0;10
3;45;0;0;36
3;46;0;0;9
3;47;0;0;2
3;48;0;0;7
3;49;0;0;3
3;50;0;0;24
4;1;1;5;0
4;2;1;14;4
4;3;0;5;4
4;4;0;2;19
4;5;0;68;1
4;6;2;3;14
4;7;0;2;8
4;8;1;6;1
4;9;1;9;2
4;10;2;13;1
4;11;0;15;1
4;12;0;1;15
4;13;1;13;1
4;14;0;4;2
4;15;4;1;22
4;16;0;0;14
4;17;0;0;17
4;18;0;0;7
4;19;0;0;9
4;20;1;47;1
4;21;1;10;0
4;22;0;2;0
4;23;3;0;17
4;24;1;41;2
4;25;0;0;1
4;26;0;0;25
4;27;0;24;0
4;28;1;14;3
4;29;0;0;16
4;30;0;29;0
4;31;0;0;36
4;32;0;0;10
4;33;0;12;0
4;34;1;31;4
4;35;2;10;1
4;36;2;1;11
4;37;1;5;65
4;38;1;4;4
4;39;0;0;10
4;40;1;4;0
4;41;0;9;2
4;42;0;0;2
4;43;1;13;1
4;44;1;0;1
4;45;0;3;38
