"sim","bout","bee","distance"
1,1,1,0.472289956945699
1,2,1,0.781219552992099
1,3,1,0.900670322764413
1,4,1,0.62303830003898
1,5,1,0.576442306182319
1,6,1,0.655857116151805
1,7,1,0.610123312445274
1,8,1,0.794739165038351
1,9,1,0.418170722768418
1,10,1,0.664140350570206
1,11,1,0.509672698188374
1,12,1,0.574628928319808
1,13,1,0.571270167344643
1,14,1,0.554909599043368
1,15,1,0.51998981691383
1,16,1,0.33892872249066
1,17,1,0.461383042640951
1,18,1,0.402813419438619
1,19,1,0.16040342456218
1,20,1,0.291978925276038
1,21,1,0.229247881188552
1,22,1,0.172736466250742
1,23,1,0.125854333486022
1,24,1,0.0893494572960435
1,25,1,0.0622291990613962
1,26,1,0.0427501984725429
1,27,1,0.0290877831659379
1,28,1,0.0196611170381153
1,29,1,0.0132295676055616
1,30,1,0.00887475790270411
1,31,1,0.00594119751605532
1,32,1,0.00397184077024347
1,33,1,0.0026528219178047
1,34,1,0.00177074425136194
1,35,1,0.00118147410287999
1,36,1,0.000788084574115931
1,37,1,0.000525583284481547
1,38,1,0.000350474933743169
1,39,1,0.000233688226402298
1,40,1,0.000155809164210801
2,1,1,0.448870313808638
2,2,1,0.353008854894576
2,3,1,0.643081925053218
2,4,1,0.534596848035082
2,5,1,0.74436924990537
2,6,1,0.304211079978441
2,7,1,0.433163776449212
2,8,1,0.843321333041341
2,9,1,0.432799735397576
2,10,1,0.869703588568352
2,11,1,0.640487197069088
2,12,1,0.672803488507744
2,13,1,0.760098452390151
2,14,1,0.681873640894803
2,15,1,0.59326699976918
2,16,1,0.501849035469616
2,17,1,0.411876481608974
2,18,1,0.326849877874593
2,19,1,0.25047629532516
2,20,1,0.185761010659085
2,21,1,0.133955440700328
2,22,1,0.0944647635075443
2,23,1,0.0655039669057898
2,24,1,0.0448705059207031
2,25,1,0.0304725573010271
2,26,1,0.0205712665662388
2,27,1,0.0138304664225291
2,28,1,0.00927272686793682
2,29,1,0.00620533446199411
2,30,1,0.00414740754103925
2,31,1,0.00276963271605105
2,32,1,0.00184851406726288
2,33,1,0.00123327435033178
2,34,1,0.000822597480717217
2,35,1,0.000548582732423968
2,36,1,0.000365803828140614
2,37,1,0.000243905679642501
2,38,1,0.000162619995277513
2,39,1,0.000108420535307415
2,40,1,7.22835595010695e-05
3,1,1,0.263029437434761
3,2,1,0.652634787465515
3,3,1,0.344511487427723
3,4,1,0.503715860062528
3,5,1,0.499068829899253
3,6,1,0.272900023890618
3,7,1,0.265987867691766
3,8,1,0.356821997546278
3,9,1,0.660634580548228
3,10,1,0.233183582660465
3,11,1,0.771733944611224
3,12,1,0.722920403444482
3,13,1,0.63987723601116
3,14,1,0.536390757297657
3,15,1,0.427778210102657
3,16,1,0.326650979224254
3,17,1,0.134522158406833
3,18,1,0.19967861036216
3,19,1,0.0355412099039773
3,20,1,0.131476458741832
3,21,1,0.0923817224183641
3,22,1,0.0638807747010919
3,23,1,0.0436690606390579
3,24,1,0.0296135606469712
3,25,1,0.0199712103665901
3,26,1,0.0134177561479599
3,27,1,0.00899180140951959
3,28,1,0.00601543322799764
3,29,1,0.00401962939331925
3,30,1,0.00268391985282564
3,31,1,0.00179113649869142
3,32,1,0.00119491752946572
3,33,1,0.000796979441717076
3,34,1,0.000531483195885736
3,35,1,0.000354394863464335
3,36,1,0.000236295578689772
3,37,1,0.000157544760676914
3,38,1,0.000105036230225176
3,39,1,7.0026993660136e-05
3,40,1,4.66859248234316e-05
4,1,1,0.448870313808638
4,2,1,0.361975693719182
4,3,1,0.496628851984162
4,4,1,0.590350305917104
4,5,1,0.366988569321922
4,6,1,0.201974534327585
4,7,1,0.564824673629415
4,8,1,0.664320329450857
4,9,1,0.145716049500611
4,10,1,0.596465789017513
4,11,1,0.521887468609078
4,12,1,0.372120946666659
4,13,1,0.656208694653581
4,14,1,0.663662291306754
4,15,1,0.605601758983175
4,16,1,0.526954756800051
4,17,1,0.437258333910807
4,18,1,0.34670684796366
4,19,1,0.263874117219849
4,20,1,0.19400200598228
4,21,1,0.138757512964249
4,22,1,0.0971946506970449
4,23,1,0.0670520615469916
4,24,1,0.0457599027145272
4,25,1,0.0309948198286213
4,26,1,0.0208857087297731
4,27,1,0.0140243766275536
4,28,1,0.00939479200387839
4,29,1,0.00628344000240522
4,30,1,0.00419800370876662
4,31,1,0.00280270221452393
4,32,1,0.00187026468230319
4,33,1,0.00124764279016429
4,34,1,0.000832117626602904
4,35,1,0.00055490330911276
4,36,1,0.000370005893014921
4,37,1,0.000246701872955718
4,38,1,0.000164481819233586
4,39,1,0.000109660726500976
4,40,1,7.31098980639477e-05
5,1,1,0.435869122343463
5,2,1,0.427226740621645
5,3,1,0.607012030433112
5,4,1,0.754690300846243
5,5,1,0.932022095205057
5,6,1,0.547443066795552
5,7,1,0.571535742884085
5,8,1,0.183876280641914
5,9,1,0.513879954473957
5,10,1,0.476357826030039
5,11,1,0.430306004481888
5,12,1,0.712615592134632
5,13,1,0.613517768081888
5,14,1,0.500095059739281
5,15,1,0.38851252218442
5,16,1,0.289979470562045
5,17,1,0.209680446047423
5,18,1,0.148017860777526
5,19,1,0.102669564763381
5,20,1,0.0703302558926761
5,21,1,0.0477593169284139
5,22,1,0.0322382979712737
5,23,1,0.0216727933646369
5,24,1,0.0145298159556905
5,25,1,0.00972297942869855
5,26,1,0.00649827202305086
5,27,1,0.00433944696785289
5,28,1,0.00289620200036543
5,29,1,0.00193224259277776
5,30,1,0.00128880301108461
5,31,1,0.000859487236365663
5,32,1,0.000573118322960347
5,33,1,0.000382135270634278
5,34,1,0.000254781914307613
5,35,1,0.000169865752181102
5,36,1,0.00011324878756422
5,37,1,7.55013930890459e-05
5,38,1,5.03352404932073e-05
5,39,1,3.35572618678304e-05
5,40,1,2.23717011926289e-05
6,1,1,0.717874612209909
6,2,1,0.252108900332559
6,3,1,0.601786606232209
6,4,1,0.617915581271967
6,5,1,0.634832244627018
6,6,1,0.468205221093036
6,7,1,0.173086274549133
6,8,1,0.377555030405642
6,9,1,0.255152791156044
6,10,1,0.331976490214162
6,11,1,0.767329496833473
6,12,1,0.40178988350226
6,13,1,0.724394851480589
6,14,1,0.675793805105602
6,15,1,0.39121854757374
6,16,1,0.539966921876667
6,17,1,0.464959771370468
6,18,1,0.383247248457247
6,19,1,0.0120931141529916
6,20,1,0.305265839143369
6,21,1,0.231427812185734
6,22,1,0.169643099849926
6,23,1,0.1210658632507
6,24,1,0.0846646960820324
6,25,1,0.0583403057569448
6,26,1,0.0397822403583345
6,27,1,0.0269308570853816
6,28,1,0.0181402967792627
6,29,1,0.0121777309664723
6,30,1,0.00815632013369113
6,31,1,0.00545448466170933
6,32,1,0.00364388793136574
6,33,1,0.00243263175296047
6,34,1,0.00162325694050821
6,35,1,0.00108284001521713
6,36,1,0.000722190841291764
6,37,1,0.000481592867616362
6,38,1,0.000321120740101506
6,39,1,0.000214106646853964
6,40,1,0.000142749390553789
7,1,1,0.4310539840216
7,2,1,0.858997125708137
7,3,1,0.34500511063872
7,4,1,0.346531023933441
7,5,1,0.314551344256748
7,6,1,0.364891553941952
7,7,1,0.269542538198204
7,8,1,0.317494788196238
7,9,1,0.69045277784235
7,10,1,0.310195887149479
7,11,1,0.721499577118805
7,12,1,0.546786737411861
7,13,1,0.352767494908322
7,14,1,0.252275827182571
7,15,1,0.153501277614351
7,16,1,0.692261542813687
7,17,1,0.238474656353976
7,18,1,0.34672166664882
7,19,1,0.042308831330539
7,20,1,0.454873482131614
7,21,1,0.363996252400753
7,22,1,0.278627948189095
7,23,1,0.205570920856805
7,24,1,0.147348215166006
7,25,1,0.103348765817763
7,26,1,0.0713565484868263
7,27,1,0.0487230130807047
7,28,1,0.0330129348238782
7,29,1,0.0222504584692259
7,30,1,0.0149429135809275
7,31,1,0.010011050868167
7,32,1,0.00669602270666331
7,33,1,0.0044738366172063
7,34,1,0.00298693735961878
7,35,1,0.00199324238627484
7,36,1,0.00132969656842555
7,37,1,0.000886850675698181
7,38,1,0.000591405584205266
7,39,1,0.000394346778704251
7,40,1,0.00026293181317116
8,1,1,0.638208899487247
8,2,1,0.331145178563261
8,3,1,0.434977005362452
8,4,1,0.704280068281427
8,5,1,0.206729783652959
8,6,1,0.629185520355065
8,7,1,0.418344387537282
8,8,1,0.774553707692544
8,9,1,0.361740272076512
8,10,1,0.196037930320218
8,11,1,0.456304490356313
8,12,1,0.580571002279844
8,13,1,0.575345705269363
8,14,1,0.209135013923541
8,15,1,0.195129414766631
8,16,1,0.169440094318028
8,17,1,0.68054468189265
8,18,1,0.106446116507635
8,19,1,0.470332601066048
8,20,1,0.527257029764482
8,21,1,0.424352567155585
8,22,1,0.0273146176386089
8,23,1,0.316995380367465
8,24,1,0.285867898435358
8,25,1,0.209384658610061
8,26,1,0.14876542586323
8,27,1,0.103628457672736
8,28,1,0.0711868244429119
8,29,1,0.00170815226321771
8,30,1,0.0478629974789229
8,31,1,0.032352324876259
8,32,1,0.0217691144435367
8,33,1,0.0146031562507066
8,34,1,0.00977595956036125
8,35,1,0.00653541742907379
8,36,1,0.00436502450902547
8,37,1,0.00291361624030482
8,38,1,0.00194401345349443
8,39,1,0.00129672204034818
8,40,1,0.000864798516058295
9,1,1,0.244532020866612
9,2,1,0.335725256062822
9,3,1,0.355746417736808
9,4,1,0.507936920496625
9,5,1,0.925518809677463
9,6,1,0.968265158171825
9,7,1,0.94298943785516
9,8,1,0.842280552808254
9,9,1,0.806053311217091
9,10,1,0.658508232757303
9,11,1,0.586464889041928
9,12,1,0.455370936258873
9,13,1,0.177407735082625
9,14,1,0.443814562131834
9,15,1,0.27994245556877
9,16,1,0.198075065785338
9,17,1,0.305074422576993
9,18,1,0.134247753574929
9,19,1,0.25521547980178
9,20,1,0.099212910133897
9,21,1,0.0684125289626169
9,22,1,0.0466727139180725
9,23,1,0.0316056548796886
9,24,1,0.0212938508423013
9,25,1,0.0142968470988367
9,26,1,0.00957659575236691
9,27,1,0.00640470903124639
9,28,1,0.00427887834167362
9,29,1,0.00285663106595037
9,30,1,0.00190622268795354
9,31,1,0.00127161718511298
9,32,1,0.000848101611657082
9,33,1,0.000565559765800543
9,34,1,0.000377110404198151
9,35,1,0.000251438305421716
9,36,1,0.000167639481563443
9,37,1,0.000111765852785849
9,38,1,7.45133236108502e-05
9,39,1,4.96767736276323e-05
9,40,1,3.3118393351726e-05
10,1,1,0.625584413670216
10,2,1,0.57565804438103
10,3,1,0.844870029658543
10,4,1,0.896481177325262
10,5,1,0.224655688389493
10,6,1,0.225550660249362
10,7,1,0.52560920602157
10,8,1,0.813361154490579
10,9,1,0.284257942381872
10,10,1,0.485431358000437
10,11,1,0.473380060496743
10,12,1,0.484172944298898
10,13,1,0.0704731553813371
10,14,1,0.605830809089567
10,15,1,0.511609342872264
10,16,1,0.387724792921841
10,17,1,0.372642888401183
10,18,1,0.287829368009085
10,19,1,0.214666360551922
10,20,1,0.21373776191964
10,21,1,0.145983714380723
10,22,1,0.103463208085556
10,23,1,0.0719999324304232
10,24,1,0.0494434168849971
10,25,1,0.0336359006353399
10,26,1,0.0227334094603403
10,27,1,0.0152962626470565
10,28,1,0.010260969619836
10,29,1,0.0068691372053769
10,30,1,0.00459217310290148
10,31,1,0.00306714025382803
10,32,1,0.0020472973619097
10,33,1,0.00136599481777365
10,34,1,0.000911166067818215
10,35,1,0.000607667736728128
10,36,1,0.000405211302251875
10,37,1,0.000270185098096418
10,38,1,0.000180143061690445
10,39,1,0.000120104115098728
10,40,1,8.00732952523112e-05
11,1,1,0.614376767125824
11,2,1,0.645594949359755
11,3,1,0.634135725698174
11,4,1,0.633316109302106
11,5,1,0.240582910910688
11,6,1,0.435767614402601
11,7,1,0.718551292390057
11,8,1,0.450766763785466
11,9,1,0.696662611443317
11,10,1,0.691481839323273
11,11,1,0.702035921789595
11,12,1,0.552581947925654
11,13,1,0.862605509310204
11,14,1,0.898833370160305
11,15,1,0.33828439726322
11,16,1,0.42393356427956
11,17,1,0.73642621968352
11,18,1,0.454742745198989
11,19,1,0.64360139919107
11,20,1,0.566243027485832
11,21,1,0.475688688941446
11,22,1,0.381456741664426
11,23,1,0.293029488064531
11,24,1,0.216985304442092
11,25,1,0.156018633458762
11,26,1,0.109699880783512
11,27,1,0.075880022752642
11,28,1,0.05187936782627
11,29,1,0.0351836296310746
11,30,1,0.0237283619430446
11,31,1,0.0159422417664449
11,32,1,0.0106836346213939
11,33,1,0.00714727590191235
11,34,1,0.00477595552965368
11,35,1,0.00318892354157504
11,36,1,0.00212815570171225
11,37,1,0.00141975277394983
11,38,1,0.000946938893565864
11,39,1,0.000631486975194179
11,40,1,0.000421077748480224
12,1,1,0.336641224417281
12,2,1,0.326252063698161
12,3,1,0.339937356480319
12,4,1,0.6773034396668
12,5,1,0.299587221796017
12,6,1,0.346207156224565
12,7,1,0.257415313621152
12,8,1,0.515469011773582
12,9,1,0.72469067882088
12,10,1,0.224853600306683
12,11,1,0.206518337116373
12,12,1,0.549932822224594
12,13,1,0.414157677266894
12,14,1,0.446366735069725
12,15,1,0.179975317497737
12,16,1,0.150288314775478
12,17,1,0.118369384276582
12,18,1,0.088971688849647
12,19,1,0.629473150723305
12,20,1,0.0456192903502902
12,21,1,0.634452827975469
12,22,1,0.615343419699077
12,23,1,0.554976754456719
12,24,1,0.467348628632643
12,25,1,0.370842694187127
12,26,1,0.280439097454442
12,27,1,0.204385534733934
12,28,1,0.144959926425035
12,29,1,0.100832775551684
12,30,1,0.0691909810475436
12,31,1,0.0470358494661165
12,32,1,0.0317713429649949
12,33,1,0.0213680918841281
12,34,1,0.0143295440828013
12,35,1,0.0095907146518844
12,36,1,0.00641064410559583
12,37,1,0.00428127009647761
12,38,1,0.00285752423321627
12,39,1,0.00190650470000162
12,40,1,0.00127166537568317
13,1,1,0.263029437434804
13,2,1,0.483189879122361
13,3,1,0.323063857058742
13,4,1,0.33416148684893
13,5,1,0.439354674147374
13,6,1,0.281847880379817
13,7,1,0.352749304166018
13,8,1,0.704487373943523
13,9,1,0.623354175926886
13,10,1,0.719720615646659
13,11,1,0.607119604416847
13,12,1,0.140894601920535
13,13,1,0.8020461600651
13,14,1,0.25794932175924
13,15,1,0.224434527791915
13,16,1,0.227567311715377
13,17,1,0.731406990667775
13,18,1,0.646130600448267
13,19,1,0.43310152589332
13,20,1,0.527045959146317
13,21,1,0.40335764881255
13,22,1,0.422443582157305
13,23,1,0.208773943996078
13,24,1,0.289126228641934
13,25,1,0.21001681433966
13,26,1,0.148697617539047
13,27,1,0.103341674579723
13,28,1,0.0708805894795544
13,29,1,0.0481731216375308
13,30,1,0.0325354508952825
13,31,1,0.0218804814327944
13,32,1,0.0146725725321478
13,33,1,0.00982007165563769
13,34,1,0.00656385728117704
13,35,1,0.00438355237021189
13,36,1,0.00292577561798284
13,37,1,0.00195203398460082
13,38,1,0.0013020309179599
13,39,1,0.00086832080194437
13,40,1,0.000579014018192704
14,1,1,0.4187715721971
14,2,1,0.702819568468872
14,3,1,0.358465548823217
14,4,1,0.734044037188247
14,5,1,0.79514161051077
14,6,1,0.389953418494751
14,7,1,0.310171352861184
14,8,1,0.448004704123178
14,9,1,0.606972859771029
14,10,1,0.844971644479071
14,11,1,0.291853020447507
14,12,1,0.26289170785327
14,13,1,0.454940125517439
14,14,1,0.561939809246112
14,15,1,0.272946506196047
14,16,1,0.466458024670566
14,17,1,0.339682107995991
14,18,1,0.259681851678776
14,19,1,0.191813783414126
14,20,1,0.137754502346564
14,21,1,0.0968055713519356
14,22,1,0.0669456613559476
14,23,1,0.045766924174845
14,24,1,0.031037432095224
14,25,1,0.0209320214416619
14,26,1,0.0140635347685062
14,27,1,0.00942467838617921
14,28,1,0.00630507485131381
14,29,1,0.00421319627607723
14,30,1,0.00281317523323172
14,31,1,0.00187740067772348
14,32,1,0.0012524687981755
14,33,1,0.000835365560287782
14,34,1,0.000557082217266314
14,35,1,0.000371464557657547
14,36,1,0.00024767701090054
14,37,1,0.000165133109462493
14,38,1,0.000110095452713513
14,39,1,7.33999523548958e-05
14,40,1,4.89346278251478e-05
15,1,1,0.435869122343624
15,2,1,0.80937456046469
15,3,1,0.558031544262519
15,4,1,0.299067378226309
15,5,1,0.392040714465519
15,6,1,0.674538956974768
15,7,1,0.59671087794141
15,8,1,0.507266468763657
15,9,1,0.688061556325773
15,10,1,0.640651200254266
15,11,1,0.345538473974511
15,12,1,0.696580330214797
15,13,1,0.807056368250613
15,14,1,0.608707953426644
15,15,1,0.768597738251895
15,16,1,0.479085862333021
15,17,1,0.640968047655489
15,18,1,0.185758025521443
15,19,1,0.506213533447388
15,20,1,0.389675700459878
15,21,1,0.288211655953189
15,22,1,0.206757689945401
15,23,1,0.145034955054262
15,24,1,0.100123095416062
15,25,1,0.0683502713574259
15,26,1,0.046302416618474
15,27,1,0.0312025239023697
15,28,1,0.0209524656503489
15,29,1,0.0140359975018604
15,30,1,0.00938761642614609
15,31,1,0.00627193106068214
15,32,1,0.00418731424919143
15,33,1,0.0027942267779207
15,34,1,0.00186401230060599
15,35,1,0.00124320620326694
15,36,1,0.000829040424375645
15,37,1,0.000552798674869445
15,38,1,0.000368579154888986
15,39,1,0.000245740197992202
15,40,1,0.00016383602702677
16,1,1,0.336641224417281
16,2,1,0.887272402124201
16,3,1,0.339937356480319
16,4,1,0.402775579062458
16,5,1,0.624688003062993
16,6,1,0.309742445708266
16,7,1,0.489701862336543
16,8,1,0.497855613115879
16,9,1,0.854009375684365
16,10,1,0.642481943689634
16,11,1,0.302644281418349
16,12,1,0.690586676761558
16,13,1,0.381828925925635
16,14,1,0.231366186867292
16,15,1,0.414303494203046
16,16,1,0.18445207767072
16,17,1,0.374183372545257
16,18,1,0.405054684011515
16,19,1,0.102658937402089
16,20,1,0.462541191757688
16,21,1,0.472110278469622
16,22,1,0.483569276674584
16,23,1,0.486176143078654
16,24,1,0.468981839285441
16,25,1,0.427488936656054
16,26,1,0.366310341342834
16,27,1,0.296026885607325
16,28,1,0.227495900788294
16,29,1,0.167950047426348
16,30,1,0.120278853408705
16,31,1,0.0842535821009915
16,32,1,0.0581005277265569
16,33,1,0.0396316375342657
16,34,1,0.026832511935703
16,35,1,0.0180749778258617
16,36,1,0.0121340823059719
16,37,1,0.00812711008283091
16,38,1,0.00543494209024005
16,39,1,0.00363082278755786
16,40,1,0.00242390351657257
17,1,1,0.448870313808401
17,2,1,0.648647327704761
17,3,1,0.697974353469033
17,4,1,0.278998102515455
17,5,1,0.411195927128902
17,6,1,0.754710387084865
17,7,1,0.561860036683229
17,8,1,0.773379034541296
17,9,1,0.578395293018987
17,10,1,0.60404942314387
17,11,1,0.597011417586102
17,12,1,0.148973350845695
17,13,1,0.200257141784537
17,14,1,0.175270177335443
17,15,1,0.344797620300546
17,16,1,0.340288750596357
17,17,1,0.200602554306537
17,18,1,0.20800772085213
17,19,1,0.200448345770468
17,20,1,0.560167210923254
17,21,1,0.725998051819102
17,22,1,0.704669938509721
17,23,1,0.0885598982134552
17,24,1,0.619267739583968
17,25,1,0.534772253284708
17,26,1,0.436517436384599
17,27,1,0.339133302154144
17,28,1,0.0146467386149518
17,29,1,0.248176525433627
17,30,1,0.179472787302557
17,31,1,0.126665975020337
17,32,1,0.0878326452859146
17,33,1,0.0601497716967577
17,34,1,0.0408367693770671
17,35,1,0.0275607944559808
17,36,1,0.0185260032060482
17,37,1,0.0124190989081465
17,38,1,0.00831005687860724
17,39,1,0.00555373660227071
17,40,1,0.00370860116842543
18,1,1,0.510907259354438
18,2,1,0.706324640615607
18,3,1,0.646560184680257
18,4,1,0.904725310266904
18,5,1,0.45048425486054
18,6,1,0.349729003618861
18,7,1,0.762887933638919
18,8,1,0.255986859214162
18,9,1,0.220868986546147
18,10,1,0.434526386204285
18,11,1,0.475733705299819
18,12,1,0.808684769116296
18,13,1,0.766500834190258
18,14,1,0.532390501321826
18,15,1,0.596535343080351
18,16,1,0.269085954061654
18,17,1,0.354156327841388
18,18,1,0.40566266711155
18,19,1,0.299406775015737
18,20,1,0.214313036199656
18,21,1,0.0585786945711474
18,22,1,0.104218568952942
18,23,1,0.111768547578406
18,24,1,0.0764754783628025
18,25,1,0.0518873421652614
18,26,1,0.0350028406349931
18,27,1,0.0235209559416232
18,28,1,0.0157640707245202
18,29,1,0.010546728278379
18,30,1,0.00704783077705216
18,31,1,0.00470599027022545
18,32,1,0.00314063897431493
18,33,1,0.00209523346780863
18,34,1,0.00139747811213511
18,35,1,0.000931943725978303
18,36,1,0.000621425494773129
18,37,1,0.000414341313818902
18,38,1,0.000276253169856397
18,39,1,0.000184180171244034
18,40,1,0.000122791844069404
19,1,1,0.461485233287523
19,2,1,0.327998842695302
19,3,1,0.463920029020723
19,4,1,0.354498028728355
19,5,1,0.454770947912535
19,6,1,0.264182578000167
19,7,1,0.680775920042903
19,8,1,0.492554829499496
19,9,1,0.494462479555905
19,10,1,0.553634864166516
19,11,1,0.720178491764528
19,12,1,0.216517721251726
19,13,1,0.500805105328455
19,14,1,0.516182445963335
19,15,1,0.168616321015292
19,16,1,0.380482196867422
19,17,1,0.103872733008914
19,18,1,0.076389063651798
19,19,1,0.42955719079562
