"arrayNumber";"simulation";"bout";"interference";"exploitation1";"exploitation2"
1;1;1;1;4;31
1;1;2;1;2;10
1;1;3;0;10;1
1;1;4;1;4;4
1;1;5;2;18;7
1;1;6;3;2;29
1;1;7;1;2;0
1;1;8;0;1;24
1;1;9;1;0;20
1;1;10;1;5;1
1;1;11;1;1;1
1;1;12;0;7;3
1;1;13;0;0;0
1;1;14;0;2;3
1;1;15;0;1;0
1;1;16;1;5;5
1;1;17;3;13;3
1;1;18;0;0;0
1;1;19;0;1;9
1;1;20;3;1;1
1;1;21;1;2;0
1;1;22;0;6;0
1;1;23;0;2;6
1;1;24;0;5;0
1;1;25;3;3;2
1;1;26;2;2;0
1;1;27;0;1;0
1;1;28;0;1;0
1;1;29;1;0;0
1;1;30;0;1;0
1;1;31;3;7;2
1;1;32;0;0;0
1;1;33;1;7;3
1;1;34;0;12;1
1;1;35;0;1;0
1;1;36;0;1;0
1;1;37;1;1;1
1;1;38;1;0;1
1;1;39;0;0;8
1;1;40;2;0;0
1;1;41;1;0;0
1;1;42;0;1;0
1;1;43;0;10;0
1;1;44;1;1;7
1;1;45;0;2;3
1;1;46;1;3;0
1;1;47;1;0;2
1;1;48;1;0;0
1;1;49;2;0;0
1;1;50;2;2;8
1;2;1;3;4;4
1;2;2;1;5;1
1;2;3;0;1;0
1;2;4;0;0;2
1;2;5;0;14;0
1;2;6;0;1;11
1;2;7;1;5;5
1;2;8;2;1;0
1;2;9;0;1;4
1;2;10;1;1;3
1;2;11;0;0;4
1;2;12;4;2;23
1;2;13;0;3;19
1;2;14;2;5;6
1;2;15;0;0;0
1;2;16;0;2;0
1;2;17;0;2;0
1;2;18;0;1;21
1;2;19;1;7;0
1;2;20;1;0;0
1;2;21;1;29;2
1;2;22;0;2;11
1;2;23;0;2;0
1;2;24;0;0;14
1;2;25;0;0;0
1;2;26;0;0;0
1;2;27;0;36;0
1;2;28;0;14;0
1;2;29;0;3;1
1;2;30;0;2;0
1;2;31;0;2;0
1;2;32;1;5;11
1;2;33;1;1;1
1;2;34;0;10;0
1;2;35;0;6;4
1;2;36;0;1;3
1;2;37;0;0;2
1;2;38;1;2;10
1;2;39;0;5;0
1;2;40;0;1;0
1;2;41;1;0;1
1;2;42;2;0;6
1;2;43;3;2;0
1;2;44;0;2;1
1;2;45;0;0;3
1;2;46;0;10;2
1;2;47;0;1;1
1;2;48;0;1;1
1;2;49;0;0;0
1;2;50;1;0;0
1;3;1;0;31;5
1;3;2;3;25;7
1;3;3;0;4;1
1;3;4;0;1;2
1;3;5;8;6;9
1;3;6;2;2;8
1;3;7;0;0;3
1;3;8;1;1;1
1;3;9;1;2;16
1;3;10;3;1;7
1;3;11;0;1;0
1;3;12;0;0;1
1;3;13;1;1;1
