"arrayType","algorithm","learningValue","abandonValue","arrayNumber","simulation","bout","bee","H2","Q","Qnorm"
"R10-P1","noRouteCompare",1.5,0.75,1,1,1,1,0.176598646387507,0.1792,0.411764705882353
"R10-P1","noRouteCompare",1.5,0.75,1,1,2,1,0.228443826320529,0.306122448979592,0.625
"R10-P1","noRouteCompare",1.5,0.75,1,1,3,1,0.193126721428565,0.170132325141777,0.5
"R10-P1","noRouteCompare",1.5,0.75,1,1,4,1,0.59216382193173,0.347107438016529,0.75
"R10-P1","noRouteCompare",1.5,0.75,1,1,5,1,1,0.375,1
"R10-P1","noRouteCompare",1.5,0.75,1,1,6,1,0,0.395061728395062,0.8
"R10-P1","noRouteCompare",1.5,0.75,1,1,7,1,1.386,0.5,1
"R10-P1","noRouteCompare",1.5,0.75,1,1,8,1,0.237872027408701,0.170132325141777,0.5
"R10-P1","noRouteCompare",1.5,0.75,1,1,9,1,0.0435868768530091,0.126984126984127,0.285714285714286
"R10-P1","noRouteCompare",1.5,0.75,1,1,10,1,0.333333333333334,0.32,0.666666666666667
"R10-P1","noRouteCompare",1.5,0.75,1,1,11,1,0.6,0.355555555555556,0.8
"R10-P1","noRouteCompare",1.5,0.75,1,1,12,1,1.792,0.5,1
"R10-P1","noRouteCompare",1.5,0.75,1,1,13,1,0,0.24,0.5
"R10-P1","noRouteCompare",1.5,0.75,1,1,14,1,1.609,0.48,1
"R10-P1","noRouteCompare",1.5,0.75,1,1,15,1,0.324825470229774,0.236686390532544,0.533333333333334
"R10-P1","noRouteCompare",1.5,0.75,1,1,16,1,0.432129235431207,0.2304,0.631578947368421
"R10-P1","noRouteCompare",1.5,0.75,1,1,17,1,0.106638869455724,0.162570888468809,0.358333333333333
"R10-P1","noRouteCompare",1.5,0.75,1,1,18,1,0.32225847208027,0.255,0.56043956043956
"R10-P1","noRouteCompare",1.5,0.75,1,1,19,1,0,0.375,0.8
"R10-P1","noRouteCompare",1.5,0.75,1,1,20,1,0,0.173010380622837,0.357142857142857
"R10-P1","noRouteCompare",1.5,0.75,1,1,21,1,0.186710166496324,0.15625,0.473684210526316
"R10-P1","noRouteCompare",1.5,0.75,1,1,22,1,0.169378706816949,0.2,0.416666666666667
"R10-P1","noRouteCompare",1.5,0.75,1,1,23,1,0.300022685655051,0.219281663516068,0.483333333333333
"R10-P1","noRouteCompare",1.5,0.75,1,1,24,1,0.0318390228766912,0.112426035502959,0.226190476190476
"R10-P1","noRouteCompare",1.5,0.75,1,1,25,1,0,0.375,0.8
