"sim","bout","bee","distance"
1,1,1,0.50558129477184
1,2,1,0.38187373685378
1,3,1,0.377981342696164
1,4,1,0.642254245777633
1,5,1,0.719863263179467
1,6,1,0.57543873539291
1,7,1,0.384578870205323
1,8,1,0.498650422043047
1,9,1,0.500390607728361
1,10,1,0.181996740682071
1,11,1,0.32837957205729
1,12,1,0.307462123764469
1,13,1,0.317787770655446
1,14,1,0.297511822294755
1,15,1,0.302487342879094
1,16,1,0.020334093971828
1,17,1,0.268443419993653
1,18,1,0.0508927646348503
1,19,1,0.0350027258014593
1,20,1,0.225798034161142
2,1,1,0.575925083623349
2,2,1,0.556574600708048
2,3,1,0.335867133467717
2,4,1,0.400689434582313
2,5,1,0.39513945195733
2,6,1,0.360250057371742
2,7,1,0.637231085009284
2,8,1,0.326578645804737
2,9,1,0.589450480559153
2,10,1,0.307762220483739
2,11,1,0.470105514391559
2,12,1,0.40980134754891
2,13,1,0.181263483158777
2,14,1,0.347298559547363
2,15,1,0.183049330260362
2,16,1,0.183453599172872
2,17,1,0.281930670620133
2,18,1,0.535745494085849
2,19,1,0.0208813785195029
2,20,1,0.208367298370437
3,1,1,0.382536421693273
3,2,1,0.791245670339964
3,3,1,0.408344556490376
3,4,1,0.386858902669347
3,5,1,0.537160712059308
3,6,1,0.77593242535633
3,7,1,0.83287989862623
3,8,1,0.283554748298509
3,9,1,0.542505096284175
3,10,1,0.31907110987509
3,11,1,0.562813626227068
3,12,1,0.733624023271157
3,13,1,0.453161079360411
3,14,1,0.411648472174288
3,15,1,0.378079527747787
3,16,1,0.55163460959993
3,17,1,0.549267373137935
3,18,1,0.455297762980466
3,19,1,0.492017029867911
3,20,1,0.395040356905911
4,1,1,0.385624342751086
4,2,1,0.33894149776622
4,3,1,0.773243333800389
4,4,1,0.348586054930371
4,5,1,0.626053092835236
4,6,1,0.628306135516857
4,7,1,0.28468760194899
4,8,1,0.552537586278949
4,9,1,0.576620366895155
4,10,1,0.786156044781019
4,11,1,0.53977029323377
4,12,1,0.351074599302974
4,13,1,0.794235529843092
4,14,1,0.30625161536341
4,15,1,0.439085207791379
4,16,1,0.30856200150129
4,17,1,0.567503170178457
4,18,1,0.630555538989527
4,19,1,0.425913180341516
4,20,1,0.0802069942408275
5,1,1,0.455651918442399
5,2,1,0.666191201414019
5,3,1,0.602433849295908
5,4,1,0.382421766366836
5,5,1,0.575836751762261
5,6,1,0.680827108102644
5,7,1,0.464004891546831
5,8,1,0.184013784660066
5,9,1,0.632420581440262
5,10,1,0.510069387001796
5,11,1,0.539117881330633
5,12,1,0.444574500636459
5,13,1,0.438096276734989
5,14,1,0.564730625016309
5,15,1,0.256838118073671
5,16,1,0.536713460534717
5,17,1,0.433102774554202
5,18,1,0.470235984809522
5,19,1,0.4004010006519
5,20,1,0.442457462251986
6,1,1,0.503956265412114
6,2,1,0.40038274536139
6,3,1,0.658468198925807
6,4,1,0.351507080736208
6,5,1,0.455058797090932
6,6,1,0.259119688691291
6,7,1,0.20488321190047
6,8,1,0.154948494782801
6,9,1,0.126602271556082
6,10,1,0.37409954079048
6,11,1,0.0684715718120501
6,12,1,0.358767394490345
6,13,1,0.0662667401740725
6,14,1,0.0464285172942785
6,15,1,0.337816835391568
6,16,1,0.0218485776839674
6,17,1,0.343059888726337
6,18,1,0.366461194257908
6,19,1,0.2033679693253
6,20,1,0.374977591263958
7,1,1,0.360217930212557
7,2,1,0.37190080116245
7,3,1,0.497388071866179
7,4,1,0.468248334041862
7,5,1,0.628991909832948
7,6,1,0.845722481753379
7,7,1,0.556447318696022
7,8,1,0.463978098122635
7,9,1,0.446866504883331
7,10,1,0.531650909501487
7,11,1,0.164103859815877
7,12,1,0.599652833304529
7,13,1,0.475966633090523
7,14,1,0.402334281066469
7,15,1,0.624588835546055
7,16,1,0.118702286247335
7,17,1,0.633516010560868
7,18,1,0.625113049971161
7,19,1,0.556536905594396
7,20,1,0.337951381868197
8,1,1,0.357505762687255
8,2,1,0.328384227064446
8,3,1,0.59884150381263
8,4,1,0.547396231130584
8,5,1,0.725003919526347
8,6,1,0.63779670427475
8,7,1,0.528773980858342
8,8,1,0.389063036541917
8,9,1,0.346734598423826
8,10,1,0.502435623813842
8,11,1,0.593733174083706
8,12,1,0.620854116975642
8,13,1,0.608469472313012
8,14,1,0.168304858834007
8,15,1,0.585288227163974
8,16,1,0.476074171093478
8,17,1,0.402732187438496
8,18,1,0.455556759434333
8,19,1,0.365234048233368
