"Bee","Simulation","Bout","rawQuality","relativeQuality"
1,1,1,0.01135977,0.65458295134149
1,1,2,0.01004007,0.578538003170412
1,1,3,0.00781596,0.450378323184979
1,1,4,0.00925001,0.533012450581156
1,1,5,0.01004007,0.578538003170412
1,1,6,0.00713937,0.411391241664126
1,1,7,0.00562836,0.32432245547334
1,1,8,0.01004007,0.578538003170412
1,1,9,0.00587181,0.338350751777235
1,1,10,0.01209686,0.697056218635132
1,1,11,0.01028761,0.592801977157128
1,1,12,0.00904203,0.521028038729507
1,1,13,0.01220009,0.703004631152902
1,1,14,0.01039658,0.599081145151522
1,1,15,0.01004007,0.578538003170412
1,1,16,0.01004007,0.578538003170412
1,1,17,0.01109875,0.639542220590854
1,1,18,0.01027158,0.591878281984602
1,1,19,0.01054382,0.607565541733101
1,1,20,0.01663741,0.958695901455612
1,2,1,0.00587181,0.338350751777235
1,2,2,0.01039658,0.599081145151522
1,2,3,0.00603175,0.347566959256572
1,2,4,0.01004007,0.578538003170412
1,2,5,0.00744821,0.4291874997479
1,2,6,0.00973825,0.561146257882093
1,2,7,0.00781596,0.450378323184979
1,2,8,0.01109875,0.639542220590854
1,2,9,0.01027158,0.591878281984602
1,2,10,0.01004007,0.578538003170412
1,2,11,0.00574502,0.331044743609764
1,2,12,0.01735421,1
1,2,13,0.01240166,0.714619680181351
1,2,14,0.01027158,0.591878281984602
1,2,15,0.01556309,0.896790461795726
1,2,16,0.01735421,1
1,2,17,0.01556309,0.896790461795726
1,2,18,0.01735421,1
1,2,19,0.00502075,0.289310201962521
1,2,20,0.00515409,0.296993640159938
1,3,1,0.01004007,0.578538003170412
1,3,2,0.00865742,0.498865693108474
1,3,3,0.01201331,0.692241824894363
1,3,4,0.00694476,0.400177248056812
1,3,5,0.00781596,0.450378323184979
1,3,6,0.01004007,0.578538003170412
1,3,7,0.00562836,0.32432245547334
1,3,8,0.00433451,0.249767059405182
1,3,9,0.01050906,0.605562569543644
1,3,10,0.0067173,0.38707034200923
1,3,11,0.00775409,0.44681319403188
1,3,12,0.01240166,0.714619680181351
1,3,13,0.01469542,0.846792795523392
1,3,14,0.01549177,0.892680796187208
1,3,15,0.01028761,0.592801977157128
1,3,16,0.00682836,0.393469941875775
1,3,17,0.01240166,0.714619680181351
1,3,18,0.01469542,0.846792795523392
1,3,19,0.00581016,0.334798299663309
1,3,20,0.01469542,0.846792795523392
1,4,1,0.00781596,0.450378323184979
1,4,2,0.00848231,0.488775346155198
1,4,3,0.00781596,0.450378323184979
1,4,4,0.00545944,0.314588794304091
1,4,5,0.01004007,0.578538003170412
1,4,6,0.01556309,0.896790461795726
1,4,7,0.01483044,0.854573040201772
1,4,8,0.01496389,0.862262816918777
1,4,9,0.00753336,0.434094090137206
1,4,10,0.01043595,0.601349758934576
1,4,11,0.00865103,0.498497482743381
1,4,12,0.00562836,0.32432245547334
1,4,13,0.00805468,0.464134063146637
1,4,14,0.01004007,0.578538003170412
1,4,15,0.01004007,0.578538003170412
1,4,16,0.01004007,0.578538003170412
1,4,17,0.01004007,0.578538003170412
1,4,18,0.01035686,0.596792363351602
1,4,19,0.00663475,0.382313571173796
1,4,20,0.01220009,0.703004631152902
1,5,1,0.00827994,0.477114198802481
1,5,2,0.01004007,0.578538003170412
