"sim","bout","bee","distance"
1,1,1,0.73914157689561
1,1,2,0.916765502934919
1,2,1,0.451954428599919
1,2,2,0.777266777486895
1,3,1,0.486461903317005
1,3,2,0.966479195590798
1,4,1,0.219058669159756
1,4,2,0.476408969557138
1,5,1,0.230360497065299
1,5,2,0.615155799188326
1,6,1,0.484337837812771
1,6,2,0.590354199544804
1,7,1,0.265796690491658
1,7,2,0.257185265839269
1,8,1,0.983753460359841
1,8,2,0.646292755518321
1,9,1,0.806550812510874
1,9,2,0.687342750506002
1,10,1,0.518135644031735
1,10,2,0.49356297937212
1,11,1,0.494111055141843
1,11,2,1.00912144108005
1,12,1,0.304682542711293
1,12,2,0.367048441839887
1,13,1,0.562220666224772
1,13,2,0.578170189865223
1,14,1,0.219254153301988
1,14,2,0.454025306548595
1,15,1,0.753250722654707
1,15,2,0.741017336555155
1,16,1,0.517334512368443
1,16,2,0.954057615252169
1,17,1,0.649877731166551
1,17,2,0.55406982266767
1,18,1,0.816949354867828
1,18,2,0.603041733202702
1,19,1,0.348712840692339
1,19,2,0.177885200965623
1,20,1,0.510643069021025
1,20,2,0.589877888765935
1,21,1,0.938622128663839
1,21,2,0.351504049502101
1,22,1,0.778162679339195
1,22,2,0.615544286384551
1,23,1,0.624494662285388
1,23,2,0.792700976480714
1,24,1,0.697232716729438
1,24,2,0.512203940176535
1,25,1,0.532816317411527
1,25,2,0.376879071292506
1,26,1,0.203746782594733
1,26,2,0.478074955499753
1,27,1,0.537835916046428
1,27,2,0.594983911367625
1,28,1,0.555181911107834
1,28,2,0.31647676565215
1,29,1,0.554602191700402
1,29,2,0.771631848499595
1,30,1,0.625174409597242
1,30,2,0.393519335249423
2,1,1,0.369719857475779
2,1,2,0.836658301761806
2,2,1,1.13146812735802
2,2,2,0.752460318332054
2,3,1,0.638822973572676
2,3,2,0.824081103732935
2,4,1,0.312785237685526
2,4,2,0.934541761763133
2,5,1,0.995896598738068
2,5,2,0.660940981957296
2,6,1,0.414774194618392
