"simulation";"bout";"interference";"exploitation1";"exploitation2"
1;1;2;2;9
1;2;1;2;2
1;3;1;0;12
1;4;0;2;2
1;5;0;0;2
1;6;0;0;1
1;7;0;0;0
1;8;0;14;0
1;9;2;8;3
1;10;0;3;0
1;11;0;0;6
1;12;0;0;0
1;13;2;1;2
1;14;0;0;0
1;15;2;4;9
1;16;0;1;15
1;17;1;10;1
1;18;2;6;0
1;19;0;0;1
1;20;1;1;5
1;21;0;15;0
1;22;0;7;4
1;23;1;2;9
1;24;3;4;7
1;25;1;0;0
1;26;0;0;4
1;27;1;2;0
1;28;0;2;1
1;29;0;1;4
1;30;0;1;8
2;1;1;1;0
2;2;1;12;0
2;3;1;5;7
2;4;1;0;3
2;5;0;15;0
2;6;0;1;5
2;7;1;9;5
2;8;1;0;10
2;9;0;0;0
2;10;0;0;0
2;11;1;0;10
2;12;0;10;6
2;13;2;5;2
2;14;1;0;13
2;15;0;1;0
2;16;0;0;2
2;17;0;1;8
2;18;0;5;2
2;19;0;1;1
2;20;1;12;3
2;21;0;2;7
2;22;0;6;0
2;23;0;1;3
2;24;1;0;6
2;25;1;3;0
2;26;0;2;11
2;27;4;6;12
2;28;1;0;11
2;29;3;4;2
2;30;0;7;0
3;1;0;3;0
3;2;1;0;2
3;3;0;8;0
3;4;0;3;0
3;5;1;0;3
3;6;0;1;2
3;7;0;6;9
3;8;1;4;3
3;9;0;2;1
3;10;0;3;1
3;11;0;4;0
3;12;0;0;0
3;13;0;7;4
3;14;1;4;2
3;15;0;1;0
3;16;1;0;4
3;17;1;0;1
3;18;0;1;0
3;19;0;1;1
3;20;2;1;0
3;21;0;6;2
3;22;0;1;2
3;23;1;0;12
3;24;0;5;0
3;25;0;1;3
3;26;1;7;0
3;27;0;2;0
3;28;2;0;4
3;29;1;0;1
3;30;3;0;0
4;1;0;1;2
4;2;2;3;3
4;3;0;3;12
4;4;0;0;13
4;5;0;5;3
4;6;2;10;11
4;7;1;0;2
4;8;0;2;3
4;9;1;0;0
4;10;0;9;2
4;11;0;0;0
4;12;1;1;2
4;13;2;0;4
4;14;0;2;1
4;15;1;1;1
4;16;1;1;1
4;17;3;1;5
4;18;0;1;7
4;19;2;1;11
4;20;1;0;0
4;21;1;1;7
4;22;0;8;0
4;23;0;2;0
4;24;0;1;0
4;25;0;0;1
4;26;2;1;1
4;27;0;1;0
4;28;0;0;0
4;29;1;0;1
4;30;0;0;1
5;1;0;3;0
5;2;1;8;4
5;3;0;0;11
5;4;0;6;4
5;5;0;1;2
5;6;1;2;5
5;7;0;0;0
5;8;3;4;0
5;9;0;0;0
5;10;0;10;0
5;11;0;3;2
5;12;0;15;4
5;13;1;0;4
5;14;0;3;1
5;15;0;6;4
5;16;2;0;6
5;17;1;2;13
5;18;2;0;1
5;19;1;7;0
5;20;5;0;6
5;21;0;0;2
5;22;0;16;6
5;23;0;3;0
5;24;0;1;12
5;25;1;1;3
5;26;0;1;4
5;27;1;0;10
5;28;1;6;3
5;29;0;1;10
5;30;0;7;9
6;1;0;0;0
6;2;4;0;5
6;3;1;0;8
6;4;0;0;0
6;5;0;1;1
6;6;0;8;0
6;7;2;1;2
6;8;0;0;2
6;9;1;11;4
6;10;0;11;2
6;11;0;2;0
6;12;0;11;0
6;13;1;7;4
6;14;0;0;1
6;15;0;8;0
6;16;0;3;1
6;17;0;0;11
6;18;0;1;0
6;19;0;10;3
6;20;0;14;0
6;21;0;5;1
6;22;1;4;7
6;23;0;3;4
6;24;1;3;1
6;25;1;1;5
6;26;0;4;4
6;27;0;0;8
6;28;0;2;0
6;29;0;0;0
6;30;0;0;0
7;1;0;1;2
7;2;1;17;4
7;3;0;8;1
7;4;0;8;1
7;5;1;6;6
7;6;0;2;2
7;7;1;0;0
7;8;0;1;0
