"ArrayNumber","Simulation","Bout","Q1","Q2","Qall","QallRelative"
1,1,1,0.01519873,0.00764074,0.023,0.476449810880498
1,1,2,0.00874144,0.01580716,0.025,0.517880229217933
1,1,3,0.02084346,0.00463144,0.025,0.517880229217933
1,1,4,0.00336087,0.01356527,0.017,0.352158555868194
1,1,5,0.0061222,0.01645286,0.023,0.476449810880498
1,1,6,0.01527177,0.01438974,0.03,0.621456275061519
1,1,7,0.0061222,0.01004721,0.016,0.331443346699477
1,1,8,0.00471177,0.01544258,0.02,0.414304183374346
1,1,9,0.01063384,0.00395243,0.015,0.31072813753076
1,1,10,0.00702424,0.01592974,0.023,0.476449810880498
1,1,11,0.01470731,0.00928351,0.024,0.497165020049215
1,1,12,0.00917639,0.01021391,0.019,0.393588974205629
1,1,13,0.01455937,0.00928232,0.024,0.497165020049215
1,1,14,0.0061222,0.01713301,0.023,0.476449810880498
1,1,15,0.01019631,0.00728709,0.017,0.352158555868194
1,1,16,0.01570305,0.00496525,0.021,0.435019392543063
1,1,17,0.00788879,0.0112096,0.019,0.393588974205629
1,1,18,0.00984224,0.016871,0.027,0.559310647555367
1,1,19,0.019926,0.00618666,0.026,0.53859543838665
1,1,20,0.01495225,0.00685087,0.022,0.455734601711781
1,1,21,0.00452418,0.01560861,0.02,0.414304183374346
1,1,22,0.00973506,0.01150661,0.021,0.435019392543063
1,1,23,0.01140978,0.009234,0.021,0.435019392543063
1,1,24,0.0084452,0.0051965,0.014,0.290012928362042
1,1,25,0.01476066,0.01370065,0.028,0.580025856724084
1,1,26,0.00829098,0.00732267,0.016,0.331443346699477
1,1,27,0.00370631,0.01638786,0.02,0.414304183374346
1,1,28,0.00615022,0.01468376,0.021,0.435019392543063
1,1,29,0.01531817,0.01279595,0.028,0.580025856724084
1,1,30,0.01073476,0.00761098,0.018,0.372873765036911
1,2,1,0.00695933,0.01980329,0.027,0.559310647555367
1,2,2,0.00488406,0.01898136,0.024,0.497165020049215
1,2,3,0.00996066,0.005971,0.016,0.331443346699477
1,2,4,0.01193559,0.01517757,0.027,0.559310647555367
1,2,5,0.0046506,0.02237756,0.027,0.559310647555367
1,2,6,0.01170976,0.01182168,0.024,0.497165020049215
1,2,7,0.00526936,0.00680144,0.012,0.248582510024608
1,2,8,0.02088739,0.00464644,0.026,0.53859543838665
1,2,9,0.02419547,0.00598515,0.03,0.621456275061519
1,2,10,0.00593604,0.01004721,0.016,0.331443346699477
1,2,11,0.01749039,0.00276815,0.02,0.414304183374346
1,2,12,0.00591408,0.01065253,0.017,0.352158555868194
1,2,13,0.01408679,0.00692409,0.021,0.435019392543063
1,2,14,0.0172049,0.00488378,0.022,0.455734601711781
1,2,15,0.00182213,0.02404609,0.026,0.53859543838665
1,2,16,0.01841705,0.00598113,0.024,0.497165020049215
1,2,17,0.01715726,0.00483201,0.022,0.455734601711781
1,2,18,0.00478719,0.01732166,0.022,0.455734601711781
1,2,19,0.00761467,0.01739563,0.025,0.517880229217933
1,2,20,0.00297519,0.01551747,0.018,0.372873765036911
