"arrayType","algorithm","learningValue","abandonValue","arrayNumber","simulation","bout","bee","Q1","Q2","groupQuality"
"R10-P1","noRouteCompare",1.5,0.75,1,1,1,1,0.01519873,0.00764074,0.476449810880498
"R10-P1","noRouteCompare",1.5,0.75,1,1,2,1,0.00874144,0.01580716,0.517880229217933
"R10-P1","noRouteCompare",1.5,0.75,1,1,3,1,0.02084346,0.00463144,0.517880229217933
"R10-P1","noRouteCompare",1.5,0.75,1,1,4,1,0.00336087,0.01356527,0.352158555868194
"R10-P1","noRouteCompare",1.5,0.75,1,1,5,1,0.0061222,0.01645286,0.476449810880498
"R10-P1","noRouteCompare",1.5,0.75,1,1,6,1,0.01527177,0.01438974,0.621456275061519
"R10-P1","noRouteCompare",1.5,0.75,1,1,7,1,0.0061222,0.01004721,0.331443346699477
"R10-P1","noRouteCompare",1.5,0.75,1,1,8,1,0.00471177,0.01544258,0.414304183374346
"R10-P1","noRouteCompare",1.5,0.75,1,1,9,1,0.01063384,0.00395243,0.31072813753076
"R10-P1","noRouteCompare",1.5,0.75,1,1,10,1,0.00702424,0.01592974,0.476449810880498
"R10-P1","noRouteCompare",1.5,0.75,1,1,11,1,0.01470731,0.00928351,0.497165020049215
"R10-P1","noRouteCompare",1.5,0.75,1,1,12,1,0.00917639,0.01021391,0.393588974205629
"R10-P1","noRouteCompare",1.5,0.75,1,1,13,1,0.01455937,0.00928232,0.497165020049215
"R10-P1","noRouteCompare",1.5,0.75,1,1,14,1,0.0061222,0.01713301,0.476449810880498
"R10-P1","noRouteCompare",1.5,0.75,1,1,15,1,0.01019631,0.00728709,0.352158555868194
"R10-P1","noRouteCompare",1.5,0.75,1,1,16,1,0.01570305,0.00496525,0.435019392543063
"R10-P1","noRouteCompare",1.5,0.75,1,1,17,1,0.00788879,0.0112096,0.393588974205629
"R10-P1","noRouteCompare",1.5,0.75,1,1,18,1,0.00984224,0.016871,0.559310647555367
"R10-P1","noRouteCompare",1.5,0.75,1,1,19,1,0.019926,0.00618666,0.53859543838665
"R10-P1","noRouteCompare",1.5,0.75,1,1,20,1,0.01495225,0.00685087,0.455734601711781
"R10-P1","noRouteCompare",1.5,0.75,1,1,21,1,0.00452418,0.01560861,0.414304183374346
"R10-P1","noRouteCompare",1.5,0.75,1,1,22,1,0.00973506,0.01150661,0.435019392543063
"R10-P1","noRouteCompare",1.5,0.75,1,1,23,1,0.01140978,0.009234,0.435019392543063
"R10-P1","noRouteCompare",1.5,0.75,1,1,24,1,0.0084452,0.0051965,0.290012928362042
"R10-P1","noRouteCompare",1.5,0.75,1,1,25,1,0.01476066,0.01370065,0.580025856724084
"R10-P1","noRouteCompare",1.5,0.75,1,1,26,1,0.00829098,0.00732267,0.331443346699477
"R10-P1","noRouteCompare",1.5,0.75,1,1,27,1,0.00370631,0.01638786,0.414304183374346
