"sim","bout","bee","distance"
1,1,1,0
1,2,1,0
1,3,1,0
1,4,1,0
1,5,1,0
1,6,1,0.0326500639533206
1,7,1,0.0541940336482502
1,8,1,0
1,9,1,0
1,10,1,0
1,11,1,0
1,12,1,0
1,13,1,0
1,14,1,0
1,15,1,0.120323188010587
1,16,1,0
1,17,1,0
1,18,1,0
1,19,1,0
1,20,1,0
2,1,1,0.120029444797495
2,2,1,0.0609881396757053
2,3,1,0
2,4,1,0
2,5,1,0
2,6,1,0.116554389128526
2,7,1,0
2,8,1,0
2,9,1,0.058264837424432
2,10,1,0
2,11,1,0
2,12,1,0
2,13,1,0
2,14,1,0
2,15,1,0
2,16,1,0
2,17,1,0
2,18,1,0
2,19,1,0
2,20,1,0
3,1,1,0
3,2,1,0
3,3,1,0
3,4,1,0
3,5,1,0.116554389128526
3,6,1,0
3,7,1,0
3,8,1,0
3,9,1,0
3,10,1,0
3,11,1,0
3,12,1,0
3,13,1,0
3,14,1,0.07743719021306
3,15,1,0
3,16,1,0
3,17,1,0
3,18,1,0
3,19,1,0
3,20,1,0
4,1,1,0
4,2,1,0
4,3,1,0.0565500808883816
4,4,1,0.0326500639533206
4,5,1,0
4,6,1,0
4,7,1,0
4,8,1,0.0785558176149917
4,9,1,0
4,10,1,0.112127175755205
4,11,1,0
4,12,1,0
4,13,1,0
4,14,1,0
4,15,1,0
4,16,1,0.238862626330261
4,17,1,0
4,18,1,0
4,19,1,0
4,20,1,0.101266249242562
5,1,1,0
5,2,1,0
5,3,1,0.0565500808883816
5,4,1,0
5,5,1,0
5,6,1,0
5,7,1,0
5,8,1,0
5,9,1,0
5,10,1,0
5,11,1,0
5,12,1,0
5,13,1,0
5,14,1,0
5,15,1,0
5,16,1,0.0541940336481527
5,17,1,0
5,18,1,0.118769414126204
5,19,1,0
5,20,1,0
6,1,1,0.0565500808883816
6,2,1,0
6,3,1,0
6,4,1,0
6,5,1,0
6,6,1,0.0541940336481527
6,7,1,0
6,8,1,0
6,9,1,0
6,10,1,0
6,11,1,0
6,12,1,0.0448712721499261
6,13,1,0
6,14,1,0
6,15,1,0
6,16,1,0
6,17,1,0
6,18,1,0
6,19,1,0
6,20,1,0
7,1,1,0
7,2,1,0.0326500639533206
7,3,1,0
7,4,1,0
7,5,1,0.07743719021306
7,6,1,0.120029444797495
7,7,1,0
7,8,1,0
7,9,1,0.0541940336481527
7,10,1,0
7,11,1,0
7,12,1,0.0609881396757053
7,13,1,0
7,14,1,0
7,15,1,0
7,16,1,0
7,17,1,0.0785558176149255
7,18,1,0
7,19,1,0.0428859977974449
7,20,1,0.0628678757557867
8,1,1,0.193991579341586
8,2,1,0.101266249242562
8,3,1,0.0326500639533206
8,4,1,0.120029444797495
8,5,1,0
8,6,1,0
8,7,1,0
8,8,1,0
8,9,1,0
8,10,1,0.0541940336481527
8,11,1,0
8,12,1,0.0785558176149917
8,13,1,0.0609881396757053
8,14,1,0.0341012380285158
8,15,1,0
8,16,1,0
8,17,1,0
8,18,1,0
8,19,1,0
8,20,1,0
9,1,1,0
9,2,1,0
9,3,1,0
9,4,1,0
9,5,1,0
9,6,1,0.0565500808883816
9,7,1,0
9,8,1,0.0581685736116224
9,9,1,0
9,10,1,0
9,11,1,0
9,12,1,0
9,13,1,0
9,14,1,0
9,15,1,0
9,16,1,0
9,17,1,0.0462421612015149
9,18,1,0.0541940336481527
9,19,1,0
9,20,1,0.07743719021306
10,1,1,0
10,2,1,0
10,3,1,0.0541940336481527
10,4,1,0.0565500808883816
10,5,1,0
10,6,1,0
10,7,1,0
10,8,1,0
10,9,1,0
10,10,1,0.0581685736116224
10,11,1,0
10,12,1,0
10,13,1,0
10,14,1,0
10,15,1,0.149204453081823
10,16,1,0
10,17,1,0.0428859977974449
10,18,1,0
10,19,1,0
10,20,1,0
