"sim","bout","bee","distance"
1,1,1,0.724812311596656
1,2,1,0.565237064796792
1,3,1,0.694302373986694
1,4,1,0.339724771459044
1,5,1,0.629312675246035
1,6,1,0.529126278665277
1,7,1,0.213566360650297
1,8,1,0.782231487209112
1,9,1,0.228938159218402
1,10,1,0.836569441330266
1,11,1,0.803938827717098
1,12,1,0.725871384308544
1,13,1,0.611389174198061
1,14,1,0.408952730504123
1,15,1,0.401280720042385
1,16,1,0.29615275959499
1,17,1,0.212013098053229
1,18,1,0.148466006785019
1,19,1,0.102357302853765
1,20,1,0.0698088285806374
1,21,1,0.0472586416426989
1,22,1,0.0318320642571342
1,23,1,0.0213683905048009
1,24,1,0.014311532759473
1,25,1,0.000730198154296009
1,26,1,0.00977521777360644
1,27,1,0.00653044508705929
1,28,1,0.00435970586723483
1,29,1,0.00290917586980086
1,30,1,0.00194065439616683
1,31,1,0.00129430506144343
1,32,1,0.000863108153834665
1,33,1,0.000575511302041339
1,34,1,0.000383721264310016
1,35,1,0.000255835096429635
1,36,1,0.000170566029824752
1,37,1,0.000113714819676516
1,38,1,7.58117168167565e-05
1,39,1,5.05419610292981e-05
1,40,1,3.36950035759923e-05
2,1,1,0.74660876014016
2,2,1,0.369618833665799
2,3,1,0.340265404877214
2,4,1,0.498501728715957
2,5,1,0.401040198275369
2,6,1,0.321357725498438
2,7,1,0.708893343558019
2,8,1,0.4556990073051
2,9,1,0.810390695678496
2,10,1,0.75692728605428
2,11,1,0.284943368579488
2,12,1,0.696364505936048
2,13,1,0.308067283545172
2,14,1,0.145368826457529
2,15,1,0.228004506115161
2,16,1,0.603726449712899
2,17,1,0.722408657272958
2,18,1,0.607399731630452
2,19,1,0.227177263483337
2,20,1,0.204030385397979
2,21,1,0.210305956309666
2,22,1,0.712257514656088
2,23,1,0.496642922349354
2,24,1,0.172564016587059
2,25,1,0.14272602233197
2,26,1,0.111480589244342
2,27,1,0.0832376756530154
2,28,1,0.252787694599984
2,29,1,0.0423105692438908
2,30,1,0.549899746393253
2,31,1,0.541447406327874
2,32,1,0.322448190735301
2,33,1,0.00915779611089832
2,34,1,0.469347808312517
2,35,1,0.420574100393688
2,36,1,0.357805643923941
2,37,1,0.289344912029764
2,38,1,0.223482891402851
2,39,1,0.166061181141966
2,40,1,0.119664555598338
3,1,1,0.336641224417281
3,2,1,0.314723378796402
3,3,1,0.55425229544498
3,4,1,0.538853198922711
3,5,1,0.874233297637951
3,6,1,0.40212165088186
3,7,1,0.325783629309725
3,8,1,0.401739794266619
3,9,1,0.37571088188276
3,10,1,0.557105686059047
3,11,1,0.31537248382312
3,12,1,0.325596680367542
3,13,1,0.264255526517602
3,14,1,0.203279651787669
3,15,1,0.556754923287584
3,16,1,0.591425326135477
3,17,1,0.422477477123446
3,18,1,0.0517868923823162
3,19,1,0.475179268056122
3,20,1,0.023897214803831
3,21,1,0.225484308207
3,22,1,0.0108023257996224
3,23,1,0.392130718946558
3,24,1,0.189365496778635
3,25,1,0.457229023729346
3,26,1,0.202189520083077
3,27,1,0.490912303593403
3,28,1,0.420733978228782
3,29,1,0.278465917581787
3,30,1,0.000427055308458589
3,31,1,0.0975674320906455
3,32,1,0.28420930455647
3,33,1,0.352913593819819
3,34,1,0.258574244808576
3,35,1,0.349018044979869
3,36,1,0.339357999341946
3,37,1,0.185294169878041
3,38,1,0.340192750461287
3,39,1,0.162163573289595
3,40,1,0.177871196478027
4,1,1,0.336641224417281
4,2,1,0.440227932086421
4,3,1,0.306177005571849
4,4,1,0.334263216680612
4,5,1,0.491370397200246
4,6,1,0.762236615018603
4,7,1,0.244987262026787
4,8,1,0.678489773007942
4,9,1,0.336687187819629
