"arrayType","algorithm","learningValue","abandonValue","arrayNumber","simulation","bout","bee","similarityIndex"
"R10-P1","noRouteCompare",1.5,0.75,1,1,1,1,0.6875
"R10-P1","noRouteCompare",1.5,0.75,1,1,1,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,1,2,1,0.5
"R10-P1","noRouteCompare",1.5,0.75,1,1,2,2,0.166666666666667
"R10-P1","noRouteCompare",1.5,0.75,1,1,3,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,1,3,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,1,4,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,1,4,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,1,5,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,1,5,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,1,6,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,1,6,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,1,7,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,1,7,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,1,8,1,0.527777777777778
"R10-P1","noRouteCompare",1.5,0.75,1,1,8,2,0.428571428571429
"R10-P1","noRouteCompare",1.5,0.75,1,1,9,1,0.428571428571429
"R10-P1","noRouteCompare",1.5,0.75,1,1,9,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,1,10,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,1,10,2,0.65
"R10-P1","noRouteCompare",1.5,0.75,1,1,11,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,1,11,2,0.3
"R10-P1","noRouteCompare",1.5,0.75,1,1,12,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,1,12,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,1,13,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,1,13,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,1,14,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,1,14,2,0.1875
"R10-P1","noRouteCompare",1.5,0.75,1,1,15,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,1,15,2,0.394736842105263
"R10-P1","noRouteCompare",1.5,0.75,1,1,16,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,1,16,2,0.421052631578947
"R10-P1","noRouteCompare",1.5,0.75,1,1,17,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,1,17,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,1,18,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,1,18,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,1,19,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,1,19,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,1,20,1,0.210526315789474
"R10-P1","noRouteCompare",1.5,0.75,1,1,20,2,0.3
"R10-P1","noRouteCompare",1.5,0.75,1,1,21,1,0.210526315789474
"R10-P1","noRouteCompare",1.5,0.75,1,1,21,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,1,22,1,0.25
"R10-P1","noRouteCompare",1.5,0.75,1,1,22,2,0.4
"R10-P1","noRouteCompare",1.5,0.75,1,1,23,1,0.25
"R10-P1","noRouteCompare",1.5,0.75,1,1,23,2,0.7
"R10-P1","noRouteCompare",1.5,0.75,1,1,24,1,0.25
"R10-P1","noRouteCompare",1.5,0.75,1,1,24,2,0.392857142857143
"R10-P1","noRouteCompare",1.5,0.75,1,1,25,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,1,25,2,0.428571428571429
"R10-P1","noRouteCompare",1.5,0.75,1,1,26,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,1,26,2,0.571428571428571
"R10-P1","noRouteCompare",1.5,0.75,1,1,27,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,1,27,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,1,28,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,1,28,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,1,29,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,1,29,2,0.541666666666667
