"arrayType","algorithm","learningValue","abandonValue","arrayNumber","simulation","bout","bee","H2","Q","Qnorm"
"R-P","noRouteCompare",1.5,0.75,1,1,1,1,0.333333333333333,0.347222222222222,0.714285714285714
"R-P","noRouteCompare",1.5,0.75,1,1,2,1,0,0.375,0.8
"R-P","noRouteCompare",1.5,0.75,1,1,3,1,0,0.142857142857143,0.636363636363636
"R-P","noRouteCompare",1.5,0.75,1,1,4,1,0,0.166666666666667,0.333333333333333
"R-P","noRouteCompare",1.5,0.75,1,1,5,1,0.0355755458435334,0.115384615384615,0.254901960784314
"R-P","noRouteCompare",1.5,0.75,1,1,6,1,0,0.32,0.666666666666666
"R-P","noRouteCompare",1.5,0.75,1,1,7,1,0.0431123473589422,0.0952380952380953,0.214285714285714
"R-P","noRouteCompare",1.5,0.75,1,1,8,1,1.386,0.5,1
"R-P","noRouteCompare",1.5,0.75,1,1,9,1,0,0.16,0.333333333333333
"R-P","noRouteCompare",1.5,0.75,1,1,10,1,0,0.395061728395062,0.8
"R-P","noRouteCompare",1.5,0.75,1,1,11,1,0.0591841756374108,0.171875,0.366666666666667
"R-P","noRouteCompare",1.5,0.75,1,1,12,1,0,0.25,0.514285714285714
"R-P","noRouteCompare",1.5,0.75,1,1,13,1,0,0.24,0.482142857142857
"R-P","noRouteCompare",1.5,0.75,1,1,14,1,0.2,0.244897959183673,0.5
"R-P","noRouteCompare",1.5,0.75,1,1,15,1,0.4,0.284023668639053,0.666666666666667
"R-P","noRouteCompare",1.5,0.75,1,1,16,1,1.609,0.48,1
"R-P","noRouteCompare",1.5,0.75,1,1,17,1,0.156802637393764,0.1484375,0.345454545454545
"R-P","noRouteCompare",1.5,0.75,1,1,18,1,0,0.198347107438016,0.666666666666666
"R-P","noRouteCompare",1.5,0.75,1,1,19,1,0.18596196376742,0.2578125,0.523809523809524
"R-P","noRouteCompare",1.5,0.75,1,1,20,1,0.361975918207121,0.175,0.466666666666667
"R-P","noRouteCompare",1.5,0.75,1,1,21,1,1.792,0.444444444444445,1
"R-P","noRouteCompare",1.5,0.75,1,1,22,1,0,0.36734693877551,0.75
"R-P","noRouteCompare",1.5,0.75,1,1,23,1,0.296081910965865,0.256055363321799,0.560606060606061
"R-P","noRouteCompare",1.5,0.75,1,1,24,1,0.153615140206123,0.166204986149584,0.428571428571429
"R-P","noRouteCompare",1.5,0.75,1,1,25,1,0.606431241432199,0.247933884297521,0.705882352941177
"R-P","noRouteCompare",1.5,0.75,1,1,26,1,0.344360937770434,0.213333333333333,0.666666666666667
"R-P","noRouteCompare",1.5,0.75,1,1,27,1,0,0.3125,0.833333333333333
"R-P","noRouteCompare",1.5,0.75,1,1,28,1,1.946,0.408163265306122,1
"R-P","noRouteCompare",1.5,0.75,1,1,29,1,0.384377847127609,0.176,0.55
"R-P","noRouteCompare",1.5,0.75,1,1,30,1,0.0558771335512021,0.21,0.5
"R-P","noRouteCompare",1.5,0.75,1,2,1,1,0.103759374819711,0.163265306122449,0.355555555555556
"R-P","noRouteCompare",1.5,0.75,1,2,2,1,1.946,0.408163265306122,1
"R-P","noRouteCompare",1.5,0.75,1,2,3,1,1.946,0.408163265306122,1
"R-P","noRouteCompare",1.5,0.75,1,2,4,1,0,0.231404958677686,0.466666666666667
"R-P","noRouteCompare",1.5,0.75,1,2,5,1,1.946,0.408163265306122,1
"R-P","noRouteCompare",1.5,0.75,1,2,6,1,0,0.166204986149584,0.38961038961039
"R-P","noRouteCompare",1.5,0.75,1,2,7,1,0,0.15625,0.333333333333333
"R-P","noRouteCompare",1.5,0.75,1,2,8,1,0,0.375,0.8
"R-P","noRouteCompare",1.5,0.75,1,2,9,1,0,0.246913580246914,0.714285714285714
"R-P","noRouteCompare",1.5,0.75,1,2,10,1,0,0.2,0.533333333333333
"R-P","noRouteCompare",1.5,0.75,1,2,11,1,0,0.1640625,0.538461538461538
"R-P","noRouteCompare",1.5,0.75,1,2,12,1,0.15941919615672,0.153061224489796,0.375
"R-P","noRouteCompare",1.5,0.75,1,2,13,1,0.16442291849514,0.145833333333333,0.388888888888889
"R-P","noRouteCompare",1.5,0.75,1,2,14,1,0.0816728966751298,0.181818181818182,0.458333333333333
"R-P","noRouteCompare",1.5,0.75,1,2,15,1,0,0.326530612244898,0.8
"R-P","noRouteCompare",1.5,0.75,1,2,16,1,0,0.326530612244898,0.8
"R-P","noRouteCompare",1.5,0.75,1,2,17,1,0.228443826320528,0.266666666666667,0.6
"R-P","noRouteCompare",1.5,0.75,1,2,18,1,0.666666666666667,0.396694214876033,0.857142857142857
"R-P","noRouteCompare",1.5,0.75,1,2,19,1,0.314668521038413,0.222222222222222,0.568181818181818
"R-P","noRouteCompare",1.5,0.75,1,2,20,1,0,0.4,0.8
"R-P","noRouteCompare",1.5,0.75,1,2,21,1,0,0.277777777777778,0.571428571428572
"R-P","noRouteCompare",1.5,0.75,1,2,22,1,0,0.231404958677686,0.466666666666667
"R-P","noRouteCompare",1.5,0.75,1,2,23,1,0.022767798266885,0.104166666666667,0.277777777777778
"R-P","noRouteCompare",1.5,0.75,1,2,24,1,0,0.25,0.5
"R-P","noRouteCompare",1.5,0.75,1,2,25,1,0.102323721824755,0.151228733459357,0.470588235294118
"R-P","noRouteCompare",1.5,0.75,1,2,26,1,0,0.0416666666666667,0.0909090909090909
"R-P","noRouteCompare",1.5,0.75,1,2,27,1,0.298966940476158,0.207939508506616,0.611111111111111
"R-P","noRouteCompare",1.5,0.75,1,2,28,1,1,0.375,1
"R-P","noRouteCompare",1.5,0.75,1,2,29,1,0.125,0.13,0.30952380952381
"R-P","noRouteCompare",1.5,0.75,1,2,30,1,0,0.296296296296296,0.6
"R-P","noRouteCompare",1.5,0.75,1,3,1,1,0,0.375,0.75
"R-P","noRouteCompare",1.5,0.75,1,3,2,1,0.420619835714305,0.355029585798817,0.75
"R-P","noRouteCompare",1.5,0.75,1,3,3,1,0.0191422053020382,0.122448979591837,0.263736263736264
"R-P","noRouteCompare",1.5,0.75,1,3,4,1,0,0.142857142857143,0.285714285714286
"R-P","noRouteCompare",1.5,0.75,1,3,5,1,0.25,0.306122448979592,0.666666666666667
"R-P","noRouteCompare",1.5,0.75,1,3,6,1,0,0.24,0.482142857142857
"R-P","noRouteCompare",1.5,0.75,1,3,7,1,0,0.395061728395062,0.8
"R-P","noRouteCompare",1.5,0.75,1,3,8,1,0.113574152913759,0.18,0.375
"R-P","noRouteCompare",1.5,0.75,1,3,9,1,0.146954653486742,0.15702479338843,0.447058823529412
"R-P","noRouteCompare",1.5,0.75,1,3,10,1,0.135548305583946,0.173010380622837,0.357142857142857
"R-P","noRouteCompare",1.5,0.75,1,3,11,1,0,0.12,0.263736263736264
"R-P","noRouteCompare",1.5,0.75,1,3,12,1,0.361583611703337,0.277777777777778,0.612244897959184
"R-P","noRouteCompare",1.5,0.75,1,3,13,1,1,0.493827160493827,1
"R-P","noRouteCompare",1.5,0.75,1,3,14,1,0,0.21301775147929,0.428571428571428
