simulation,bout,bee,distance_with_previous_learning_array,number_of_resources_foraged,relative_quality,absolute_quality
0,0,0,2.8105633719050935,2,0.0033688,0.20236679281552233
0,0,1,2.8105633719050935,3,0.00301472,0.18109689433531567
0,1,0,5.7945354104943805,4,0.00475073,0.2853805490478765
0,1,1,5.763436305715612,3,0.00345663,0.20764281852586053
0,2,0,7.906271396367105,3,0.0034214,0.20552652129512824
0,2,1,6.801112040807391,4,0.00480576,0.2886862497747342
0,3,0,7.472842328925733,2,0.00158543,0.09523818105364332
0,3,1,7.164572429662785,5,0.01555081,0.9341508980597105
0,4,0,7.0185986879312985,2,0.00337039,0.20246230552051422
0,4,1,7.142060806698682,5,0.01555081,0.9341508980597105
0,5,0,6.9956639509798,2,0.00509821,0.30625397969604135
0,5,1,7.18736644360021,5,0.01555081,0.9341508980597105
0,6,0,7.099528330168881,2,0.00509821,0.30625397969604135
0,6,1,7.214549825741127,5,0.01555081,0.9341508980597105
0,7,0,7.6312708344186335,4,0.00439605,0.2640746080374843
0,7,1,8.397142797467874,3,0.0026753,0.16070763500931098
0,8,0,8.25204746540374,4,0.00806496,0.4844692737430168
0,8,1,8.466364288964726,3,0.00559829,0.33629422718808194
0,9,0,8.047247885468568,4,0.00401193,0.24100018021265096
0,9,1,8.881590888482943,3,0.00273496,0.16429146392743438
1,0,0,7.89537946204128,4,0.00407901,0.24502973508740317
1,0,1,8.794062006446742,3,0.00421363,0.2531164774433832
1,1,0,7.385619100287833,4,0.00890594,0.5349876854688532
1,1,1,8.891489987666692,3,0.00296402,0.17805130053463086
1,2,0,7.1298017140983285,4,0.00833323,0.5005844896978435
1,2,1,7.992545048946807,3,0.00296975,0.17839550669790355
1,3,0,7.19279416414777,4,0.00890594,0.5349876854688532
1,3,1,7.19279416414777,3,0.00652346,0.39187000660779725
1,4,0,7.2367250943836385,4,0.00458618,0.2754958851444705
1,4,1,7.2367250943836385,3,0.00570515,0.34271340181414073
1,5,0,7.330794391780297,4,0.00387025,0.23248933741815345
1,5,1,7.32273938865855,3,0.00349739,0.21009130774313692
1,6,0,7.752094470043579,4,0.00425981,0.255890550850003
1,6,1,7.292989043728891,3,0.00590853,0.35493061812939275
1,7,0,7.266665317533128,4,0.00458963,0.2757031296930378
1,7,1,7.450349476462545,3,0.00246972,0.14835826275004507
1,8,0,7.1681378354608345,4,0.00401193,0.24100018021265096
1,8,1,7.340346914062039,3,0.00473308,0.28432029795158287
1,9,0,7.187064084344442,4,0.00890594,0.5349876854688532
1,9,1,7.187064084344442,3,0.00570515,0.34271340181414073
2,0,0,7.289212120864756,4,0.00377961,0.22704451252477925
2,0,1,7.1986268655020424,3,0.00917782,0.5513197573136301
2,1,0,7.218679446602,4,0.0048259,0.2898960773712982
2,1,1,7.308887312328189,3,0.00473308,0.28432029795158287
2,2,0,7.345553418010837,4,0.00409729,0.2461278308403917
2,2,1,7.160498983015746,3,0.00652346,0.39187000660779725
2,3,0,7.224593878854685,4,0.00472516,0.28384453655313274
2,3,1,7.212893818332031,3,0.00917782,0.5513197573136301
2,4,0,7.233625667690346,4,0.00476303,0.2861194209166817
2,4,1,7.245446965291373,3,0.00352433,0.2117096173484712
2,5,0,7.23478119228073,4,0.0048492,0.29129572896017303
2,5,1,7.232569052674985,3,0.00917782,0.5513197573136301
