"simulation";"bout";"interference";"exploitation1";"exploitation2"
1;1;0;1;2
1;2;0;0;1
1;3;1;0;5
1;4;0;1;1
1;5;0;4;12
1;6;0;0;1
1;7;0;5;9
1;8;0;0;0
1;9;0;3;2
1;10;1;0;0
1;11;0;2;6
1;12;3;0;0
1;13;1;3;1
1;14;1;3;1
1;15;0;2;5
1;16;0;0;0
1;17;2;5;1
1;18;0;0;4
1;19;0;4;2
1;20;0;0;12
1;21;0;0;0
1;22;0;1;0
1;23;0;1;7
1;24;1;1;8
1;25;0;0;13
1;26;1;6;0
1;27;0;1;0
1;28;0;0;0
1;29;0;0;16
1;30;0;1;9
2;1;0;1;7
2;2;0;0;0
2;3;0;0;0
2;4;0;1;3
2;5;0;0;0
2;6;0;7;3
2;7;1;2;5
2;8;1;0;0
2;9;1;2;0
2;10;4;0;6
2;11;0;0;8
2;12;0;16;3
2;13;0;1;14
2;14;0;12;1
2;15;0;0;1
2;16;0;1;0
2;17;0;5;0
2;18;0;1;2
2;19;1;0;4
2;20;0;0;1
2;21;2;0;1
2;22;2;0;1
2;23;0;14;1
2;24;2;1;0
2;25;0;0;15
2;26;3;7;4
2;27;0;0;14
2;28;0;1;0
2;29;0;11;1
2;30;0;2;0
3;1;1;0;0
3;2;0;3;3
3;3;3;8;6
3;4;3;1;1
3;5;0;0;4
3;6;1;2;1
3;7;0;1;1
3;8;1;6;4
3;9;3;0;8
3;10;1;2;5
3;11;0;9;2
3;12;0;18;10
3;13;0;0;1
3;14;0;2;4
3;15;0;6;17
3;16;0;10;2
3;17;1;5;1
3;18;1;5;0
3;19;0;1;1
3;20;0;1;7
3;21;2;1;0
3;22;0;1;2
3;23;1;5;3
3;24;1;3;2
3;25;0;0;0
3;26;1;3;0
3;27;0;3;0
3;28;0;0;0
3;29;1;0;16
3;30;2;4;2
4;1;0;0;1
4;2;2;7;4
4;3;1;2;2
4;4;2;0;2
4;5;1;0;4
4;6;4;12;2
4;7;0;3;0
4;8;0;0;0
4;9;3;0;0
4;10;2;1;11
4;11;1;1;6
4;12;0;6;0
4;13;0;1;5
4;14;3;7;1
4;15;1;10;2
4;16;0;0;2
4;17;0;1;2
4;18;1;1;0
4;19;1;16;8
4;20;1;10;3
4;21;0;3;0
4;22;1;6;0
4;23;0;1;0
4;24;0;0;2
4;25;1;2;5
4;26;0;0;3
4;27;0;3;6
4;28;1;0;4
4;29;0;0;0
4;30;0;0;0
5;1;1;3;9
5;2;0;2;2
5;3;1;0;8
5;4;1;5;1
5;5;1;6;0
5;6;0;3;3
5;7;0;0;12
5;8;1;0;4
5;9;1;0;7
5;10;1;1;5
5;11;1;1;6
5;12;0;3;2
5;13;1;3;3
5;14;1;0;0
5;15;0;2;0
5;16;2;2;6
5;17;1;4;1
5;18;2;1;0
5;19;0;9;0
5;20;1;12;4
5;21;1;4;4
5;22;0;0;1
5;23;0;2;5
5;24;3;11;3
5;25;0;1;1
5;26;0;2;1
5;27;0;6;1
5;28;0;0;3
5;29;0;0;2
5;30;0;0;3
6;1;1;0;4
6;2;0;0;5
6;3;1;0;5
6;4;1;0;5
6;5;2;1;13
6;6;1;2;5
6;7;0;11;5
6;8;0;3;1
6;9;0;1;1
6;10;0;2;6
6;11;0;3;0
6;12;0;1;2
6;13;0;2;1
6;14;0;0;3
6;15;1;0;0
6;16;0;7;0
6;17;0;0;1
6;18;0;1;3
6;19;1;0;3
6;20;0;1;0
6;21;0;0;0
6;22;0;0;5
6;23;2;7;7
6;24;0;10;0
6;25;1;1;0
6;26;0;5;12
6;27;1;13;4
6;28;1;13;4
6;29;1;2;9
6;30;0;9;3
7;1;1;3;10
7;2;1;0;0
7;3;0;0;4
7;4;0;2;14
7;5;0;1;0
7;6;3;0;6
7;7;0;6;0
7;8;0;0;0
7;9;0;9;0
7;10;0;11;2
7;11;0;4;12
7;12;1;2;0
7;13;0;0;13
7;14;0;0;2
7;15;0;6;3
7;16;0;0;0
7;17;0;0;0
7;18;0;0;1
7;19;1;0;8
7;20;0;1;0
7;21;1;14;2
7;22;0;2;0
7;23;1;2;2
7;24;0;0;6
7;25;2;0;2
7;26;0;0;0
7;27;0;0;0
7;28;0;3;0
7;29;0;0;0
7;30;0;0;4
8;1;1;0;2
8;2;0;1;0
8;3;1;1;0
8;4;1;2;5
8;5;0;3;0
8;6;0;2;1
8;7;0;4;13
8;8;2;0;4
8;9;0;8;0
8;10;2;1;1
8;11;2;0;0
8;12;0;6;2
8;13;2;4;5
8;14;0;3;2
8;15;1;1;4
8;16;0;0;0
8;17;0;0;17
8;18;0;4;3
8;19;0;9;2
8;20;0;5;0
8;21;1;3;6
8;22;0;8;0
8;23;0;6;1
8;24;0;0;0
8;25;1;1;1
8;26;0;19;0
8;27;0;3;3
8;28;0;1;14
8;29;2;0;6
8;30;2;2;5
9;1;0;1;0
9;2;1;0;2
9;3;0;2;0
9;4;1;0;8
9;5;0;8;4
9;6;0;1;1
9;7;3;0;3
9;8;1;4;0
9;9;0;1;3
9;10;1;0;5
9;11;3;10;9
9;12;0;1;9
9;13;0;4;0
9;14;2;10;12
9;15;2;6;3
9;16;4;0;1
9;17;1;10;3
9;18;0;9;0
9;19;0;4;5
9;20;2;1;6
9;21;2;6;13
9;22;1;3;1
9;23;0;13;0
9;24;0;0;0
9;25;1;0;2
9;26;0;5;1
9;27;0;3;1
9;28;0;0;3
9;29;0;1;0
9;30;2;6;13
10;1;0;2;9
10;2;0;0;3
10;3;0;1;1
10;4;2;3;6
10;5;0;9;3
10;6;0;3;10
10;7;0;7;3
10;8;0;1;0
10;9;0;3;4
10;10;1;1;13
10;11;1;0;1
10;12;1;2;0
10;13;0;0;2
10;14;1;0;2
10;15;1;0;1
10;16;1;3;0
10;17;0;11;0
10;18;1;7;8
10;19;1;0;2
10;20;0;4;0
10;21;5;0;2
10;22;1;1;9
10;23;0;3;0
10;24;0;0;0
10;25;0;7;1
10;26;0;0;0
10;27;0;1;4
10;28;0;3;2
10;29;0;0;1
10;30;0;7;6
11;1;0;2;1
11;2;0;1;5
11;3;1;3;5
11;4;0;1;2
11;5;0;4;0
11;6;0;1;5
11;7;1;1;1
11;8;2;1;1
11;9;2;0;3
11;10;1;0;0
11;11;3;0;2
11;12;1;4;0
11;13;3;3;12
11;14;1;15;0
11;15;0;13;0
11;16;1;3;0
11;17;3;0;0
11;18;0;1;4
11;19;0;0;3
11;20;0;0;0
11;21;1;1;3
11;22;0;0;0
11;23;0;1;0
11;24;0;0;5
11;25;0;0;2
11;26;3;3;3
11;27;0;5;0
11;28;0;0;0
