"ArrayNumber","Simulation","Bout","Q1","Q2","Qall","QallRelative"
1,1,1,0.01289541,0.0166473,0.03,0.468194677219567
1,1,2,0.00919373,0.01167359,0.021,0.327736274053697
1,1,3,0.01004721,0.01300707,0.023,0.358949252535001
1,1,4,0.00695933,0.00446921,0.011,0.171671381647174
1,1,5,0.01587595,0.00905379,0.025,0.390162231016306
1,1,6,0.01476066,0.00144104,0.016,0.249703827850436
1,1,7,0.00297835,0.01150032,0.014,0.218490849369131
1,1,8,0.00593604,0.01004721,0.016,0.249703827850436
1,1,9,0.01020703,0.00400394,0.014,0.218490849369131
1,1,10,0.02428342,0.00777254,0.032,0.499407655700871
1,1,11,0.01321341,0.00565863,0.019,0.296523295572392
1,1,12,0.02746755,0.00341993,0.031,0.483801166460219
1,1,13,0.01548668,0.0077835,0.023,0.358949252535001
1,1,14,0.01628261,0.01118185,0.027,0.42137520949761
1,1,15,0.00305727,0.00888922,0.012,0.187277870887827
1,1,16,0.01004721,0.00711776,0.017,0.265310317091088
1,1,17,0.01502797,0.00376359,0.019,0.296523295572392
1,1,18,0.00829098,0.0147747,0.023,0.358949252535001
1,1,19,0.01658705,0.01473168,0.031,0.483801166460219
1,1,20,0.02348783,0.00377818,0.027,0.42137520949761
1,1,21,0.00662579,0.01394449,0.021,0.327736274053697
1,1,22,0.0065603,0.01712263,0.024,0.374555741775653
1,1,23,0.02447634,0.0053176,0.03,0.468194677219567
1,1,24,0.01756383,0.00534509,0.023,0.358949252535001
1,1,25,0.02135254,0.00506052,0.026,0.405768720256958
1,1,26,0.01424836,0.0054178,0.02,0.312129784813044
1,1,27,0.01696679,0.01004721,0.027,0.42137520949761
1,1,28,0.0155072,0.01004721,0.026,0.405768720256958
1,1,29,0.03030667,0.00504857,0.035,0.546227123422828
1,1,30,0.02306641,0.00905218,0.032,0.499407655700871
1,2,1,0.01975037,0.00224677,0.022,0.343342763294349
1,2,2,0.00635074,0.02866018,0.035,0.546227123422828
1,2,3,0.02769347,0.00454487,0.032,0.499407655700871
1,2,4,0.01640047,0.00578736,0.022,0.343342763294349
1,2,5,0.03785535,0.0035675,0.041,0.639866058866741
1,2,6,0.01645797,0.01294412,0.029,0.452588187978914
1,2,7,0.00571225,0.00767111,0.013,0.202884360128479
1,2,8,0.0230484,0.00453952,0.028,0.436981698738262
1,2,9,0.01739363,0.00154545,0.019,0.296523295572392
1,2,10,0.0250939,0.0057776,0.031,0.483801166460219
1,2,11,0.01156804,0.00915977,0.021,0.327736274053697
1,2,12,0.00531149,0.02365119,0.029,0.452588187978914
1,2,13,0.02253922,0.00529915,0.028,0.436981698738262
1,2,14,0.00506961,0.02647719,0.032,0.499407655700871
1,2,15,0.0184533,0.00207275,0.021,0.327736274053697
1,2,16,0.00176919,0.04656484,0.048,0.749111483551307
1,2,17,0.01128396,0.04656484,0.058,0.905176375957829
1,2,18,0.0060697,0.02389722,0.03,0.468194677219567
1,2,19,0.01659848,0.01403014,0.031,0.483801166460219
1,2,20,0.02459519,0.01471,0.039,0.608653080385437
1,2,21,0.02366883,0.00896499,0.033,0.515014144941523
1,2,22,0.02541718,0.00264652,0.028,0.436981698738262
1,2,23,0.0051411,0.03342477,0.039,0.608653080385437
1,2,24,0.0211315,0.00289395,0.024,0.374555741775653
1,2,25,0.02366883,0.00299233,0.027,0.42137520949761
1,2,26,0.00659742,0.00445414,0.011,0.171671381647174
1,2,27,0.02237014,0.00472452,0.027,0.42137520949761
1,2,28,0.01760895,0.01004721,0.028,0.436981698738262
1,2,29,0.00328543,0.03219337,0.035,0.546227123422828
1,2,30,0.00394901,0.02920378,0.033,0.515014144941523
1,3,1,0.00760423,0.01260665,0.02,0.312129784813044
1,3,2,0.02152605,0.00286681,0.024,0.374555741775653
1,3,3,0.0049267,0.00548961,0.01,0.156064892406522
1,3,4,0.01986242,0.00663738,0.026,0.405768720256958
1,3,5,0.02547553,0.01186326,0.037,0.577440101904132
1,3,6,0.01648315,0.02045359,0.037,0.577440101904132
1,3,7,0.01343972,0.00989923,0.023,0.358949252535001
1,3,8,0.01270034,0.00530657,0.018,0.28091680633174
1,3,9,0.02660473,0.00531874,0.032,0.499407655700871
1,3,10,0.01460089,0.00852531,0.023,0.358949252535001
1,3,11,0.00527302,0.02639679,0.032,0.499407655700871
1,3,12,0.005068,0.00519492,0.01,0.156064892406522
1,3,13,0.01578687,0.01260665,0.028,0.436981698738262
1,3,14,0.02879159,0.00450112,0.033,0.515014144941523
1,3,15,0.01131377,0.00514567,0.016,0.249703827850436
1,3,16,0.00499968,0.02030853,0.025,0.390162231016306
1,3,17,0.01101659,0.01192742,0.023,0.358949252535001
1,3,18,0.00740673,0.01851424,0.026,0.405768720256958
1,3,19,0.00731869,0.00394853,0.011,0.171671381647174
1,3,20,0.00867508,0.01530352,0.024,0.374555741775653
1,3,21,0.01134846,0.02757246,0.039,0.608653080385437
1,3,22,0.00748855,0.01889465,0.026,0.405768720256958
1,3,23,0.00672855,0.01209599,0.019,0.296523295572392
1,3,24,0.00883575,0.00780792,0.017,0.265310317091088
1,3,25,0.02412553,0.01004721,0.034,0.530620634182176
1,3,26,0.0092547,0.01414672,0.023,0.358949252535001
1,3,27,0.00966785,0.02685459,0.037,0.577440101904132
1,3,28,0.01127358,0.03336072,0.045,0.70229201582935
1,3,29,0.01727832,0.00514218,0.022,0.343342763294349
1,3,30,0.00981472,0.01105399,0.021,0.327736274053697
1,4,1,0.00981747,0.01808224,0.028,0.436981698738262
1,4,2,0.01082484,0.00998358,0.021,0.327736274053697
1,4,3,0.0206822,0.0055112,0.026,0.405768720256958
1,4,4,0.02237756,0.01430592,0.037,0.577440101904132
1,4,5,0.00829098,0.01429637,0.023,0.358949252535001
1,4,6,0.00505948,0.00875693,0.014,0.218490849369131
1,4,7,0.01399754,0.00618179,0.02,0.312129784813044
1,4,8,0.00662579,0.0140506,0.021,0.327736274053697
1,4,9,0.02789759,0.00832037,0.036,0.56183361266348
1,4,10,0.02270749,0.00532849,0.028,0.436981698738262
1,4,11,0.01057585,0.00372191,0.014,0.218490849369131
1,4,12,0.01343591,0.00968365,0.023,0.358949252535001
1,4,13,0.02012667,0.01215469,0.032,0.499407655700871
1,4,14,0.00401747,0.02408798,0.028,0.436981698738262
1,4,15,0.00843775,0.00698651,0.015,0.234097338609783
1,4,16,0.01365499,0.00714331,0.021,0.327736274053697
1,4,17,0.02160086,0.01084499,0.032,0.499407655700871
1,4,18,0.0117424,0.01002594,0.022,0.343342763294349
1,4,19,0.00528444,0.00623984,0.012,0.187277870887827
1,4,20,0.00669544,0.00931684,0.016,0.249703827850436
1,4,21,0.01932842,0.01127358,0.031,0.483801166460219
1,4,22,0.01434479,0.00984388,0.024,0.374555741775653
1,4,23,0.00942751,0.01127358,0.021,0.327736274053697
1,4,24,0.02757625,0.00796785,0.036,0.56183361266348
1,4,25,0.01979382,0.01225394,0.032,0.499407655700871
1,4,26,0.01880152,0.00588333,0.025,0.390162231016306
1,4,27,0.021711,0.00380474,0.026,0.405768720256958
1,4,28,0.02757625,0.00455345,0.032,0.499407655700871
1,4,29,0.01365499,0.02050325,0.034,0.530620634182176
1,4,30,0.02757625,0.01127358,0.039,0.608653080385437
1,5,1,0.0118075,0.00290101,0.015,0.234097338609783
1,5,2,0.00689378,0.01191689,0.019,0.296523295572392
1,5,3,0.02524684,0.00408159,0.029,0.452588187978914
1,5,4,0.01529899,0.00191166,0.017,0.265310317091088
1,5,5,0.01039307,0.01368965,0.024,0.374555741775653
1,5,6,0.00282586,0.01846032,0.021,0.327736274053697
1,5,7,0.02653349,0.00527713,0.032,0.499407655700871
1,5,8,0.0172049,0.0132167,0.03,0.468194677219567
1,5,9,0.02470017,0.00450584,0.029,0.452588187978914
1,5,10,0.02507065,0.00479312,0.03,0.468194677219567
1,5,11,0.02314382,0.00983939,0.033,0.515014144941523
1,5,12,0.01470449,0.01604766,0.031,0.483801166460219
1,5,13,0.01219488,0.00838057,0.021,0.327736274053697
1,5,14,0.0238528,0.00106408,0.025,0.390162231016306
1,5,15,0.00751707,0.04116233,0.049,0.764717972791959
1,5,16,0.01321822,0.00999796,0.023,0.358949252535001
1,5,17,0.00531313,0.0175772,0.023,0.358949252535001
1,5,18,0.01147357,0.00145409,0.013,0.202884360128479
1,5,19,0.00546357,0.03243678,0.038,0.593046591144784
1,5,20,0.00521733,0.00738696,0.013,0.202884360128479
1,5,21,0.01628072,0.0119087,0.028,0.436981698738262
1,5,22,0.02366883,0.01490855,0.039,0.608653080385437
1,5,23,0.01175099,0.00842537,0.02,0.312129784813044
1,5,24,0.00524615,0.00831191,0.014,0.218490849369131
1,5,25,0.00464289,0.02153002,0.026,0.405768720256958
1,5,26,0.02378937,0.01383799,0.038,0.593046591144784
1,5,27,0.00445891,0.0301984,0.035,0.546227123422828
1,5,28,0.02685339,0.00963935,0.036,0.56183361266348
1,5,29,0.00576414,0.01770261,0.023,0.358949252535001
1,5,30,0.02211152,0.0013986,0.024,0.374555741775653
1,6,1,0.01004721,0.01400776,0.024,0.374555741775653
1,6,2,0.01021391,0.00491616,0.015,0.234097338609783
1,6,3,0.01004721,0.01349536,0.024,0.374555741775653
1,6,4,0.03224175,0.00420994,0.036,0.56183361266348
1,6,5,0.02569468,0.00293022,0.029,0.452588187978914
1,6,6,0.02654475,0.00255708,0.029,0.452588187978914
1,6,7,0.01044124,0.00251738,0.013,0.202884360128479
1,6,8,0.01131764,0.00514135,0.016,0.249703827850436
1,6,9,0.00796703,0.01985267,0.028,0.436981698738262
1,6,10,0.01674499,0.00285762,0.02,0.312129784813044
1,6,11,0.00757425,0.00971232,0.017,0.265310317091088
1,6,12,0.0261292,0.00148292,0.028,0.436981698738262
1,6,13,0.01038077,0.00176919,0.012,0.187277870887827
1,6,14,0.0399028,0.00547858,0.045,0.70229201582935
1,6,15,0.0061222,0.00182213,0.008,0.124851913925218
1,6,16,0.0120791,0.00598515,0.018,0.28091680633174
1,6,17,0.0241411,0.0117253,0.036,0.56183361266348
1,6,18,0.0201892,0.00824849,0.028,0.436981698738262
1,6,19,0.02200562,0.01144893,0.033,0.515014144941523
1,6,20,0.01105583,0.01674718,0.028,0.436981698738262
1,6,21,0.01004721,0.01690278,0.027,0.42137520949761
1,6,22,0.03293592,0.00538602,0.038,0.593046591144784
1,6,23,0.00848342,0.00602196,0.015,0.234097338609783
1,6,24,0.00550269,0.02132223,0.027,0.42137520949761
1,6,25,0.01433438,0.01063312,0.025,0.390162231016306
1,6,26,0.01395966,0.00526403,0.019,0.296523295572392
1,6,27,0.00519211,0.00936514,0.015,0.234097338609783
1,6,28,0.00524146,0.01208807,0.017,0.265310317091088
