"arrayNumber";"simulation";"bout";"interference";"exploitation1";"exploitation2"
1;1;1;3;0;10
1;1;2;0;4;1
1;1;3;1;1;2
1;1;4;1;2;0
1;1;5;0;16;1
1;1;6;1;5;0
1;1;7;0;1;1
1;1;8;0;4;1
1;1;9;0;2;1
1;1;10;1;0;3
1;1;11;0;1;1
1;1;12;0;2;1
1;1;13;0;2;0
1;1;14;1;3;0
1;1;15;1;1;11
1;1;16;3;3;10
1;1;17;0;0;1
1;1;18;2;0;0
1;1;19;0;0;0
1;1;20;1;4;1
1;1;21;1;9;0
1;1;22;1;2;0
1;1;23;2;6;0
1;1;24;0;0;2
1;1;25;0;2;6
1;1;26;0;0;0
1;1;27;0;0;0
1;1;28;1;6;0
1;1;29;0;12;0
1;1;30;1;2;0
1;2;1;0;4;1
1;2;2;1;5;0
1;2;3;2;9;0
1;2;4;0;1;0
1;2;5;0;3;0
1;2;6;1;0;1
1;2;7;0;0;0
1;2;8;1;1;5
1;2;9;0;1;3
1;2;10;0;6;0
1;2;11;2;3;10
1;2;12;0;1;4
1;2;13;0;1;0
1;2;14;2;6;16
1;2;15;0;3;0
1;2;16;0;5;2
1;2;17;1;9;2
1;2;18;1;1;6
1;2;19;2;1;0
1;2;20;1;5;2
1;2;21;0;0;3
1;2;22;0;3;2
1;2;23;1;2;2
1;2;24;1;11;1
1;2;25;0;0;1
1;2;26;0;6;5
1;2;27;0;0;13
1;2;28;0;3;15
1;2;29;1;1;4
1;2;30;0;1;3
1;3;1;0;0;1
1;3;2;0;0;1
1;3;3;1;7;3
1;3;4;1;11;0
1;3;5;1;1;13
1;3;6;0;0;1
1;3;7;0;3;1
1;3;8;2;0;7
1;3;9;0;0;3
1;3;10;0;0;2
1;3;11;0;1;1
1;3;12;0;0;0
1;3;13;0;1;0
1;3;14;0;8;2
1;3;15;2;4;9
1;3;16;1;2;15
1;3;17;2;14;6
1;3;18;0;1;1
1;3;19;1;0;4
1;3;20;1;1;6
1;3;21;0;11;2
1;3;22;0;2;6
1;3;23;2;6;3
1;3;24;1;1;0
1;3;25;1;5;0
1;3;26;0;9;1
1;3;27;0;8;6
1;3;28;0;3;3
1;3;29;0;2;6
1;3;30;0;0;3
1;4;1;2;2;7
1;4;2;0;0;1
1;4;3;1;3;3
1;4;4;1;1;1
1;4;5;0;0;0
1;4;6;0;1;4
1;4;7;0;2;1
1;4;8;1;1;3
1;4;9;0;1;9
1;4;10;0;0;13
1;4;11;0;0;1
1;4;12;1;0;5
1;4;13;2;10;5
1;4;14;0;0;1
1;4;15;0;0;3
1;4;16;1;0;2
1;4;17;2;2;2
1;4;18;0;2;0
1;4;19;1;0;1
1;4;20;0;1;1
1;4;21;0;0;5
1;4;22;2;1;0
1;4;23;0;3;2
1;4;24;1;3;5
1;4;25;1;2;5
1;4;26;1;0;1
1;4;27;0;1;1
1;4;28;4;0;0
1;4;29;1;13;5
1;4;30;1;1;4
1;5;1;1;5;6
1;5;2;0;4;3
1;5;3;0;3;0
1;5;4;0;0;0
1;5;5;0;4;11
1;5;6;0;0;0
1;5;7;0;0;0
1;5;8;3;2;9
1;5;9;5;1;10
1;5;10;0;1;5
1;5;11;2;7;9
1;5;12;1;0;0
1;5;13;1;5;0
1;5;14;1;0;1
1;5;15;0;8;10
1;5;16;1;1;0
1;5;17;1;6;3
1;5;18;0;0;8
1;5;19;0;0;2
1;5;20;1;2;13
1;5;21;1;1;0
1;5;22;2;0;0
1;5;23;0;4;9
1;5;24;3;2;0
1;5;25;1;1;2
1;5;26;0;0;0
1;5;27;1;0;9
1;5;28;2;0;6
1;5;29;1;0;1
1;5;30;0;2;0
1;6;1;3;0;2
1;6;2;0;6;6
1;6;3;0;2;0
1;6;4;0;12;2
1;6;5;0;6;9
1;6;6;1;1;6
1;6;7;0;0;2
1;6;8;1;19;1
1;6;9;1;6;0
1;6;10;3;8;3
1;6;11;3;6;5
1;6;12;0;5;0
1;6;13;1;4;2
1;6;14;1;0;0
1;6;15;0;4;0
1;6;16;0;0;1
1;6;17;1;2;2
1;6;18;0;3;11
1;6;19;0;4;0
1;6;20;0;2;0
1;6;21;0;0;12
1;6;22;0;2;3
1;6;23;3;0;0
1;6;24;0;9;1
1;6;25;0;1;1
1;6;26;0;0;1
1;6;27;0;1;0
1;6;28;0;7;5
1;6;29;0;0;4
1;6;30;1;1;0
1;7;1;0;5;1
1;7;2;2;0;1
1;7;3;1;0;0
1;7;4;1;3;2
1;7;5;0;1;2
1;7;6;1;1;0
1;7;7;1;1;1
1;7;8;1;2;0
1;7;9;2;11;3
1;7;10;1;0;1
1;7;11;0;14;2
1;7;12;0;1;7
1;7;13;1;2;6
1;7;14;0;5;3
1;7;15;0;2;0
1;7;16;0;10;4
1;7;17;0;0;0
1;7;18;0;0;1
1;7;19;2;0;2
1;7;20;0;3;1
1;7;21;0;0;0
1;7;22;1;1;3
1;7;23;0;6;2
1;7;24;1;3;0
1;7;25;0;0;3
1;7;26;0;0;4
1;7;27;0;1;2
1;7;28;0;0;1
1;7;29;2;7;2
1;7;30;0;0;4
1;8;1;1;2;1
1;8;2;0;3;5
1;8;3;1;0;0
1;8;4;1;3;0
1;8;5;1;1;1
1;8;6;1;0;10
1;8;7;0;0;5
1;8;8;1;1;2
1;8;9;0;8;1
1;8;10;1;7;2
1;8;11;1;2;0
1;8;12;1;4;0
1;8;13;0;3;0
1;8;14;0;0;3
1;8;15;0;0;1
1;8;16;0;0;2
1;8;17;0;0;12
1;8;18;1;14;3
1;8;19;1;2;2
1;8;20;0;0;5
1;8;21;1;0;3
1;8;22;2;7;4
1;8;23;2;1;2
1;8;24;0;2;1
1;8;25;0;1;3
1;8;26;2;0;0
1;8;27;1;4;2
1;8;28;0;0;1
1;8;29;0;2;0
1;8;30;0;0;4
1;9;1;0;5;2
1;9;2;0;0;4
1;9;3;1;4;4
1;9;4;0;7;1
1;9;5;0;3;4
1;9;6;0;2;0
1;9;7;1;0;0
1;9;8;0;2;18
1;9;9;0;1;2
1;9;10;0;0;8
1;9;11;0;8;2
1;9;12;0;0;2
1;9;13;0;0;2
1;9;14;0;0;0
1;9;15;1;3;0
1;9;16;0;2;0
1;9;17;1;8;0
1;9;18;3;1;2
1;9;19;0;5;0
1;9;20;1;7;2
1;9;21;1;0;0
1;9;22;0;0;0
1;9;23;0;7;0
1;9;24;1;5;0
1;9;25;0;0;6
1;9;26;0;11;0
1;9;27;1;11;0
1;9;28;0;6;0
1;9;29;0;1;0
1;9;30;1;3;0
1;10;1;0;3;2
1;10;2;0;3;1
1;10;3;0;0;9
1;10;4;2;3;8
1;10;5;0;0;3
1;10;6;0;5;5
1;10;7;1;3;0
1;10;8;0;3;5
1;10;9;1;8;1
1;10;10;0;1;2
1;10;11;1;2;11
1;10;12;0;4;2
1;10;13;0;0;2
1;10;14;1;2;1
1;10;15;0;1;1
1;10;16;0;2;0
1;10;17;0;2;4
1;10;18;0;2;0
1;10;19;1;0;5
1;10;20;0;0;0
1;10;21;1;1;2
1;10;22;0;3;1
1;10;23;0;0;8
1;10;24;0;4;0
1;10;25;2;9;3
1;10;26;1;1;4
1;10;27;1;1;9
1;10;28;0;0;1
1;10;29;0;1;4
1;10;30;0;2;1
1;11;1;0;7;2
1;11;2;1;0;6
1;11;3;0;2;3
1;11;4;0;6;3
1;11;5;1;0;1
1;11;6;1;15;3
1;11;7;0;0;1
1;11;8;2;0;0
1;11;9;2;7;3
1;11;10;1;1;3
1;11;11;0;1;2
1;11;12;1;4;6
1;11;13;0;1;0
1;11;14;0;0;1
1;11;15;2;9;6
1;11;16;1;2;5
1;11;17;0;1;0
1;11;18;1;12;1
1;11;19;1;7;2
1;11;20;3;3;0
1;11;21;0;0;0
1;11;22;1;0;5
1;11;23;0;0;0
1;11;24;1;4;4
1;11;25;0;0;2
1;11;26;1;0;0
1;11;27;1;0;7
1;11;28;3;0;2
1;11;29;0;0;14
1;11;30;2;1;0
1;12;1;0;6;0
1;12;2;0;0;1
1;12;3;2;1;8
1;12;4;0;3;11
1;12;5;0;0;4
1;12;6;1;3;0
1;12;7;3;4;10
1;12;8;2;0;3
1;12;9;1;9;0
1;12;10;1;6;0
1;12;11;0;0;0
1;12;12;2;1;0
