simulation,bout,bee,distance_with_previous_learning_array,number_of_resources_foraged,absolute_quality
0,0,0,,5,0.01786835
0,0,1,,2,0.01004721
0,1,0,,4,0.00940979
0,1,1,,3,0.00554637
0,2,0,,5,0.01395537
0,2,1,,4,0.00703406
0,3,0,,4,0.00502814
0,3,1,,5,0.0187734
0,4,0,,5,0.01340154
0,4,1,,4,0.00464914
0,5,0,,5,0.01340154
0,5,1,,4,0.00872468
0,6,0,,5,0.01197876
0,6,1,,4,0.01117723
0,7,0,,5,0.0166277
0,7,1,,5,0.01395637
0,8,0,,5,0.0166277
0,8,1,,5,0.01395637
0,9,0,,5,0.0166277
0,9,1,,4,0.00459485
0,10,0,,5,0.0166277
0,10,1,,5,0.00696648
0,11,0,,5,0.0166277
0,11,1,,4,0.0078843
0,12,0,,5,0.0166277
0,12,1,,5,0.01516483
0,13,0,,5,0.0166277
0,13,1,,5,0.01519191
0,14,0,,5,0.0166277
0,14,1,,5,0.01519191
0,15,0,,5,0.0166277
0,15,1,,5,0.01519191
0,16,0,,5,0.0166277
0,16,1,,5,0.01519191
0,17,0,,5,0.0166277
0,17,1,,5,0.01519191
0,18,0,,5,0.0166277
0,18,1,,5,0.01519191
0,19,0,,5,0.0166277
0,19,1,,5,0.01519191
0,20,0,,5,0.0166277
0,20,1,,5,0.01519191
0,21,0,,5,0.0166277
0,21,1,,5,0.01519191
0,22,0,,5,0.0166277
0,22,1,,5,0.01519191
0,23,0,,5,0.0166277
0,23,1,,5,0.01519191
0,24,0,,5,0.0166277
0,24,1,,5,0.01519191
0,25,0,,5,0.0166277
0,25,1,,5,0.01519191
0,26,0,,5,0.0166277
0,26,1,,5,0.01519191
0,27,0,,5,0.0166277
0,27,1,,5,0.01519191
0,28,0,,5,0.0166277
0,28,1,,5,0.01519191
0,29,0,,5,0.0166277
0,29,1,,5,0.01519191
1,0,0,,3,0.00318585
1,0,1,,5,0.02275083
1,1,0,,3,0.0090998
1,1,1,,5,0.02275083
1,2,0,,3,0.0090998
1,2,1,,5,0.02275083
1,3,0,,3,0.0090998
1,3,1,,5,0.02275083
1,4,0,,3,0.0090998
1,4,1,,5,0.02275083
1,5,0,,3,0.0090998
1,5,1,,5,0.02275083
1,6,0,,3,0.0090998
1,6,1,,5,0.02275083
1,7,0,,4,0.00578975
1,7,1,,5,0.02029577
1,8,0,,5,0.00732075
1,8,1,,5,0.02029577
1,9,0,,5,0.01112994
1,9,1,,5,0.02029577
1,10,0,,4,0.00462448
1,10,1,,5,0.02029577
1,11,0,,5,0.01408934
1,11,1,,4,0.00808715
1,12,0,,5,0.01408934
1,12,1,,4,0.00483739
1,13,0,,5,0.01408934
1,13,1,,5,0.0160589
1,14,0,,5,0.01408934
1,14,1,,5,0.0160589
1,15,0,,5,0.01408934
1,15,1,,5,0.0160589
1,16,0,,5,0.01408934
1,16,1,,5,0.0160589
1,17,0,,5,0.01408934
1,17,1,,5,0.0160589
1,18,0,,5,0.01408934
1,18,1,,5,0.0160589
1,19,0,,5,0.01408934
1,19,1,,5,0.0160589
1,20,0,,5,0.01408934
1,20,1,,5,0.0160589
1,21,0,,5,0.01408934
1,21,1,,5,0.0160589
1,22,0,,5,0.01408934
1,22,1,,5,0.0160589
1,23,0,,5,0.01408934
1,23,1,,5,0.0160589
1,24,0,,5,0.01408934
1,24,1,,5,0.0160589
1,25,0,,5,0.01408934
1,25,1,,5,0.0160589
1,26,0,,5,0.01408934
1,26,1,,5,0.0160589
1,27,0,,5,0.01408934
1,27,1,,5,0.0160589
1,28,0,,5,0.01408934
1,28,1,,5,0.0160589
1,29,0,,5,0.01408934
1,29,1,,5,0.0160589
2,0,0,,5,0.01494602
2,0,1,,5,0.01765334
2,1,0,,4,0.0048622
2,1,1,,5,0.02404609
2,2,0,,5,0.00999247
2,2,1,,5,0.02164769
2,3,0,,4,0.00469294
2,3,1,,5,0.02404609
2,4,0,,5,0.01842568
2,4,1,,5,0.02404609
2,5,0,,5,0.01842568
2,5,1,,5,0.02404609
2,6,0,,5,0.01842568
2,6,1,,5,0.02404609
2,7,0,,5,0.01842568
2,7,1,,5,0.02404609
2,8,0,,5,0.01842568
2,8,1,,5,0.02404609
2,9,0,,5,0.01842568
2,9,1,,5,0.02404609
2,10,0,,5,0.01842568
2,10,1,,5,0.02404609
2,11,0,,5,0.01842568
2,11,1,,5,0.02404609
2,12,0,,5,0.01842568
2,12,1,,5,0.02404609
2,13,0,,5,0.01842568
2,13,1,,5,0.02404609
2,14,0,,5,0.01842568
2,14,1,,5,0.02404609
2,15,0,,5,0.01842568
2,15,1,,5,0.02404609
2,16,0,,5,0.01842568
2,16,1,,5,0.02404609
2,17,0,,5,0.01842568
2,17,1,,5,0.02404609
2,18,0,,5,0.01842568
2,18,1,,5,0.02404609
2,19,0,,5,0.01842568
2,19,1,,5,0.02404609
2,20,0,,5,0.01842568
2,20,1,,5,0.02404609
2,21,0,,5,0.01842568
2,21,1,,5,0.02404609
2,22,0,,5,0.01842568
2,22,1,,5,0.02404609
2,23,0,,5,0.01842568
2,23,1,,5,0.02404609
2,24,0,,5,0.01842568
2,24,1,,5,0.02404609
2,25,0,,5,0.01842568
2,25,1,,5,0.02404609
2,26,0,,5,0.01842568
2,26,1,,5,0.02404609
2,27,0,,5,0.01842568
2,27,1,,5,0.02404609
2,28,0,,5,0.01842568
2,28,1,,5,0.02404609
2,29,0,,5,0.01842568
2,29,1,,5,0.02404609
3,0,0,,4,0.00487954
3,0,1,,5,0.00774861
3,1,0,,5,0.01073295
3,1,1,,4,0.00957815
3,2,0,,5,0.01639638
3,2,1,,4,0.02460087
3,3,0,,5,0.01639638
3,3,1,,4,0.01495001
3,4,0,,5,0.01639638
3,4,1,,4,0.02460087
3,5,0,,4,0.0097566
3,5,1,,5,0.02667474
3,6,0,,5,0.01639638
3,6,1,,5,0.00791013
3,7,0,,5,0.01639638
3,7,1,,5,0.02556755
3,8,0,,5,0.01639638
3,8,1,,5,0.02556755
3,9,0,,5,0.01639638
3,9,1,,5,0.02556755
3,10,0,,5,0.01639638
3,10,1,,5,0.02556755
3,11,0,,5,0.01639638
3,11,1,,5,0.02556755
3,12,0,,5,0.01639638
3,12,1,,5,0.02556755
3,13,0,,5,0.01639638
3,13,1,,5,0.02556755
3,14,0,,5,0.01639638
3,14,1,,5,0.02556755
3,15,0,,5,0.01639638
3,15,1,,5,0.02556755
3,16,0,,5,0.01639638
3,16,1,,5,0.02556755
3,17,0,,5,0.01639638
3,17,1,,5,0.02556755
3,18,0,,5,0.01639638
3,18,1,,5,0.02556755
3,19,0,,5,0.01639638
3,19,1,,5,0.02556755
3,20,0,,5,0.01639638
3,20,1,,5,0.02556755
3,21,0,,5,0.01639638
3,21,1,,5,0.02556755
3,22,0,,5,0.01639638
3,22,1,,5,0.02556755
3,23,0,,5,0.01639638
3,23,1,,5,0.02556755
3,24,0,,5,0.01639638
3,24,1,,5,0.02556755
3,25,0,,5,0.01639638
3,25,1,,5,0.02556755
3,26,0,,5,0.01639638
3,26,1,,5,0.02556755
3,27,0,,5,0.01639638
3,27,1,,5,0.02556755
3,28,0,,5,0.01639638
3,28,1,,5,0.02556755
3,29,0,,5,0.01639638
3,29,1,,5,0.02556755
4,0,0,,5,0.01719802
4,0,1,,3,0.00604859
4,1,0,,5,0.01489488
4,1,1,,4,0.00479187
4,2,0,,5,0.01489488
4,2,1,,4,0.0081456
4,3,0,,5,0.01489488
4,3,1,,4,0.01424824
4,4,0,,5,0.01489488
4,4,1,,4,0.00733854
4,5,0,,5,0.01489488
4,5,1,,4,0.01291355
4,6,0,,4,0.00472716
4,6,1,,5,0.0203817
4,7,0,,4,0.00953272
4,7,1,,5,0.0203817
4,8,0,,4,0.00453268
4,8,1,,5,0.0203817
4,9,0,,5,0.01489488
4,9,1,,4,0.00491098
4,10,0,,4,0.00475616
4,10,1,,5,0.0203817
4,11,0,,5,0.01489488
4,11,1,,4,0.01086058
4,12,0,,5,0.01489488
4,12,1,,5,0.00948491
4,13,0,,5,0.01489488
4,13,1,,4,0.01304429
4,14,0,,5,0.01489488
4,14,1,,5,0.01110586
4,15,0,,5,0.01489488
4,15,1,,5,0.01823999
4,16,0,,5,0.01489488
4,16,1,,5,0.01823999
4,17,0,,5,0.01489488
4,17,1,,5,0.01823999
4,18,0,,5,0.01489488
4,18,1,,5,0.01823999
4,19,0,,5,0.01489488
4,19,1,,5,0.01823999
4,20,0,,5,0.01489488
4,20,1,,5,0.01823999
4,21,0,,5,0.01489488
4,21,1,,5,0.01823999
4,22,0,,5,0.01489488
4,22,1,,5,0.01823999
4,23,0,,5,0.01489488
4,23,1,,5,0.01823999
4,24,0,,5,0.01489488
4,24,1,,5,0.01823999
4,25,0,,5,0.01489488
4,25,1,,5,0.01823999
4,26,0,,5,0.01489488
4,26,1,,5,0.01823999
4,27,0,,5,0.01489488
4,27,1,,5,0.01823999
4,28,0,,5,0.01489488
4,28,1,,5,0.01823999
4,29,0,,5,0.01489488
4,29,1,,5,0.01823999
5,0,0,,3,0.00461982
5,0,1,,5,0.01424587
5,1,0,,2,0.00707674
5,1,1,,5,0.02037685
5,2,0,,3,0.0027683
5,2,1,,5,0.02037685
5,3,0,,2,0.00393071
5,3,1,,5,0.00878385
5,4,0,,5,0.01376785
5,4,1,,4,0.0043781
5,5,0,,5,0.01132583
5,5,1,,5,0.00792698
5,6,0,,5,0.02092023
5,6,1,,4,0.00441792
5,7,0,,4,0.01167624
5,7,1,,5,0.01851372
5,8,0,,5,0.00849803
5,8,1,,5,0.01851372
5,9,0,,5,0.01151576
5,9,1,,5,0.01851372
5,10,0,,5,0.00963038
5,10,1,,5,0.01851372
5,11,0,,3,0.00604022
5,11,1,,5,0.01851372
5,12,0,,2,0.00707674
5,12,1,,5,0.01851372
5,13,0,,5,0.02092023
5,13,1,,5,0.00716685
5,14,0,,5,0.02092023
5,14,1,,5,0.01014037
5,15,0,,5,0.02092023
5,15,1,,5,0.01492521
5,16,0,,5,0.02092023
5,16,1,,5,0.01492521
5,17,0,,5,0.01028483
5,17,1,,5,0.0173927
5,18,0,,4,0.00966318
5,18,1,,5,0.0173927
5,19,0,,4,0.01338894
5,19,1,,5,0.0173927
5,20,0,,4,0.01241486
5,20,1,,5,0.0173927
5,21,0,,5,0.01274089
5,21,1,,5,0.0173927
5,22,0,,5,0.01880193
5,22,1,,5,0.0173927
5,23,0,,5,0.01116657
5,23,1,,5,0.0173927
5,24,0,,5,0.01880193
5,24,1,,5,0.0173927
5,25,0,,5,0.01880193
5,25,1,,5,0.0173927
5,26,0,,5,0.00801977
5,26,1,,5,0.0173927
5,27,0,,5,0.00904679
5,27,1,,5,0.0173927
5,28,0,,5,0.01932255
5,28,1,,5,0.0173927
5,29,0,,5,0.01932255
5,29,1,,5,0.0173927
6,0,0,,3,0.0052566
6,0,1,,4,0.00502799
6,1,0,,5,0.01048364
6,1,1,,5,0.01681313
6,2,0,,5,0.01943768
6,2,1,,3,0.00269791
6,3,0,,5,0.02027205
6,3,1,,5,0.01212909
6,4,0,,5,0.02027205
6,4,1,,3,0.01156804
6,5,0,,5,0.02027205
6,5,1,,3,0.0036501
6,6,0,,5,0.02027205
6,6,1,,5,0.01212909
6,7,0,,5,0.02027205
6,7,1,,3,0.01156804
6,8,0,,5,0.02027205
6,8,1,,3,0.01156804
6,9,0,,5,0.02027205
6,9,1,,3,0.01156804
6,10,0,,5,0.02027205
6,10,1,,3,0.01156804
6,11,0,,5,0.02027205
6,11,1,,3,0.01156804
6,12,0,,5,0.02027205
6,12,1,,3,0.01156804
6,13,0,,5,0.02027205
6,13,1,,3,0.01156804
6,14,0,,5,0.02027205
6,14,1,,3,0.01156804
6,15,0,,5,0.02027205
6,15,1,,3,0.01156804
6,16,0,,5,0.02027205
6,16,1,,3,0.01156804
6,17,0,,5,0.02027205
6,17,1,,3,0.01156804
6,18,0,,5,0.02027205
6,18,1,,3,0.01156804
6,19,0,,5,0.02027205
6,19,1,,3,0.01156804
6,20,0,,5,0.02027205
6,20,1,,3,0.01156804
6,21,0,,5,0.02027205
6,21,1,,3,0.01156804
6,22,0,,5,0.02027205
6,22,1,,3,0.01156804
6,23,0,,5,0.02027205
6,23,1,,3,0.01156804
6,24,0,,5,0.02027205
6,24,1,,3,0.01156804
6,25,0,,5,0.02027205
6,25,1,,3,0.01156804
6,26,0,,5,0.02027205
6,26,1,,3,0.01156804
6,27,0,,5,0.02027205
6,27,1,,3,0.01156804
6,28,0,,5,0.02027205
6,28,1,,3,0.01156804
6,29,0,,5,0.02027205
6,29,1,,3,0.01156804
7,0,0,,5,0.01223963
7,0,1,,4,0.00763503
7,1,0,,4,0.01047548
7,1,1,,4,0.01418387
7,2,0,,2,0.00329931
7,2,1,,5,0.0221623
7,3,0,,5,0.01842066
7,3,1,,3,0.00797843
7,4,0,,4,0.01178923
7,4,1,,5,0.01920696
7,5,0,,5,0.01842066
7,5,1,,5,0.01573867
7,6,0,,5,0.01842066
7,6,1,,5,0.01573867
7,7,0,,5,0.01842066
7,7,1,,5,0.01573867
7,8,0,,5,0.01842066
7,8,1,,5,0.0097167
7,9,0,,5,0.01842066
7,9,1,,5,0.01693215
7,10,0,,5,0.01842066
7,10,1,,3,0.00611964
7,11,0,,5,0.01842066
7,11,1,,5,0.01401486
7,12,0,,5,0.01842066
7,12,1,,5,0.01909108
7,13,0,,5,0.01842066
7,13,1,,5,0.01909108
7,14,0,,5,0.01842066
7,14,1,,5,0.01909108
7,15,0,,5,0.01842066
7,15,1,,5,0.01909108
7,16,0,,5,0.01842066
7,16,1,,5,0.01909108
7,17,0,,5,0.01842066
7,17,1,,5,0.01909108
7,18,0,,5,0.01842066
7,18,1,,5,0.01909108
7,19,0,,5,0.01842066
7,19,1,,5,0.01909108
7,20,0,,5,0.01842066
7,20,1,,5,0.01909108
7,21,0,,5,0.01842066
7,21,1,,5,0.01909108
7,22,0,,5,0.01842066
7,22,1,,5,0.01909108
7,23,0,,5,0.01842066
7,23,1,,5,0.01909108
7,24,0,,5,0.01842066
7,24,1,,5,0.01909108
7,25,0,,5,0.01842066
7,25,1,,5,0.01909108
7,26,0,,5,0.01842066
7,26,1,,5,0.01909108
7,27,0,,5,0.01842066
7,27,1,,5,0.01909108
7,28,0,,5,0.01842066
7,28,1,,5,0.01909108
7,29,0,,5,0.01842066
7,29,1,,5,0.01909108
8,0,0,,4,0.00835187
8,0,1,,4,0.01337468
8,1,0,,4,0.00515963
8,1,1,,4,0.00461766
8,2,0,,5,0.01241659
8,2,1,,3,0.00585947
8,3,0,,4,0.01416798
8,3,1,,5,0.01507338
8,4,0,,4,0.00463436
8,4,1,,5,0.01507338
8,5,0,,4,0.01402746
8,5,1,,4,0.00469779
8,6,0,,5,0.01427182
8,6,1,,5,0.0144471
8,7,0,,4,0.01560318
8,7,1,,5,0.01553151
8,8,0,,4,0.00787671
8,8,1,,5,0.00820553
8,9,0,,5,0.01427182
8,9,1,,4,0.01287264
8,10,0,,5,0.01554249
8,10,1,,4,0.00573953
8,11,0,,5,0.01554249
8,11,1,,4,0.00602158
8,12,0,,5,0.01554249
8,12,1,,4,0.01287264
8,13,0,,5,0.01554249
8,13,1,,4,0.00737795
8,14,0,,5,0.01554249
8,14,1,,4,0.00861574
8,15,0,,5,0.01554249
8,15,1,,4,0.00480548
8,16,0,,5,0.01554249
8,16,1,,4,0.01287264
8,17,0,,5,0.01554249
8,17,1,,4,0.00552601
8,18,0,,5,0.01554249
8,18,1,,4,0.00496622
8,19,0,,5,0.01554249
8,19,1,,4,0.01287264
8,20,0,,5,0.01554249
8,20,1,,4,0.00501891
8,21,0,,4,0.0048654
8,21,1,,5,0.01554743
8,22,0,,5,0.01554249
8,22,1,,5,0.01186952
8,23,0,,5,0.01554249
8,23,1,,5,0.01186952
8,24,0,,5,0.01554249
8,24,1,,5,0.01314594
8,25,0,,5,0.01554249
8,25,1,,5,0.01604488
8,26,0,,5,0.01554249
8,26,1,,5,0.01604488
8,27,0,,5,0.01554249
8,27,1,,5,0.01604488
8,28,0,,5,0.01554249
8,28,1,,5,0.01604488
8,29,0,,5,0.01554249
8,29,1,,5,0.01604488
9,0,0,,5,0.0119187
9,0,1,,2,0.00764662
9,1,0,,5,0.00888587
9,1,1,,3,0.00558572
9,2,0,,5,0.01782804
9,2,1,,2,0.00707674
9,3,0,,5,0.01782804
9,3,1,,2,0.00707674
9,4,0,,5,0.01782804
9,4,1,,2,0.00707674
9,5,0,,5,0.01782804
9,5,1,,2,0.00707674
9,6,0,,5,0.01782804
9,6,1,,2,0.00707674
9,7,0,,5,0.01782804
9,7,1,,2,0.00707674
9,8,0,,5,0.01782804
9,8,1,,2,0.00707674
9,9,0,,5,0.01782804
9,9,1,,2,0.00707674
9,10,0,,5,0.01782804
9,10,1,,2,0.00707674
9,11,0,,5,0.01782804
9,11,1,,2,0.00707674
9,12,0,,5,0.01782804
9,12,1,,5,0.01195443
9,13,0,,5,0.01782804
9,13,1,,4,0.00448057
9,14,0,,5,0.01782804
9,14,1,,5,0.00775805
9,15,0,,5,0.01782804
9,15,1,,4,0.01047493
9,16,0,,5,0.01782804
9,16,1,,5,0.01329915
9,17,0,,5,0.01782804
9,17,1,,4,0.01047493
9,18,0,,5,0.01782804
9,18,1,,4,0.00530052
9,19,0,,5,0.01782804
9,19,1,,5,0.01261178
9,20,0,,5,0.01782804
9,20,1,,5,0.01330921
9,21,0,,5,0.01782804
9,21,1,,5,0.00798936
9,22,0,,5,0.01782804
9,22,1,,5,0.01330921
9,23,0,,5,0.01782804
9,23,1,,5,0.01330921
9,24,0,,5,0.01782804
9,24,1,,5,0.01330921
9,25,0,,5,0.01782804
9,25,1,,5,0.01330921
9,26,0,,5,0.01782804
9,26,1,,5,0.01330921
9,27,0,,5,0.01782804
9,27,1,,5,0.01330921
9,28,0,,5,0.01782804
9,28,1,,5,0.01330921
9,29,0,,5,0.01782804
9,29,1,,5,0.01330921
10,0,0,,3,0.00960291
10,0,1,,5,0.01392286
10,1,0,,4,0.02460087
10,1,1,,1,0.00154545
10,2,0,,5,0.01625541
10,2,1,,4,0.00453557
10,3,0,,5,0.01625541
10,3,1,,4,0.00525549
10,4,0,,5,0.01680226
10,4,1,,5,0.01561693
10,5,0,,5,0.0203817
10,5,1,,5,0.01368506
10,6,0,,5,0.0203817
10,6,1,,5,0.01561693
10,7,0,,5,0.0203817
10,7,1,,5,0.01012627
10,8,0,,5,0.0203817
10,8,1,,4,0.01280799
10,9,0,,5,0.0203817
10,9,1,,5,0.01561693
10,10,0,,5,0.0203817
10,10,1,,5,0.01378091
10,11,0,,5,0.0203817
10,11,1,,5,0.00802715
10,12,0,,5,0.0203817
