"arrayType","algorithm","learningValue","abandonValue","arrayNumber","simulation","bout","bee","Q1","Q2","groupQuality"
"R-P","noRouteCompare",1.5,0.75,1,1,1,1,0.01675581,0.00627397,0.347320482878157
"R-P","noRouteCompare",1.5,0.75,1,1,2,1,0.01526557,0.00496254,0.302017811198398
"R-P","noRouteCompare",1.5,0.75,1,1,3,1,0.01334624,0.0025118,0.241614248958718
"R-P","noRouteCompare",1.5,0.75,1,1,4,1,0.00342861,0.02664072,0.453026716797596
"R-P","noRouteCompare",1.5,0.75,1,1,5,1,0.0061222,0.02727689,0.498329388477356
"R-P","noRouteCompare",1.5,0.75,1,1,6,1,0.00127246,0.01913744,0.302017811198398
"R-P","noRouteCompare",1.5,0.75,1,1,7,1,0.00567545,0.01873441,0.362421373438077
"R-P","noRouteCompare",1.5,0.75,1,1,8,1,0.01637765,0.01004721,0.392623154557917
"R-P","noRouteCompare",1.5,0.75,1,1,9,1,0.03137838,0.00193784,0.498329388477356
"R-P","noRouteCompare",1.5,0.75,1,1,10,1,0.00451706,0.02367873,0.422824935677757
"R-P","noRouteCompare",1.5,0.75,1,1,11,1,0.01284716,0.00408195,0.256715139518638
"R-P","noRouteCompare",1.5,0.75,1,1,12,1,0.00841852,0.02070329,0.437925826237677
"R-P","noRouteCompare",1.5,0.75,1,1,13,1,0.024122,0.00772031,0.483228497917436
"R-P","noRouteCompare",1.5,0.75,1,1,14,1,0.01772751,0.01071319,0.422824935677757
"R-P","noRouteCompare",1.5,0.75,1,1,15,1,0.03225416,0.00371952,0.543632060157116
"R-P","noRouteCompare",1.5,0.75,1,1,16,1,0.01834401,0.01004721,0.422824935677757
"R-P","noRouteCompare",1.5,0.75,1,1,17,1,0.00607257,0.0089886,0.226513358398798
"R-P","noRouteCompare",1.5,0.75,1,1,18,1,0.01424849,0.00514135,0.286916920638478
"R-P","noRouteCompare",1.5,0.75,1,1,19,1,0.0189012,0.00850345,0.407724045117837
"R-P","noRouteCompare",1.5,0.75,1,1,20,1,0.00789981,0.01595275,0.362421373438077
"R-P","noRouteCompare",1.5,0.75,1,1,21,1,0.01921385,0.00490419,0.362421373438077
"R-P","noRouteCompare",1.5,0.75,1,1,22,1,0.01024765,0.01629897,0.407724045117837
"R-P","noRouteCompare",1.5,0.75,1,1,23,1,0.0197472,0.01308678,0.498329388477356
"R-P","noRouteCompare",1.5,0.75,1,1,24,1,0.0061222,0.02607407,0.483228497917436
"R-P","noRouteCompare",1.5,0.75,1,1,25,1,0.01030924,0.02406204,0.513430279037276
"R-P","noRouteCompare",1.5,0.75,1,1,26,1,0.00525768,0.01180772,0.256715139518638
"R-P","noRouteCompare",1.5,0.75,1,1,27,1,0.01165414,0.02607407,0.573833841276955
"R-P","noRouteCompare",1.5,0.75,1,1,28,1,0.03397189,0.00529267,0.588934731836875
"R-P","noRouteCompare",1.5,0.75,1,1,29,1,0.0061222,0.01015835,0.241614248958718
"R-P","noRouteCompare",1.5,0.75,1,1,30,1,0.02115573,0.00933732,0.453026716797596
"R-P","noRouteCompare",1.5,0.75,1,2,1,1,0.00518206,0.02854392,0.513430279037276
"R-P","noRouteCompare",1.5,0.75,1,2,2,1,0.00581635,0.00810393,0.211412467838878
"R-P","noRouteCompare",1.5,0.75,1,2,3,1,0.00417103,0.01272821,0.256715139518638
"R-P","noRouteCompare",1.5,0.75,1,2,4,1,0.008354,0.00876464,0.256715139518638
"R-P","noRouteCompare",1.5,0.75,1,2,5,1,0.00195161,0.01557182,0.271816030078558
"R-P","noRouteCompare",1.5,0.75,1,2,6,1,0.02141351,0.00659283,0.422824935677757
"R-P","noRouteCompare",1.5,0.75,1,2,7,1,0.00524119,0.02234833,0.422824935677757
"R-P","noRouteCompare",1.5,0.75,1,2,8,1,0.00513955,0.01450403,0.302017811198398
"R-P","noRouteCompare",1.5,0.75,1,2,9,1,0.00425634,0.01683757,0.317118701758318
"R-P","noRouteCompare",1.5,0.75,1,2,10,1,0.02978844,0.00308005,0.498329388477356
"R-P","noRouteCompare",1.5,0.75,1,2,11,1,0.02483195,0.0117761,0.558732950717036
"R-P","noRouteCompare",1.5,0.75,1,2,12,1,0.02861424,0.00581635,0.513430279037276
"R-P","noRouteCompare",1.5,0.75,1,2,13,1,0.01066602,0.00868844,0.286916920638478
"R-P","noRouteCompare",1.5,0.75,1,2,14,1,0.00307552,0.02505668,0.422824935677757
"R-P","noRouteCompare",1.5,0.75,1,2,15,1,0.00559439,0.02547942,0.468127607357516
"R-P","noRouteCompare",1.5,0.75,1,2,16,1,0.01816834,0.00520751,0.347320482878157
"R-P","noRouteCompare",1.5,0.75,1,2,17,1,0.01603353,0.01713301,0.498329388477356
"R-P","noRouteCompare",1.5,0.75,1,2,18,1,0.01620426,0.00960494,0.392623154557917
"R-P","noRouteCompare",1.5,0.75,1,2,19,1,0.00531934,0.02635719,0.483228497917436
"R-P","noRouteCompare",1.5,0.75,1,2,20,1,0.01308678,0.00784378,0.317118701758318
"R-P","noRouteCompare",1.5,0.75,1,2,21,1,0.00567263,0.01929887,0.377522263997997
"R-P","noRouteCompare",1.5,0.75,1,2,22,1,0.00512717,0.02063347,0.392623154557917
"R-P","noRouteCompare",1.5,0.75,1,2,23,1,0.01006424,0.00498153,0.226513358398798
"R-P","noRouteCompare",1.5,0.75,1,2,24,1,0.01077969,0.00514233,0.241614248958718
"R-P","noRouteCompare",1.5,0.75,1,2,25,1,0.00917639,0.01462721,0.362421373438077
"R-P","noRouteCompare",1.5,0.75,1,2,26,1,0.00621313,0.00777635,0.211412467838878
"R-P","noRouteCompare",1.5,0.75,1,2,27,1,0.00323242,0.02022468,0.347320482878157
"R-P","noRouteCompare",1.5,0.75,1,2,28,1,0.01207177,0.02784238,0.604035622396795
"R-P","noRouteCompare",1.5,0.75,1,2,29,1,0.00781035,0.032353,0.604035622396795
"R-P","noRouteCompare",1.5,0.75,1,2,30,1,0.0031273,0.032353,0.528531169597196
"R-P","noRouteCompare",1.5,0.75,1,3,1,1,0.01071442,0.00521185,0.241614248958718
"R-P","noRouteCompare",1.5,0.75,1,3,2,1,0.00829098,0.0061222,0.211412467838878
"R-P","noRouteCompare",1.5,0.75,1,3,3,1,0.0118424,0.02331892,0.528531169597196
"R-P","noRouteCompare",1.5,0.75,1,3,4,1,0.01485893,0.00530701,0.302017811198398
"R-P","noRouteCompare",1.5,0.75,1,3,5,1,0.00372054,0.02105941,0.377522263997997
"R-P","noRouteCompare",1.5,0.75,1,3,6,1,0.02123373,0.01185223,0.498329388477356
"R-P","noRouteCompare",1.5,0.75,1,3,7,1,0.01157475,0.00084741,0.181210686719039
"R-P","noRouteCompare",1.5,0.75,1,3,8,1,0.00545349,0.02640476,0.483228497917436
"R-P","noRouteCompare",1.5,0.75,1,3,9,1,0.01361689,0.0025118,0.241614248958718
"R-P","noRouteCompare",1.5,0.75,1,3,10,1,0.00565643,0.01952231,0.377522263997997
"R-P","noRouteCompare",1.5,0.75,1,3,11,1,0.00640615,0.00567263,0.181210686719039
"R-P","noRouteCompare",1.5,0.75,1,3,12,1,0.01546737,0.00416371,0.302017811198398
"R-P","noRouteCompare",1.5,0.75,1,3,13,1,0.01996256,0.00532224,0.377522263997997
"R-P","noRouteCompare",1.5,0.75,1,3,14,1,0.01009928,0.01739942,0.407724045117837
"R-P","noRouteCompare",1.5,0.75,1,3,15,1,0.00298943,0.01628592,0.286916920638478
"R-P","noRouteCompare",1.5,0.75,1,3,16,1,0.00860654,0.00658433,0.226513358398798
"R-P","noRouteCompare",1.5,0.75,1,3,17,1,0.02250139,0.0064628,0.437925826237677
"R-P","noRouteCompare",1.5,0.75,1,3,18,1,0.01260251,0.01184771,0.362421373438077
"R-P","noRouteCompare",1.5,0.75,1,3,19,1,0.0137993,0.00810937,0.332219592318237
"R-P","noRouteCompare",1.5,0.75,1,3,20,1,0.01190693,0.03005874,0.634237403516635
"R-P","noRouteCompare",1.5,0.75,1,3,21,1,0.02811739,0.01700918,0.679540075196395
"R-P","noRouteCompare",1.5,0.75,1,3,22,1,0.02445726,0.00707674,0.483228497917436
"R-P","noRouteCompare",1.5,0.75,1,3,23,1,0.00753432,0.01124724,0.286916920638478
"R-P","noRouteCompare",1.5,0.75,1,3,24,1,0.0175525,0.00374672,0.317118701758318
"R-P","noRouteCompare",1.5,0.75,1,3,25,1,0.02011521,0.00954901,0.453026716797596
"R-P","noRouteCompare",1.5,0.75,1,3,26,1,0.03429724,0.00565806,0.604035622396795
"R-P","noRouteCompare",1.5,0.75,1,3,27,1,0.01519069,0.00531518,0.317118701758318
"R-P","noRouteCompare",1.5,0.75,1,3,28,1,0.01698965,0.00298889,0.302017811198398
"R-P","noRouteCompare",1.5,0.75,1,3,29,1,0.01777662,0.0059874,0.362421373438077
"R-P","noRouteCompare",1.5,0.75,1,3,30,1,0.00522124,0.01964326,0.377522263997997
"R-P","noRouteCompare",1.5,0.75,1,4,1,1,0.01404328,0.00936082,0.347320482878157
"R-P","noRouteCompare",1.5,0.75,1,4,2,1,0.00403303,0.01913679,0.347320482878157
"R-P","noRouteCompare",1.5,0.75,1,4,3,1,0.0121033,0.00555732,0.271816030078558
"R-P","noRouteCompare",1.5,0.75,1,4,4,1,0.00965793,0.00724679,0.256715139518638
"R-P","noRouteCompare",1.5,0.75,1,4,5,1,0.00483361,0.01004721,0.226513358398798
"R-P","noRouteCompare",1.5,0.75,1,4,6,1,0.01036644,0.01023108,0.317118701758318
"R-P","noRouteCompare",1.5,0.75,1,4,7,1,0.0176149,0.01390658,0.483228497917436
"R-P","noRouteCompare",1.5,0.75,1,4,8,1,0.01265519,0.01141374,0.362421373438077
"R-P","noRouteCompare",1.5,0.75,1,4,9,1,0.01865372,0.00644217,0.377522263997997
"R-P","noRouteCompare",1.5,0.75,1,4,10,1,0.02177695,0.00290436,0.377522263997997
"R-P","noRouteCompare",1.5,0.75,1,4,11,1,0.01280799,0.02822427,0.619136512956715
"R-P","noRouteCompare",1.5,0.75,1,4,12,1,0.01367287,0.00407839,0.271816030078558
"R-P","noRouteCompare",1.5,0.75,1,4,13,1,0.0075308,0.01323276,0.317118701758318
"R-P","noRouteCompare",1.5,0.75,1,4,14,1,0.00609389,0.02162253,0.422824935677757
"R-P","noRouteCompare",1.5,0.75,1,4,15,1,0.00530249,0.02012907,0.377522263997997
"R-P","noRouteCompare",1.5,0.75,1,4,16,1,0.01023624,0.0098661,0.302017811198398
"R-P","noRouteCompare",1.5,0.75,1,4,17,1,0.02366977,0.00314184,0.407724045117837
"R-P","noRouteCompare",1.5,0.75,1,4,18,1,0.01131791,0.01213301,0.347320482878157
"R-P","noRouteCompare",1.5,0.75,1,4,19,1,0.0295149,0.00887025,0.573833841276955
"R-P","noRouteCompare",1.5,0.75,1,4,20,1,0.03169879,0.0125405,0.664439184636475
"R-P","noRouteCompare",1.5,0.75,1,4,21,1,0.0172049,0.01067812,0.422824935677757
"R-P","noRouteCompare",1.5,0.75,1,4,22,1,0.01864999,0.00407839,0.347320482878157
"R-P","noRouteCompare",1.5,0.75,1,4,23,1,0.01538021,0.00495897,0.302017811198398
"R-P","noRouteCompare",1.5,0.75,1,4,24,1,0.00158768,0.00929887,0.166109796159119
"R-P","noRouteCompare",1.5,0.75,1,4,25,1,0.01995154,0.00293012,0.347320482878157
"R-P","noRouteCompare",1.5,0.75,1,4,26,1,0.00496643,0.01325201,0.271816030078558
"R-P","noRouteCompare",1.5,0.75,1,4,27,1,0.00708891,0.01621866,0.347320482878157
"R-P","noRouteCompare",1.5,0.75,1,4,28,1,0.00823172,0.01722788,0.377522263997997
"R-P","noRouteCompare",1.5,0.75,1,4,29,1,0.00515926,0.00520091,0.151008905599199
"R-P","noRouteCompare",1.5,0.75,1,4,30,1,0.00806202,0.01120385,0.286916920638478
"R-P","noRouteCompare",1.5,0.75,1,5,1,1,0.01007174,0.00533245,0.226513358398798
"R-P","noRouteCompare",1.5,0.75,1,5,2,1,0.01164002,0.01423581,0.392623154557917
"R-P","noRouteCompare",1.5,0.75,1,5,3,1,0.01039951,0.00508533,0.226513358398798
"R-P","noRouteCompare",1.5,0.75,1,5,4,1,0.0025118,0.01452689,0.256715139518638
"R-P","noRouteCompare",1.5,0.75,1,5,5,1,0.02100854,0.00789479,0.437925826237677
"R-P","noRouteCompare",1.5,0.75,1,5,6,1,0.01381505,0.00598515,0.302017811198398
"R-P","noRouteCompare",1.5,0.75,1,5,7,1,0.0056753,0.01774352,0.347320482878157
"R-P","noRouteCompare",1.5,0.75,1,5,8,1,0.01609696,0.01769525,0.513430279037276
"R-P","noRouteCompare",1.5,0.75,1,5,9,1,0.00500959,0.0163406,0.317118701758318
"R-P","noRouteCompare",1.5,0.75,1,5,10,1,0.0072719,0.00515254,0.181210686719039
"R-P","noRouteCompare",1.5,0.75,1,5,11,1,0.01476066,0.02384062,0.588934731836875
"R-P","noRouteCompare",1.5,0.75,1,5,12,1,0.02110694,0.00695933,0.422824935677757
"R-P","noRouteCompare",1.5,0.75,1,5,13,1,0.01464437,0.01592185,0.468127607357516
"R-P","noRouteCompare",1.5,0.75,1,5,14,1,0.01103209,0.01865284,0.453026716797596
"R-P","noRouteCompare",1.5,0.75,1,5,15,1,0.00182213,0.02978149,0.483228497917436
"R-P","noRouteCompare",1.5,0.75,1,5,16,1,0.00582176,0.03586862,0.634237403516635
"R-P","noRouteCompare",1.5,0.75,1,5,17,1,0.00514135,0.01436897,0.302017811198398
"R-P","noRouteCompare",1.5,0.75,1,5,18,1,0.00829727,0.01992023,0.422824935677757
